PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Hu, Y; Liu, MQ; Le, Y; Skitmore, M				Hu, Yi; Liu, Mingqiang; Le, Yun; Skitmore, Martin			External Consultant Involvement for Organizational Capability Building in Complex Construction Projects: A Perspective from Interorganizational Learning Process	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT			English	Article						External consultant; Complex construction project (CCP); Organizational capability; Management innovation	ABSORPTIVE-CAPACITY; MANAGEMENT INNOVATION; KNOWLEDGE SEARCH; MEDIATING ROLE; PERFORMANCE	External management consultants have been increasingly employed by owners of complex construction projects (CCPs) to foster management innovation and improve their organizational capability. However, the dynamics of the owner-consultant collaboration process in such projects are still unknown. To bridge this gap, this paper explores the roles of external consultant involvement in fostering management innovation and developing an organizational capability in CCPs. Based on survey data collected from 102 such projects across different types in China, the partial least square-structural equation modeling analysis results uncover the positive effect of external consultant involvement in creating management innovation and building organizational capability. In particular, the mediating role of management innovation is identified in the exploration and transformation learning processes with external consultants involved. The findings of this study provide a novel explanation for the creation of management innovation in CCPs through external consultant involvement and useful guidance to project owners to better identify and utilize external consultants in the future. (C) 2021 American Society of Civil Engineers.	[Hu, Yi; Le, Yun] Tongji Univ, Sch Econ & Management, Dept Construct Management & Real Estate, 1239 Siping Rd, Shanghai 200092, Peoples R China; [Liu, Mingqiang] Tongji Univ, Peoples Hosp 10, Dept Construct Management, 301 Yanchang Middle Rd, Shanghai 200072, Peoples R China; [Skitmore, Martin] Bond Univ, Fac Soc & Design, Ctr Comparat Construct Res, 14 Univ Dr, Robina, Qld 4226, Australia	Liu, MQ (corresponding author), Tongji Univ, Peoples Hosp 10, Dept Construct Management, 301 Yanchang Middle Rd, Shanghai 200072, Peoples R China.	yi_hu@tongji.edu.cn; liu_mq163@163.com; leyun@tongji.edu.cn; mskitmor@bond.edu.au	; Hu, Yi/L-8977-2014	Skitmore, Martin/0000-0001-7135-1201; Hu, Yi/0000-0001-5036-381X	National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [71971157, 71501142, 71871164]	This study was funded by the National Natural Science Foundation of China (Grant Nos. 71971157, 71501142, and 71871164). Special gratitude goes to the Hongkong-Zhuhai-Macao Bridge Authority for its support of partial data collection.		40	0	0	2	2	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0733-9364	1943-7862		J CONSTR ENG M	J. Constr. Eng. Manage.	JAN 1	2022	148	1							04021181	10.1061/(ASCE)CO.1943-7862.0002216			10	Construction & Building Technology; Engineering, Industrial; Engineering, Civil	Construction & Building Technology; Engineering	WY8MT	WOS:000719532100005		Green Published			2021-12-21	
J	Nesheim, T; Hunskaar, HM				Nesheim, Torstein; Hunskaar, Haavard Morch			When employees and external consultants work together on projects: Challenges of knowledge sharing	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT			English	Article						Knowledge sharing; Employment arrangement; External consultants; In-group/out-group	WEAK TIES; TRUST; COMMITMENT	In project settings, personnel with different employment arrangements often work together and interact closely. Here, we study knowledge sharing when employees of the focal firm cooperate with external consultants. We differentiate between "in-group" (inside an employment category) and "out-group" (between employment categories) knowledge sharing and analyze the antecedents of knowledge sharing behavior. In an empirical study of 117 employees and external consultants, we find strong support for the main hypotheses: Internal employees tend to engage in more knowledge sharing than external consultants, in their relation to employees. Employees tend to engage in less knowledge sharing than external consultants, in their relation to external consultants. Trust in relation to a specific category of employment was also found to be statistically related to knowledge sharing behavior toward personnel in the category. (C) 2015 Elsevier Ltd. APM and IPMA. All rights reserved.	[Nesheim, Torstein] NHH, Ctr Appl Res, N-5045 Bergen, Norway; [Hunskaar, Haavard Morch] Norwegian Sch Econ NHH, N-5045 Bergen, Norway	Nesheim, T (corresponding author), NHH, Ctr Appl Res, Helleveien 30, N-5045 Bergen, Norway.	Torstein.Nesheim@snf.no						41	14	14	2	44	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0263-7863	1873-4634		INT J PROJ MANAG	Int. J. Proj. Manag.	OCT	2015	33	7					1417	1424		10.1016/j.ijproman.2015.06.010			8	Management	Business & Economics	CQ8NO	WOS:000360865200001					2021-12-21	
J	Oyeyipo, O; Adeyemi, B; Osuizugbo, I; Ojelabi, R				Oyeyipo, Opeyemi; Adeyemi, Bamidele; Osuizugbo, Innocent; Ojelabi, Rapheal			Service quality of building services consultants in building project delivery; clients' perspectives	INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT			English	Article; Early Access						Building project; building services consultant; client; perception; satisfaction; service quality	SATISFACTION; PERFORMANCE	The role of consultant services engineers in the construction process is pivotal as they make significant contributions towards successful delivery of construction projects. They are responsible for ensuring that the technical specifications and design standards of mechanical, electrical and plumbing aspects of construction projects are adhered to with due consideration to budget and schedule. The quality of services offered by these consultants have however become a source of worry to clients recently in Nigeria as reflected in variance in the quality of services they render. This study examined clients' assessment of service quality of consultant services engineers in building project delivery. The study adopted survey research design with a total 121 responses obtained from target respondents using structured questionnaire administered to clients' organizations. The study adapted the 22 SERVQUAL service quality variables from literature. The study discovered that client's expectation of service quality of building services consultant exceeded the actual perceived service in building project delivery. Clients are unimpressed with the ability of the consultants to show sincere interest, provision of services at the time promised, the ability to give client specialized services relating to MEP and willingness to help client. Out of date software is being used and clients are rarely satisfied with consultants' responsiveness and assurance. It is imperative for service consultants to understand client's expectations and ensure such needs are met in the construction delivery process in order to ensure the service quality gap is eliminated. Finally, there is the need for consultants to be conscientious by timeously responding to all instructions and requests of clients as well as improve reputation which will ultimately pay off in project outcome.	[Oyeyipo, Opeyemi] Bells Univ Technol, Dept Quant Surveying, Ota, Nigeria; [Adeyemi, Bamidele] Estate Links Ltd, Lagos, Nigeria; [Osuizugbo, Innocent] Bells Univ Technol, Dept Bldg, Ota, Nigeria; [Ojelabi, Rapheal] Covenant Univ, Dept Bldg, Ota, Nigeria	Oyeyipo, O (corresponding author), Bells Univ Technol, Dept Quant Surveying, Ota, Nigeria.	oyeyipoo@gmail.com						45	0	0	1	9	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	1562-3599	2331-2327		INT J CONSTR MANAG	Int. J. Constr. Manag.												10.1080/15623599.2020.1829784		OCT 2020	9	Management	Business & Economics	NZ8GL	WOS:000577340000001		Green Accepted			2021-12-21	
J	Avila, EA				Avila, EA			Demystifying the local agency procurement and selection process for professional engineering consultant services	JOURNAL OF MANAGEMENT IN ENGINEERING			English	Article								Local agency procurement and selection of professional engineering consultant services has often been a misunderstood process. Consultants often wonder why they fail to be selected and wonder what mysterious process is used by local agencies to make their selection. These questions may be best answered by evaluating the common fundamentals used by consultants that are successful in this process: (1) they know their client (and, their client knows them); (2) they provide a well-qualified team; (3) they develop a well-defined project approach that reflects their knowledge of the common partnering approach used by local agencies to complete key project work elements; and (4) they communicate effectively. The true mystery regarding local agency procurement of professional engineering consultant services is how often these fundamentals are overlooked by a consultant's management team during statement of qualifications, proposal, and interview preparation. Perhaps it is time to revisit them.		Avila, EA (corresponding author), CONTRA COSTA WATER DIST,POB H20,CONCORD,CA 94524, USA.							4	5	5	0	3	ASCE-AMER SOC CIVIL ENGINEERS	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017-2398	0742-597X			J MANAGE ENG	J. Manage. Eng.	MAR-APR	1997	13	2					92	95		10.1061/(ASCE)0742-597X(1997)13:2(92)			4	Engineering, Industrial; Engineering, Civil	Engineering	WJ845	WOS:A1997WJ84500028					2021-12-21	
J	Rweiamila, PD; Edries, R				Rweiamila, Pantaleo D.; Edries, Ruwaida			Project procurement competence and knowledge base of civil engineering consultants: An empirical study	JOURNAL OF MANAGEMENT IN ENGINEERING			English	Article								This paper reports the findings of a survey designed to capture information on the construction project procurement systems (CPPSs) knowledge base of civil engineering consultants, specifically on their level of competence in terms of advising clients to make appropriate choices of CPPSs. The study included an examination of whether the civil engineering consultants' advice on CPPSs and CPPSs services fulfilled the client's needs and also the degree to which the client's project requirements were being met. The selection criteria used by civil engineering consultants when choosing an appropriate procurement system was investigated. Also included in the study was an investigation into the degree to which civil engineering consultants communicate and inform clients of the range of CPPSs available to them. A postal questionnaire survey was administered to the clients (property developers) and civil engineering consultants in South Africa's Western Cape Province. The results show that civil engineering consultants are unaware of or underinformed about the various construction project procurement systems available. Their selection criteria for procurement systems is based on biased past experience and conservative choices, with the result that incorrect decisions with unfortunate consequences are made.	Univ S Africa, Grad Sch Business Leadership, ZA-0003 Unisa, South Africa; Halcrow Grp Ltd, London W6 7BY, England	Rweiamila, PD (corresponding author), Univ S Africa, Grad Sch Business Leadership, POB 392, ZA-0003 Unisa, South Africa.	rwelapmd@unisa.ae.za						42	10	12	0	19	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0742-597X	1943-5479		J MANAGE ENG	J. Manage. Eng.	OCT	2007	23	4					182	192		10.1061/(ASCE)0742-597X(2007)23:4(182)			11	Engineering, Industrial; Engineering, Civil	Engineering	214AT	WOS:000249709100004					2021-12-21	
J	Liao, XF; Lee, CY; Chong, HY				Liao, Xiaofeng; Lee, Cen Ying; Chong, Heap-Yih			Contractual practices between the consultant and employer in Chinese BIM-enabled construction projects	ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT			English	Article						International construction; Case study; Project management; Construction; Building information modelling; International practice		Purpose The management of building information modeling (BIM)-enabled construction projects is challenging and unstructured in nature, particularly in terms of contract administration. Even though previous studies have revealed various legal issues related to BIM, little is known regarding the contractual practices of BIM. Hence, the purpose of this paper is to explore the contractual practices between the BIM consultant and employer in detail. Design/methodology/approach An explanatory case study was carried out on four large BIM-enabled construction projects in China. Findings The contractual practices differed from one project to another in terms of ownership and intellectual property rights (IPRs) of the BIM model, roles of the BIM consultant, liability of the BIM consultant in the event of errors and delays of the BIM model, and BIM-related costs and payments. Some of the interesting findings are as follows: the employer shall retain the ownership and IPRs of the BIM model, the BIM consultant shall provide a warranty to ensure usability of the BIM model after project handover, the BIM consultant shall pay for damages or losses if the BIM model fails to deliver and the costs of BIM implementation shall be borne by both contracting parties. Originality/value This study provides a fresh, realistic insight on the development of plausible contractual practices between the BIM consultant and employer and the findings can be used to improve BIM contract protocols in future projects.	[Liao, Xiaofeng] Chongqing Univ Sci & Technol, Sch Architecture & Engn, Chongqing, Peoples R China; [Lee, Cen Ying] Univ Reading Malaysia, Iskandar Puteri, Malaysia; [Chong, Heap-Yih] Curtin Univ, Bentley, WA, Australia	Chong, HY (corresponding author), Curtin Univ, Bentley, WA, Australia.	lxf@cqust.edu.cn; celine.lee@reading.edu.my; heap-yih.chong@curtin.edu.au	Chong, Heap-Yih/M-8354-2017	Chong, Heap-Yih/0000-0002-6080-7530; Lee, Cen Ying/0000-0001-6222-2061				26	5	5	21	76	EMERALD GROUP PUBLISHING LTD	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	0969-9988	1365-232X		ENG CONSTR ARCHIT MA	Eng. Constr. Archit. Manag.	FEB 17	2020	27	1					227	244		10.1108/ECAM-02-2019-0110			18	Engineering, Industrial; Engineering, Civil; Management	Engineering; Business & Economics	KG3BI	WOS:000509817100012		Green Accepted			2021-12-21	
J	Tang, SL; Aoieong, RTM; Tsui, CSL				Tang, S. L.; Aoieong, Raymond T. M.; Tsui, Candy S. L.			Quality Culture Auditing for Engineering Consultants	JOURNAL OF MANAGEMENT IN ENGINEERING			English	Article								Design is one of the most important aspects in the engineering project cycle. To improve the quality of engineering consulting firms, various quality techniques and practices have been proposed by researchers. Most researchers agree that the successful implementation of such quality practices depends on the quality culture of the consultant organization. Therefore, a thorough understanding of the overall quality culture that exists in a consultant organization is essential. The purpose of this paper is to develop a pragmatic tool, a quality culture auditing (QCA) questionnaire, which enables engineering consulting firms to measure the quality culture quantitatively through a scoring system. The responses obtained from 30 engineering consulting firms that participated in the QCA show that the scores obtained can be a good indicator of a consultant organization's current quality culture. Using these results as the basis, benchmarking exercises and parametric studies can also be conducted. Through the use of QCA, an engineering consultant can pinpoint areas of weakness so that more effort can be put into these areas for future improvement.	[Aoieong, Raymond T. M.] Univ Macau, Dept Civil & Environm Engn, Macau, Peoples R China; [Tang, S. L.; Tsui, Candy S. L.] Hong Kong Polytech Univ, Dept Civil & Struct Engn, Kowloon, Hong Kong, Peoples R China	Aoieong, RTM (corresponding author), Univ Macau, Dept Civil & Environm Engn, Macau, Peoples R China.	raytmai@umac.mo	Tang, S.L./C-9663-2018	Tang, S.L./0000-0003-0566-2356				27	6	6	1	13	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0742-597X	1943-5479		J MANAGE ENG	J. Manage. Eng.	OCT	2009	25	4					204	213		10.1061/(ASCE)0742-597X(2009)25:4(204)			10	Engineering, Industrial; Engineering, Civil	Engineering	494VS	WOS:000269848000006					2021-12-21	
J	Baker, M				Baker, M			Reengineering an engineering consultant	JOURNAL OF MANAGEMENT IN ENGINEERING			English	Article										Baker, M (corresponding author), WADE TRIM,FLINT,MI, USA.							0	0	0	0	0	ASCE-AMER SOC CIVIL ENGINEERS	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017-2398	0742-597X			J MANAGE ENG	J. Manage. Eng.	MAR-APR	1997	13	2					20	24		10.1061/(ASCE)0742-597X(1997)13:2(20)			5	Engineering, Industrial; Engineering, Civil	Engineering	WJ845	WOS:A1997WJ84500018					2021-12-21	
J	Enshassi, A; Arain, F; Al-Raee, S				Enshassi, Adnan; Arain, Faisal; Al-Raee, Sadi			CAUSES OF VARIATION ORDERS IN CONSTRUCTION PROJECTS IN THE GAZA STRIP	JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT			English	Article						variation orders; construction; contractors; consultant; owner		The maximum project performance would be achieved if the work invariably flows smoothly within time limits and anticipated budget. Variation orders result in time delay, cost overrun, quality defects, and other negative impacts. This is common in construction projects in Gaza Strip. The main objective of this study was to analyze the causes of variation orders in construction projects in Gaza Strip. The causes of variation orders in construction process in Gaza Strip were investigated through questionnaire survey of 36 classified construction companies, 25 consultants and 15 owners. 64 causes of variation orders were identified from literature review. The study results identified the top ten most important factors that include lack of materials and equipment spare parts due to closure, change in design by consultant, lack of consultant's knowledge of available materials, errors and omission in design, conflicts between contract documents, owner's financial problems, lack of coordination among project parties, using inadequate specification for local markets by international consultant, internal politics, and change is specification by owners. In general, the study shows an agreement among owners, consultants and contractors regarding the ranking of the 64 factors causing variation orders. The results also reveal that factors related to consultant are the most important causes of variation orders followed by the factors related to owner. An understanding of the causes of variation orders would be helpful for building professionals in assessing variation orders. Furthermore, the study would also assist professionals in taking proactive measures for reducing variation orders in construction projects. The findings from this study would also be valuable for all construction professionals in general.	[Al-Raee, Sadi] Minist Transport, Gaza, Israel		aenshassi@gmail.com; faisal.arain@gmail.com						20	34	34	0	21	VILNIUS GEDIMINAS TECH UNIV	VILNIUS	SAULETEKIO AL 11, VILNIUS, LT-10223, LITHUANIA	1392-3730	1822-3605		J CIV ENG MANAG	J. Civ. Eng. Manag.		2010	16	4					540	551		10.3846/jcem.2010.60			12	Engineering, Civil	Engineering	699FB	WOS:000285648200010		hybrid			2021-12-21	
J	[Anonymous]				[Anonymous]			Orwell's advice: A checklist for consultants	JOURNAL OF MANAGEMENT IN ENGINEERING			English	Editorial Material																	0	0	0	0	0	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0742-597X	1943-5479		J MANAGE ENG	J. Manage. Eng.	JAN-FEB	2000	16	1					11	11					1	Engineering, Industrial; Engineering, Civil	Engineering	266BB	WOS:000084279800018					2021-12-21	
