PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Su, Y; Lucko, G				Su, Yi; Lucko, Gunnar			Synthetic cash flow model with singularity functions for unbalanced bidding scenarios	CONSTRUCTION MANAGEMENT AND ECONOMICS			English	Article						cash flow management; cash flow analysis; Bidding; singularity functions; unbalanced bidding.	CONSTRUCTION	Construction contractors may utilize unbalanced markup bidding strategies, e.g. front-loading, to seek more beneficial cash flows, or even protect their target profits. A difference between ethical and unethical unbalanced bidding is whether the bid has been mathematically or even materially modified: the former may be allowable, but the latter should be rejected, as it fails to cover even the cost of later activities. Unbalanced bidding adds to the complexity of cash flow models and requires a new model that can calculate different scenarios accurately and efficiently. Basic new theory is explored for unbalanced bidding in cash flow models by employing the range-based class of singularity functions. First, a new synthetic balanced cash flow model that can accurately consider the time value of money (TVM) and retainage is derived to serve as the foundation; second, various unbalanced markup functions including two-phase, linear, and non-linear types are defined both cumulatively and non-cumulatively; third, the performance of the extended synthetic cash flow model for unbalanced bidding is investigated mathematically.	[Su, Yi; Lucko, Gunnar] Catholic Univ Amer, Dept Civil Engn, Washington, DC 20064 USA	Lucko, G (corresponding author), Catholic Univ Amer, Dept Civil Engn, Washington, DC 20064 USA.	lucko@cua.edu	Su, Yi/M-5375-2017		National Science Foundation, Division of Civil, Mechanical and Manufacturing InnovationNational Science Foundation (NSF) [CMMI-0927455]	National Science Foundation, Division of Civil, Mechanical and Manufacturing Innovation 10.13039/100000147 [Grant Number CMMI-0927455].		35	9	9	0	10	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0144-6193	1466-433X		CONSTR MANAG ECON	Constr. Manag. Econ.	JAN 2	2015	33	1					35	54		10.1080/01446193.2015.1012527			20	Business	Business & Economics	CH8HW	WOS:000354278200004					2021-12-22	
J	Ujene, AO; Edike, UE				Ujene, Anthony Okwogume; Edike, Uche Emmanuel			Relationships among internal stakeholders in construction projects: A cognitive evaluation for sustainable team integration in Nigeria	INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT			English	Article						projects; construction; internal stakeholders; relationship; team integration		This study evaluates the relationships among internal stakeholders in the Nigerian construction industry. The objectives are to evaluate the factors influencing good working relationships, with priority placed on relationship indicators and variation in effect/priority among groups of relationships. A survey of 95 purposively sampled stakeholders resulted in 72 valid structured questionnaires. Data were analysed using mean score and Kruskal-Wallis tests. The study concludes that unitary relationships are more associated with professionals; coercive relationships more associated with contractors; while mutuality relationships are least prevalent. The influence of factors promoting/hindering good relationships do not significantly vary among the internal stakeholders (p-values = 0.665 and 0.468), while significant variation exists in the priority placed on relationship-oriented indicators (p-value = 0.015). The study recommends encouragement of mutual relationships, clear/regular communication, trust/respect for contractual conditions, cooperation/collaboration, adequate job descriptions and good job attitudes. Priority should be placed on seamless/collaborative operation, collective understanding and gain/pain-sharing, which encourage team integration.	[Ujene, Anthony Okwogume; Edike, Uche Emmanuel] Univ Uyo, Dept Bldg, Uyo, Akwa Ibom State, Nigeria	Ujene, AO (corresponding author), Univ Uyo, Dept Bldg, Uyo, Akwa Ibom State, Nigeria.	ujenetony@yahoo.com						23	7	7	0	21	TAYLOR & FRANCIS LTD	ABINGDON	4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1562-3599	2331-2327		INT J CONSTR MANAG	Int. J. Constr. Manag.	JAN 2	2015	15	1					71	81		10.1080/15623599.2015.1012142			11	Management	Business & Economics	CI1CQ	WOS:000354478900006					2021-12-22	
J	Jato-Espino, D; Castillo-Lopez, E; Rodriguez-Hernandez, J; Canteras-Jordana, JC				Jato-Espino, Daniel; Castillo-Lopez, Elena; Rodriguez-Hernandez, Jorge; Canteras-Jordana, Juan Carlos			A review of application of multi-criteria decision making methods in construction	AUTOMATION IN CONSTRUCTION			English	Review						Construction; Decision making; Multiple criteria analysis	ENVIRONMENTAL-IMPACT ASSESSMENT; INTEGRATING FUZZY AHP; CONTRACTOR SELECTION; SUSTAINABILITY ASSESSMENT; CONCRETE STRUCTURES; PROJECT SELECTION; EVALUATION MODEL; SYSTEM; MANAGEMENT; TOPSIS	Construction is an area of study wherein making decisions adequately can mean the difference between success and failure. Moreover, most of the activities belonging to this sector involve taking into account a large number of conflicting aspects, which hinder their management as a whole. Multi-criteria decision making analysis arose to model complex problems like these. This paper reviews the application of 22 different methods belonging to this discipline in various areas of the construction industry clustered in 11 categories. The most significant methods are briefly discussed, pointing out their principal strengths and limitations. Furthermore, the data gathered whilst performing the paper are statistically analysed to identify different trends concerning the use of these techniques. The review shows their usefulness in characterizing very different decision making environments, highlighting the reliability acquired by the most pragmatic and widespread methods and the emergent tendency to use some of them in combination. (C) 2014 Elsevier B.V. All rights reserved.	[Jato-Espino, Daniel; Rodriguez-Hernandez, Jorge] Univ Cantabria, Sch Civil Engn, GITECO Res Grp, E-39005 Santander, Spain; [Castillo-Lopez, Elena] Dept Geog Engn & Tech Graph Express, Santander 39005, Spain; [Canteras-Jordana, Juan Carlos] Univ Cantabria, Sch Civil Engn, Dept Water & Environm Sci & Tech, Ecol Res Grp, E-39005 Santander, Spain	Rodriguez-Hernandez, J (corresponding author), Univ Cantabria, Sch Civil Engn, GITECO Res Grp, E-39005 Santander, Spain.	jorge.rodriguez@unican.es	Castillo-Lopez, Elena/M-1310-2015; Rodriguez-Hernandez, Jorge/A-2677-2010; Jato-Espino, Daniel/G-5139-2015	Castillo-Lopez, Elena/0000-0002-7980-6116; Rodriguez-Hernandez, Jorge/0000-0003-1596-4024; Jato-Espino, Daniel/0000-0002-1964-6667	Spanish Ministry of Economy and Competitiveness with the General State Budget (PGE) [BIA2012-32463]; European Regional Development Fund (FEDER)European Commission	This paper was possible thanks to the research project entitled "Hydrological Rehabilitation of Urban Road Infrastructures (RHIVU)" (Ref. BIA2012-32463) financed by the Spanish Ministry of Economy and Competitiveness with the General State Budget (PGE) and the European Regional Development Fund (FEDER).		102	207	212	13	193	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0926-5805	1872-7891		AUTOMAT CONSTR	Autom. Constr.	SEP	2014	45						151	162		10.1016/j.autcon.2014.05.013			12	Construction & Building Technology; Engineering, Civil	Construction & Building Technology; Engineering	AY7ND	WOS:000347745800015		Green Published			2021-12-22	
J	Tsai, MK; Yang, JB; Yau, NJ				Tsai, Ming-Kuan; Yang, Jyh-Bin; Yau, Nie-Jia			DEVELOPING COMPUTER-BASED SCHEDULE DELAY ANALYSIS METHODS BASED ON INFORMATION FLOW ANALYSIS: A CASE STUDY	JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT			English	Article						analytical techniques; claims management; construction dispute; schedule delay; programming technique; project management software	CONSTRUCTION CLAIMS; MANAGEMENT	Schedule analysts often resolve diverse schedule delay problems in construction projects based on their subjective experiences. Although various process-based and mathematical-model schedule delay analysis methods are available for effective schedule delay analysis, these methods require time-consuming manual operation. The use of computer-based schedule delay analysis methods seems to be a solution. However, schedule analysts still have difficulty developing computer-based schedule delay analysis methods. Therefore, this study applies information flow analysis to classify the necessary work to develop computer-based schedule delay analysis methods. In contrast to numerous studies that focus only on computerizing a process-based or a mathematical-model schedule delay analysis method, this study constructs a computer-based method that integrates two process-based schedule delay analysis methods simultaneously. In a tested case study, the delay liability for the project owner and contractor was classified successfully. Importantly, this study provides a useful reference for similar applications in project management.	[Tsai, Ming-Kuan; Yau, Nie-Jia] Natl Cent Univ, Res Ctr Hazard Mitigat & Prevent, Zhongli, Taiwan; [Yang, Jyh-Bin] Natl Cent Univ, Grad Inst Construct Engn & Management, Zhongli, Taiwan	Tsai, MK (corresponding author), Natl Cent Univ, Res Ctr Hazard Mitigat & Prevent, Zhongli, Taiwan.	twmktsai@ms95.url.com.tw	Yang, Jyh-Bin/AAO-2806-2021		National Science CouncilMinistry of Science and Technology, Taiwan; National Central University, Taiwan, ROC [NSC 98-2211-E-216-046, NSC 98-2811-E-216-002, NSC 99-2211-E-216-043, NCU 100G901-11]	The authors would like to thank the National Science Council and National Central University, Taiwan, ROC, for financially supporting this research under Contract Nos. NSC 98-2211-E-216-046, NSC 98-2811-E-216-002, NSC 99-2211-E-216-043, and NCU 100G901-11.		27	5	5	4	19	VILNIUS GEDIMINAS TECH UNIV	VILNIUS	SAULETEKIO AL 11, VILNIUS, LT-10223, LITHUANIA	1392-3730	1822-3605		J CIV ENG MANAG	J. Civ. Eng. Manag.		2013	19	6					823	835		10.3846/13923730.2013.801901			13	Engineering, Civil	Engineering	278BM	WOS:000328863000005		hybrid			2021-12-22	
J	Kwak, YH; Smith, BM				Kwak, Young Hoon; Smith, Brian M.			Managing risks in mega defense acquisition projects: Performance, policy, and opportunities	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT			English	Article						Project management; Risk management; Department of Defense; Cost estimating; Future Combat Systems; Case study	IMPLEMENTING STRATEGY; MANAGEMENT	This research explores key aspects involved in the process of managing risk associated with acquisition projects within the US Department of Defense (DOD). First, various US Government Accountability Office reports are analyzed to identify the strengths and weaknesses of the DOD's overall program management practices, as well as individual projects. Then, the evolution and progress of United States Army's Future Combat Systems project is examined in detail as a case study to substantiate the argument that insufficient risk management has contributed to project delays and cost overruns significantly. Poor risk management performance and practices are not unique to the Army, but arises from a system bred into the process of gaining approval to implement projects in the DOD. Incorporating a comprehensive risk management plan in the planning phase and filling key project management positions with personnel trained to recognize sound proposals from contractors would make significant strides toward improving overall project management practices in the DOD. (C) 2009 Elsevier Ltd and IPMA. All rights reserved.	[Kwak, Young Hoon] George Washington Univ, Sch Business, Dept Decis Sci, Washington, DC 20052 USA; [Smith, Brian M.] USN, Ft Belvoir, VA 22060 USA	Kwak, YH (corresponding author), George Washington Univ, Sch Business, Dept Decis Sci, Funger Hall 411,2201 G St NW, Washington, DC 20052 USA.	kwak@gwu.edu; smith_brian@earthlink.net	kwak, Young Hoon/A-9002-2009	kwak, Young Hoon/0000-0003-3042-4130				47	35	35	1	46	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0263-7863	1873-4634		INT J PROJ MANAG	Int. J. Proj. Manag.	NOV	2009	27	8					812	820		10.1016/j.ijproman.2009.02.002			9	Management	Business & Economics	511TT	WOS:000271192600007					2021-12-22	
J	Lee, EB; Lee, H; Ibbs, CW				Lee, Eul-Bum; Lee, Hojung; Ibbs, C. W.			Productivity aspects of urban freeway rehabilitation with accelerated construction	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT			English	Article								Over the last 5 years the California Department of Transportation (Caltrans) has completed three experimental long-life urban freeway rehabilitation projects by utilizing a fast-track (accelerated) construction approach of around-the-clock operations under extended closure. This paper presents the fast-track rehabilitation approaches and the as-built production rates of major rehabilitation operations monitored at the three experimental projects. The monitoring results show that the contractor's production rates varied considerably depending upon the construction logistics, material delivery and hauling methods, lane-closure tactics, and/or pavement designs being implemented. A higher production rate and a noticeable "learning-curve effect" were observed when full-width rehabilitation was compared with partial-width rehabilitation, when continuous lane reconstruction was compared with random slab replacements, and when full roadbed closures were compared with partial lane closures. Findings in this study suggest that Caltrans should evaluate project-specific conditions and constraints, which might restrict use of a preferred rehabilitation scheme, by taking production rate variances into account when establishing schedule baselines of construction staging plans and incentive/disincentive contracts for urban freeway rehabilitation projects.	Univ Calif Berkeley, Inst Transport Studies, Richmond, CA 94804 USA; Univ Calif Berkeley, Dept Civil & Environm Engn, Berkeley, CA 94720 USA	Lee, EB (corresponding author), Univ Calif Berkeley, Inst Transport Studies, 1353 S 46th St,Bldg 452 PRC, Richmond, CA 94804 USA.	eblee@berkeley.edu; hoj2@berkeley.edu; ibbs@ce.berkeley.edu		LEE, EUL-BUM/0000-0001-8885-1798				11	9	9	0	9	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0733-9364	1943-7862		J CONSTR ENG M	J. Constr. Eng. Manage.	OCT	2007	133	10					798	806		10.1061/(ASCE)0733-9364(2007)133:10(798)			9	Construction & Building Technology; Engineering, Industrial; Engineering, Civil	Construction & Building Technology; Engineering	215XY	WOS:000249843500010					2021-12-22	
J	Palaneeswaran, E; Kumaraswamy, MM				Palaneeswaran, E; Kumaraswamy, MM			Knowledge mining of information sources for research in construction management	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT			English	Article						construction management; research; information management	INTERNET	Extracting the right information at the right time is vital in any research project. Moreover, researchers generally seek innovative "knowledge mining" techniques for optimizing their research efforts within constrained time frames and with scarce resources. Meanwhile, rapid developments in the fields of computing and information technology drive the accelerated globalization process in both industry and academia. This paper explores some of the emerging technologies and associated research methodologies from an information supply chain perspective. An application in a recent Internet based two-phase questionnaire survey for design/build contractor selection provides a useful case study in the structuring of an innovative knowledge mining strategy. This experience feeds into the formulation of a "high-velocity" knowledge mining framework and a set of guidelines-to facilitate and enhance such innovative construction management research, while dealing with some initial issues/problems in the Internet based research environment. Furthermore, some critical success factors, key performance indicators, and mining strategies are consolidated for marshalling both vivid and tacit knowledge sources, such as by "exploiting" Internet resources for more creative and efficient construction management research.	Univ Hong Kong, Dept Civil Engn, Hong Kong, Hong Kong, Peoples R China	Palaneeswaran, E (corresponding author), Univ Hong Kong, Dept Civil Engn, Pokfulam Rd, Hong Kong, Hong Kong, Peoples R China.	palanees@hkusua.hku.hk; mohan@hkucc.hku.hk	Ekambaram, Palaneeswaran/I-6481-2013; Kumaraswamy, Mohan/C-1802-2009					34	5	5	0	12	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0733-9364	1943-7862		J CONSTR ENG M	J. Constr. Eng. Manage.	MAR-APR	2003	129	2					182	191		10.1061/(ASCE)0733-9364(2003)129:2(182)			10	Construction & Building Technology; Engineering, Industrial; Engineering, Civil	Construction & Building Technology; Engineering	657PR	WOS:000181676000009					2021-12-22	
J	Hosseinian, SM; Andalib, M; Carmichael, DG				Hosseinian, S. Mahdi; Andalib, Mohammad; Carmichael, David G.			Appropriate Types of Payments in Construction Contracts Based on Agency Theory Parameters	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT			English	Article						Contract; Payment; Agency theory; Construction	ASYMMETRIC INFORMATION; SAMPLE-SIZE; MANAGEMENT; PERFORMANCE; DESIGN; DELPHI; COMPENSATION; INCENTIVES; STRATEGIES; SELECTION	Choosing between different compensation strategies is one of the major concerns of owners in construction contracts. This paper is aimed at examining the choice between behavior-based and outcome-based payment types through the views of practitioners from construction projects with variables defined by agency theory. The study adopts the analysis of data through the Delphi technique supported by factor analysis and multinomial logistic regressions to test the paper hypotheses. The paper shows that in projects with a high level of contractor risk aversion, outcome uncertainty, task programmability, and information systems, cost-plus-fee payment is more attractive than lump-sum payment. Conversely, the paper shows that in projects with a high level of goal conflict and outcome measurability, lump-sum payment is more attractive than cost-plus-fee payment. The results demonstrate the practical usefulness of agency theory in the arena of construction management. The contribution of this paper lies in providing insights into choosing an appropriate contract payment type based on agency theory parameters.	[Hosseinian, S. Mahdi; Andalib, Mohammad] Bu Ali Sina Univ, Sch Engn, Dept Civil Engn, Hamadan 6517838695, Hamadan, Iran; [Carmichael, David G.] Univ New South Wales, Sch Civil & Environm Engn, Sydney, NSW 2052, Australia	Hosseinian, SM (corresponding author), Bu Ali Sina Univ, Sch Engn, Dept Civil Engn, Hamadan 6517838695, Hamadan, Iran.	s.hosseinian@basu.ac.ir		Carmichael, David G./0000-0002-2941-3488				78	0	0	1	1	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0733-9364	1943-7862		J CONSTR ENG M	J. Constr. Eng. Manage.	JAN 1	2022	148	1							04021187	10.1061/(ASCE)CO.1943-7862.0002228			14	Construction & Building Technology; Engineering, Industrial; Engineering, Civil	Construction & Building Technology; Engineering	WY8MT	WOS:000719532100003					2021-12-22	
J	Nuttens, T; Stal, C; De Backer, H; Schotte, K; Van Bogaert, P; De Wulf, A				Nuttens, Timothy; Stal, Cornelis; De Backer, Hans; Schotte, Ken; Van Bogaert, Philippe; De Wulf, Alain			Methodology for the ovalization monitoring. of newly built circular train tunnels based on laser scanning: Liefkenshoek Rail Link (Belgium)	AUTOMATION IN CONSTRUCTION			English	Article						Tunnel monitoring; Ovalization; 3D laser scanning; Cross-sections	3D	The ovalization monitoring methodology based on laser scanning, developed during two recent tunneling projects in Belgium, elaborates a clear processing workflow and easily interpretable deliverables with sub-millimeter accuracy. The extensive and systematic monitoring coverage during the first three months after construction of a circular tunnel structure delivers an important contribution to the understanding of the tunnels' behavior between the construction phase and the final stabilized shape. The observed differences of the average radius values generally show a decrease in the first week after ring erection and a stabilization of the tunnel structure during the following weeks. The results of such a systematic monitoring program allow the contractors or engineers involved to validate the theoretical models and to compare with the actual behavior of large diameter shield tunneling in soft soil. This is highly valuable, because very few measurements are available at this early stage of a tunnel construction to evaluate the performance and accuracy of such theoretical models. (C) 2014 Elsevier B.V. All rights reserved.	[Nuttens, Timothy; Stal, Cornelis; De Wulf, Alain] Univ Ghent, Dept Geog WE12, B-9000 Ghent, Belgium; [De Backer, Hans; Schotte, Ken; Van Bogaert, Philippe] Univ Ghent, Dept Civil Engn, B-9052 Zwijnaarde, Belgium	Nuttens, T (corresponding author), Univ Ghent, Dept Geog WE12, Krijgslaan 281,Bldg S8, B-9000 Ghent, Belgium.	Timothy.Nuttens@UGent.be; Comelis.Stal@UGent.be; Hans.DeBacker@UGent.be; Ken.Schotte@UGent.be; Philippe.VanBogaert@UGent.be; Alain.DeWulf@UGent.be	Schotte, Ken/A-4658-2016; Stal, Cornelis/ABE-9028-2020	Schotte, Ken/0000-0002-9114-9390; Stal, Cornelis/0000-0002-4704-8330				30	41	43	9	57	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0926-5805	1872-7891		AUTOMAT CONSTR	Autom. Constr.	JUL	2014	43						1	9		10.1016/j.autcon.2014.02.017			9	Construction & Building Technology; Engineering, Civil	Construction & Building Technology; Engineering	AL0KD	WOS:000338814900001					2021-12-22	
J	Aragones-Beltran, P; Garcia-Melon, M; Montesinos-Valera, J				Aragones-Beltran, Pablo; Garcia-Melon, Monica; Montesinos-Valera, Jesus			How to assess stakeholders' influence in project management? A proposal based on the Analytic Network Process	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT			English	Article						Stakeholder management; Stakeholder influence; Project management; Analytic Network Process	DECISION-MAKING; CONSTRUCTION; SUCCESS	In this paper we present a methodology to measure stakeholders' influences within a project from the point of view of the Project Manager. It is a novel proposal for the definition of "influence" among stakeholders based on a multiperspective approach. The concept of influence is broken down into criteria, evaluating different aspects that together define an index which measures the influence of each stakeholder with respect to the rest of the project team. This index is calculated with the Analytic Network Process. The methodology has been applied to a maintenance project for the Spanish National Railway Infrastructure company. Results show that the most influential stakeholders are the Contractor and the Signaling systems provider accounting for 40% of the total influence. These results have helped the Project Manager to be aware of the two most influential stakeholders and set the guidelines for the stakeholder management in the future. (C) 2017 Elsevier Ltd. APM and IPMA. All rights reserved.	[Aragones-Beltran, Pablo] Univ Politecn Valencia, Dept Engn Projects, Camino Vera s-n, E-46022 Valencia, Spain; [Garcia-Melon, Monica] Univ Politecn Valencia, INGENIO CSIC UPV, Camino Vera S-N, E-46022 Valencia, Spain; [Montesinos-Valera, Jesus] Adm Infraestructuras Ferroviarias ADIF, Operat & Engn Dept, Ballen 5, Valencia 46007, Spain	Aragones-Beltran, P (corresponding author), Univ Politecn Valencia, Dept Engn Projects, Camino Vera s-n, E-46022 Valencia, Spain.	aragones@dpi.upv.es; mgarciam@dpi.upv.es; jemontesinos@adif.es	Aragones, Pablo/L-8764-2013	Aragones, Pablo/0000-0003-0538-9409				48	43	44	6	67	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0263-7863	1873-4634		INT J PROJ MANAG	Int. J. Proj. Manag.	APR	2017	35	3					451	462		10.1016/j.ijproman.2017.01.001			12	Management	Business & Economics	EP0JR	WOS:000397074100017		Green Published			2021-12-22	
