PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	FLEISCHER, M; LIKER, JK				FLEISCHER, M; LIKER, JK			THE HIDDEN PROFESSIONALS - PRODUCT DESIGNERS AND THEIR IMPACT ON DESIGN QUALITY	IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT			English	Article							COMPUTER-AIDED-DESIGN; CAD CAM	The management of designers and the design process controls a crucial element in the efficiency and effectiveness of product realization. U.S. companies typically distinguish the role of "design engineer," treated as a professional, from that of "designer," treated as a worker who creates the detailed design. This paper discusses the roles of designers in the development engineering phase of product development, and examines the effects of designer communication, job design, organization climate, and CAD system quality on design quality. A survey of designers and design engineers at ten manufacturing sites was conducted. Communication with downstream processes, task significance, and job commitment were associated with greater achievement of manufacturability objectives. Communication with downstream processes and within the design core team were associated with achievement of strength objectives. Job commitment was a significant predictor of achievement of cost objectives. CAD system quality was not associated with any of the outcome measures. These results suggest that managers of development engineering organizations should treat designers more as professionals and less as workers. They should also redesign the jobs of both designers and design engineers to insure that the designers have greater responsibility and authority for linking with external groups.	UNIV MICHIGAN,IND & OPERAT ENGN,ANN ARBOR,MI 48109	FLEISCHER, M (corresponding author), IND TECHNOL INST,ANN ARBOR,MI 48106, USA.							34	30	30	3	5	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017-2394	0018-9391			IEEE T ENG MANAGE	IEEE Trans. Eng. Manage.	AUG	1992	39	3					254	264		10.1109/17.156559			11	Business; Engineering, Industrial; Management	Business & Economics; Engineering	JL922	WOS:A1992JL92200007					2021-12-21	
J	Gasparski, WW				Gasparski, WW			Designer's responsibility: methodological and ethical dimensions	AUTOMATION IN CONSTRUCTION			English	Article; Proceedings Paper	20th Conference on Design E-ducation - Connecting the Real and the Virtual (eCAADe 2002)	2002	WARSAW, POLAND			designer; methodological; ethical; responsibility		A designer is one who designs, where "to design"-from Latin designare-means "to mark out". Those who design professionally are professional designers who "see and seek value in new designs". Seeing and seeking might be done in two ways: narrower or broader. According to the approach characteristic for design-methodological reductionism, those things that are designed are considered the designed objects. In this approach, the designer's task is limited to artifacts narrowly understood. Systemic design methodology describes that "what is designed" in terms of an object of design. In the domain of designing, like in any kind of human professional activity, two types of moral dimensions are identified: endo- and egzomorality. The first deals with the moral code of design activity, the second with social responsibility of what is done by professional designers. Both define elements of designer's accountability: first, in respect of truth and honesty in relation to the designer's product-a design, second, in respect to societal benefit and not harm, both in respect to relevancy of what is designed for practical use. Once, producing and teaching good science is the main tasks of scholars, those among the scholars who are involved in design science are responsible not only for producing good design science but also for educating designers as reflective practitioners conscious of what every designer should know about objects of design and ethics related to the profession. (C) 2003 Elsevier B.V. All rights reserved.	Polish Acad Sci, Sci Studies Comm, Warsaw, Poland	Gasparski, WW (corresponding author), Polish Acad Sci, Sci Studies Comm, Warsaw, Poland.	wgaspars@ifispan.waw.pl						13	1	1	0	5	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0926-5805	1872-7891		AUTOMAT CONSTR	Autom. Constr.	NOV	2003	12	6					635	640		10.1016/S0926-5805(03)00051-7			6	Construction & Building Technology; Engineering, Civil	Construction & Building Technology; Engineering	740PJ	WOS:000186410500002					2021-12-21	
J	Chase, SC				Chase, SC			Generative design tools for novice designers: Issues for selection	AUTOMATION IN CONSTRUCTION			English	Article; Proceedings Paper	Generative CAD Systems Symposium 2004	JUL 12-15, 2004	Camegie Mellon Univ, Pittsburgh, PA		Camegie Mellon Univ	generative design tools; novice designers; CAD		Computer-based generative design tools are often restricted in their scope due to implementation issues. These simple applications can serve as teaching aids for novice designers. Characterizations of generative tools and methods are described as a means of determining appropriate pedagogical tools. (c) 2004 Elsevier B.V. All rights reserved.	Univ Strathclyde, Glasgow G1 1XQ, Lanark, Scotland	Chase, SC (corresponding author), Univ Strathclyde, Glasgow G1 1XQ, Lanark, Scotland.	s.c.chase@strath.ac.uk	Chase, Scott Curland/D-3464-2011	Chase, Scott Curland/0000-0001-8823-5071				30	36	36	3	16	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0926-5805	1872-7891		AUTOMAT CONSTR	Autom. Constr.	DEC	2005	14	6					689	698		10.1016/j.autcon.2004.12.004			10	Construction & Building Technology; Engineering, Civil	Construction & Building Technology; Engineering	983JM	WOS:000233227600002					2021-12-21	
J	Sacks, R; Whyte, J; Swissa, D; Raviv, G; Zhou, W; Shapira, A				Sacks, Rafael; Whyte, Jennifer; Swissa, Dana; Raviv, Gabriel; Zhou, Wei; Shapira, Aviad			Safety by design: dialogues between designers and builders using virtual reality	CONSTRUCTION MANAGEMENT AND ECONOMICS			English	Article						engineering design; construction safety; virtual reality.; Building design	CONSTRUCTION WORKER SAFETY; KNOWLEDGE	Designers can contribute to enhancing the safety of construction work by considering how their decisions impact on both the physical environment in which construction workers operate and the means and methods they use. To do so, however, designers require knowledge about safety hazards on site and the opportunity to examine their designs early in projects. Through a set of studies virtual reality tools were used to examine the potential for collaborative dialogue between designers and builders to provide a forum for learning and proactive change of a design to make a project safer to build. In the tests, participants viewed proposed designs using virtual reality to examine various alternative design and construction scenarios. The study shows that consultation and dialogue with an experienced construction professional are highly beneficial for designers to appreciate the implications of designs on safety, and that designers are more willing to adapt design details than to change aesthetic aspects of their designs.	[Sacks, Rafael; Swissa, Dana; Raviv, Gabriel; Shapira, Aviad] Technion Israel Inst Technol, Fac Civil Engn, Virtual Construct Lab, IL-32000 Haifa, Israel; [Whyte, Jennifer] Univ Reading, Sch Construct Management & Engn, Design Innovat Res Ctr, Reading, Berks, England; [Zhou, Wei] Bldg Res Estab, Watford WD2 7JR, England	Sacks, R (corresponding author), Technion Israel Inst Technol, Fac Civil Engn, Virtual Construct Lab, IL-32000 Haifa, Israel.	cvsacks@technion.ac.il	Sacks, Rafael/B-1431-2008; Whyte, Jennifer/AAF-9739-2021; Whyte, Jennifer/D-3885-2009	Sacks, Rafael/0000-0001-9427-5053; Whyte, Jennifer/0000-0003-4640-2913; Whyte, Jennifer/0000-0003-4640-2913	Engineering and Physical Sciences Research CouncilUK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC) [EP/H02204X/1]; Institution of Occupational Safety and Health; Israel Ministry of Construction and Housing; EPSRCUK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC) [EP/E001645/1, EP/H02204X/1] Funding Source: UKRI; Engineering and Physical Sciences Research CouncilUK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC) [EP/E001645/1] Funding Source: researchfish	The authors acknowledge the important contributions of the senior managers and designers who participated in the tests. Part of this work was conducted in Engineering and Physical Sciences Research Council funded Design Innovation Research Centre (EP/H02204X/1); funding for the tests at the University of Reading was provided under a grant from the Institution of Occupational Safety and Health; funding for the tests at the Technion was provided under a grant from the Israel Ministry of Construction and Housing. The authors are grateful to these organizations for their support for the research.		29	40	40	3	27	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0144-6193	1466-433X		CONSTR MANAG ECON	Constr. Manag. Econ.	JAN 2	2015	33	1					55	72		10.1080/01446193.2015.1029504			18	Business	Business & Economics	CH8HW	WOS:000354278200005		Green Accepted, hybrid			2021-12-21	
J	Karna, S; Junnonen, JM				Karna, Sami; Junnonen, Juha-Matti			Designers' performance evaluation in construction projects	ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT			English	Article						Project management; Customer satisfaction; Performance measures; Design management; Critical success factors; Project participants satisfaction	CRITICAL SUCCESS FACTORS; SATISFACTION; QUALITY	Purpose - In a construction project, "participants' satisfaction" is one of the main dimensions used for measuring the successfulness of a project. Designers perform a major role in attaining the project goals and managing project complexity during production. The purpose of this paper is to examine the designers' performance as evaluated by the main participants: the client, the project consultant/manager and the main contractor, and to identify the main success factors of designer performance using the participants' evaluation. The study also aims to examine how the economic size of a project affects the project participants' assessment of the designer's performance. It is assumed that as the size of a project increases, so does the complexity of the project, which will affect the scope of work and demands on the designers' operational performance for the specific project level. Design/methodology/approach - The Finnish project evaluation and benchmark database was used in this study as empirical data. The quantitative data consists of surveys on the project level and are based on a multi-dimensional standard evaluation wherein the main participants evaluate each other's performances. The client, project consultant and main contractor evaluated the designer's performance. The data of the study consisted of a total of 892 evaluations. ANOVA analysis was used to examine the differences between the project participants' assessments based upon the different economic sizes of the projects. Findings - Contractors were satisfied with the designers' performance in small projects, whereas the client and the project consultant/manager rated the designers' performance most successful in large projects. This result may be due to small projects are typically simple and less complex, in which case design solutions are generally well-defined. Nonetheless, the participants' level of satisfaction follows the same factors. The main problems in the designers' performance were related to the design content: the flawlessness and comprehensiveness, as well as the compatibility and consistency of designs. These factors were emphasized particularly in the client's low satisfaction of the designer's performance. However, project participants were satisfied with the collaboration with designers; however, room for improvement could be found in internal communication and collaboration within the design teams. The findings illustrated that the assessment of the success rate of a project was party-specific, which was clearly affected by the size of the project, as large projects appeared to be more complex than smaller ones. Practical implications - The findings suggested that there is a need to develop project-specific practices in managing multidisciplinary design teams. Additionally, particularly in large projects, designers should focus more on solving problems and design requirements occurring at the construction site. However, this should be implemented in such a way that this does not interfere with the design activities conducted with the client and project management. While client satisfaction is low in the small projects, designers should focus more on customer-oriented methods to serve client needs better. Originality/value - In construction project management studies, there is a need to measure the importance that various participants assign to different success factors. Since project success factors depend on project type, a more project-specific approach is suggested to identify the main parameters for measuring project success. This study provides a holistic approach of the designers' performance, which contributes to the theory of project success and designers' performance improvement.	[Karna, Sami; Junnonen, Juha-Matti] Aalto Univ, Espoo, Finland	Karna, S (corresponding author), Aalto Univ, Espoo, Finland.	sami.karna@aalto.fi		Junnonen, Juha-Matti Kalevi/0000-0001-7538-8386	Finnish Construction Quality Association (RALA)	The authors wish to thank Finnish Construction Quality Association (RALA) for their support and collaboration for the reported study.		51	18	18	1	24	EMERALD GROUP PUBLISHING LTD	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	0969-9988	1365-232X		ENG CONSTR ARCHIT MA	Eng. Constr. Archit. Manag.		2017	24	1					154	169		10.1108/ECAM-06-2015-0101			16	Engineering, Industrial; Engineering, Civil; Management	Engineering; Business & Economics	EM8XI	WOS:000395594000009					2021-12-21	
J	Ibrahim, CKIC; Belayutham, S; Manu, P; Mahamadu, AM				Che Ibrahim, Che Khairil Izam; Belayutham, Sheila; Manu, Patrick; Mahamadu, Abdul-Majeed			Key attributes of designers' competency for prevention through design (PtD) practices in construction: a review	ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT			English	Review						Prevention through design; Competency; Designer; Safety; Construction	OCCUPATIONAL-HEALTH; HAZARD IDENTIFICATION; ACCIDENT PREVENTION; SAFE CONSTRUCTION; KNOWLEDGE; RISK; INTEGRATION; PROJECTS; SITE; PERSPECTIVES	Purpose Designers have a key role to play in the Prevention through Design (PtD) practices in construction projects. Nonetheless, previous studies indicated that the issue of competencies to perform and sustain such practices over time is of a significant concern. This study aims to explore the key attributes of designers' competencies for PtD practices in construction. Design/methodology/approach By using the Scopus database, a total of 86 papers related to PtD in construction published in peer-reviewed journals were reviewed and analysed using the well-established systematic literature review (SLR) methodology. Findings The review indicates that in order to be competent in PtD implementation, designers need to be equipped with tacit and explicit knowledge, technical and soft skills and experience related to PtD. Furthermore, the review identifies attributes of these competencies. Additionally, a framework that links key PtD elements/principles with the PtD competencies is presented. Practical implications The findings would enable contribution to the industry by providing the necessary references for design organisations to improve their designers' PtD competencies and hence, be able to meet their responsibility under relevant occupational safety and health (OSH) legislative framework. Originality/value This study extends the PtD literature in the construction context by providing deeper insights into the conceptualisation of relationship between competent designers and PtD elements. The novelty also lies in the consolidation of PtD competency attributes for designers in construction that could act as a reference for any future developments related to PtD competency assessment for designers.	[Che Ibrahim, Che Khairil Izam; Belayutham, Sheila] Univ Teknol MARA, Fac Civil Engn, Shah Alam, Malaysia; [Manu, Patrick] Univ Manchester, Sch Mech Aerosp & Civil Engn, Manchester, Lancs, England; [Mahamadu, Abdul-Majeed] Univ West England, Fac Environm & Technol, Bristol, Avon, England	Ibrahim, CKIC (corresponding author), Univ Teknol MARA, Fac Civil Engn, Shah Alam, Malaysia.	chekhairil449@uitm.edu.my; sheila6913@salam.uitm.edu.my; patrick.manu@manchester.ac.uk; Abdul.Mahamadu@uwe.ac.uk	Belayutham, Sheila/AAZ-3012-2021; Manu, Patrick/N-9004-2013	Belayutham, Sheila/0000-0003-2009-2603; Manu, Patrick/0000-0001-7766-8824; Mahamadu, Abdul-Majeed/0000-0001-7757-8562; Che Ibrahim, Che Khairil Izam/0000-0002-7728-3702	National Institute of Occupational Safety and Health (NIOSH), MalaysiaUnited States Department of Health & Human ServicesCenters for Disease Control & Prevention - USANational Institute for Occupational Safety & Health (NIOSH) [03-16/03/DCM/2020/01]	The work described in this paper was fully supported by a research grant from the National Institute of Occupational Safety and Health (NIOSH), Malaysia (Ref No. 03-16/03/DCM/2020/01). Its contents are solely the responsibility of the authors and do not necessarily represent the official views of the NIOSH.		90	6	6	4	19	EMERALD GROUP PUBLISHING LTD	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	0969-9988	1365-232X		ENG CONSTR ARCHIT MA	Eng. Constr. Archit. Manag.	APR 28	2021	28	4					908	933		10.1108/ECAM-04-2020-0252		JUL 2020	26	Engineering, Industrial; Engineering, Civil; Management	Engineering; Business & Economics	RW8JJ	WOS:000552931100001		Green Accepted			2021-12-21	
J	Shen, WL; Zhang, XL; Shen, GQ; Fernando, T				Shen, Weilin; Zhang, Xiaoling; Shen, Geoffrey Qiping; Fernando, Terrence			The User Pre-Occupancy Evaluation Method in designer-client communication in early design stage: A case study	AUTOMATION IN CONSTRUCTION			English	Article						Building information model; User activity simulation; User Pre-Occupancy Evaluation Method; Designer-client communication; Virtual reality	SUPPORT SYSTEMS; BEHAVIOR; MODEL; SIMULATION; TASK	The interaction between designers and clients is continuous during the briefing and architectural design stage. The efficiency of the interaction process may be decreased due to the limited experience of clients, such as the limited capacity in understanding drawings or reviewing design solutions. A User Pre-Occupancy Evaluation Method (UPOEM) was developed to enhance the designer-client communication by applying building information modeling, user activity simulation, and requirement management techniques. A case study is used to apply the UPOEM to verify the practical implementation in a real project and from which a comparative experimental study and questionnaire survey were conducted. The findings indicate that the UPOEM can help generate more suggestions for improving design solution during designer-client communication compared with traditional approach. It can also enhance the clients' understanding of the future built environment as well as their willingness in collaborative working with designers at the early design stage. (C) 2013 Elsevier B.V. All rights reserved.	[Shen, Weilin] Hong Kong Polytech Univ, Dept Bldg & Real Estate, Fac Construct & Land Use, Hong Kong, Hong Kong, Peoples R China; [Zhang, Xiaoling] City Univ Hong Kong, Coll Liberal Arts & Social Sci, Dept Publ & Social Adm, Hong Kong, Hong Kong, Peoples R China; [Shen, Geoffrey Qiping] Hong Kong Polytech Univ, Dept Bldg & Real Estate, Hong Kong, Hong Kong, Peoples R China; [Fernando, Terrence] Univ Salford, ThinkLab, Salford M5 4WT, Lancs, England	Zhang, XL (corresponding author), City Univ Hong Kong, Coll Liberal Arts & Social Sci, Dept Publ & Social Adm, Hong Kong, Hong Kong, Peoples R China.	shenallan@vip.sina.com; xiaoling.zhang@cityu.edu.hk; bsqpshen@inet.polyu.edu.hk; t.fernando@salford.ac.uk	Zhang, Xiaoling/AAT-4795-2020; Shen, Geoffrey Qiping/A-1250-2014; Zhang, Xiaoling/AAT-4748-2020	Shen, Geoffrey Qiping/0000-0002-3111-2019; Zhang, Xiaoling/0000-0002-6369-9424				41	29	30	0	25	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0926-5805			AUTOMAT CONSTR	Autom. Constr.	JUL	2013	32						112	124		10.1016/j.autcon.2013.01.014			13	Construction & Building Technology; Engineering, Civil	Construction & Building Technology; Engineering	139LL	WOS:000318584100011					2021-12-21	
J	Tarasewich, P; Nair, SK				Tarasewich, P; Nair, SK			Designer-moderated product design	IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT			English	Article						conjoint analysis; genetic algorithms; heuristics; multiparty preferences; product design	BUYER-SELLER NEGOTIATIONS; COOPERATIVE GAMES; NASH THEORY; PREFERENCES; ALGORITHMS; SELECTION; OUTCOMES	A well-designed product can provide a firm with a competitive advantage that will enable it to achieve a higher market share and increased profits, Conjoint analysis procedures are often used for product design. Numerous methods have been developed to take conjoint data and produce optimal or near-optimal product designs. But conjoint analysis, while significantly contributing to the product design process, still has the limitation of designing a product based only on input from the consumer. Under certain circumstances, designer preferences are an important source of expertise that needs to supplement consumer preferences in the product design problem, This research proposes a unique way of designing products using the distinct and parallel opinions from both the consumer and the designer, a concept we call designer-moderated product design. This paper 1) makes a case for using designer as well as consumer preferences; 2) formulates a share-of-choices model for designer-moderated product designs; 3) develops and evaluates a heuristic to solve the problem using genetic algorithm techniques; and 3) presents a real application of the model and the heuristic.	Univ Massachusetts, Coll Management, Boston, MA 02125 USA; Univ Connecticut, Operat & Informat Management Dept, Sch Business, Storrs, CT 06269 USA	Tarasewich, P (corresponding author), Univ Massachusetts, Coll Management, Boston, MA 02125 USA.							32	27	27	0	4	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017-2394 USA	0018-9391			IEEE T ENG MANAGE	IEEE Trans. Eng. Manage.	MAY	2001	48	2					175	188		10.1109/17.922477			14	Business; Engineering, Industrial; Management	Business & Economics; Engineering	431FG	WOS:000168620700006					2021-12-21	
J	Zhang, LM; Wen, M; Ashuri, B				Zhang, Limao; Wen, Ming; Ashuri, Baabak			BIM Log Mining: Measuring Design Productivity	JOURNAL OF COMPUTING IN CIVIL ENGINEERING			English	Article						Building information modeling (BIM); Log data; Process mining; Productivity measurement; Pattern discovery	CONSTRUCTION; PATTERNS; SYSTEM	There has been a long debate on how to measure design productivity. Compared to construction productivity, design productivity is much more difficult to measure because design is an iterative and innovative process. Today, with rapid extension of building information modeling (BIM) applications, tremendous volumes of design logs have been generated by design software systems, such as Autodesk Revit. A systematic approach composed of a detailed step-by-step procedure is developed to deeply mine design logs in order to monitor and measure the productivity of the design process. A pattern retrieval algorithm is proposed to identify the most frequent design sequential patterns in building design projects. A novel metric for measuring design productivity based on the discovered sequential patterns is put forward. A large data set of design logs, provided by a large international design firm, is used as a case study to demonstrate the feasibility and applicability of the developed approach. Results indicate that: (1) typically, each designer executes specific commands more than any other commands; for instance, it is shown for a designer that the accumulative frequency of three commands can reach up to 56.15% of the entire number of commands executed by the designer; (2) a particular sequential pattern of design commands (\" pick lines -> \"trim/extend two lines or walls to make a corner -> \"finish sketch") has been executed 2,219 times, accounting for 46.75% of instances associated with the top five discovered sequential patterns of design commands; (3) the identified sequential patterns can be used as a project control mean to detect outlier performers that may require additional attention from project leaders; and (4) productivity performance within the discovered sequential patterns varies significantly among different designers; for instance, one of the designers (designer #6 in the case study) is identified as the most productive designer in executing both Patterns I and II, whereas another designer (Designer #1) is found to be the most productive designer in executing both Patterns III and IV. It is also uncovered that designers, on average, spend less time running the most observed sequential patterns of design commands as they gain more experience. This research contributes: (1) to the body of knowledge by providing a novel approach to monitoring, measuring, and analyzing design productivity; and (2) to the state of practice by providing new insights into what additional design process information can be retrieved from Revit journal files. (c) 2017 American Society of Civil Engineers.	[Zhang, Limao] Georgia Inst Technol, Coll Design, Sch Bldg Construct, 280 Ferst Dr, Atlanta, GA 30332 USA; [Zhang, Limao] Georgia Inst Technol, Coll Design, Sch Civil & Environm Engn, 280 Ferst Dr, Atlanta, GA 30332 USA; [Wen, Ming] Georgia Inst Technol, Sch Elect & Comp Engn, Coll Engn, 280 Ferst Dr, Atlanta, GA 30332 USA; [Ashuri, Baabak] Georgia Inst Technol, Brook Byers Inst Sustainable Syst, 280 Ferst Dr, Atlanta, GA 30332 USA; [Ashuri, Baabak] Georgia Inst Technol, Sch Bldg Construct, Econ Sustainable Built Environm Lab, 280 Ferst Dr, Atlanta, GA 30332 USA; [Ashuri, Baabak] Georgia Inst Technol, Sch Civil & Environm Engn, Econ Sustainable Built Environm Lab, 280 Ferst Dr, Atlanta, GA 30332 USA	Ashuri, B (corresponding author), Georgia Inst Technol, Brook Byers Inst Sustainable Syst, 280 Ferst Dr, Atlanta, GA 30332 USA.; Ashuri, B (corresponding author), Georgia Inst Technol, Sch Bldg Construct, Econ Sustainable Built Environm Lab, 280 Ferst Dr, Atlanta, GA 30332 USA.; Ashuri, B (corresponding author), Georgia Inst Technol, Sch Civil & Environm Engn, Econ Sustainable Built Environm Lab, 280 Ferst Dr, Atlanta, GA 30332 USA.	limao.zhang@design.gatech.edu; bitmingw@gmail.com; baabak@gatech.edu	Ashuri, Baabak/AAJ-2030-2020	Ashuri, Baabak/0000-0002-4320-1035; Zhang, Limao/0000-0002-7245-3741				56	13	13	1	45	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0887-3801	1943-5487		J COMPUT CIVIL ENG	J. Comput. Civil. Eng.	JAN	2018	32	1							04017071	10.1061/(ASCE)CP.1943-5487.0000721			13	Computer Science, Interdisciplinary Applications; Engineering, Civil	Computer Science; Engineering	FW4BK	WOS:000425257300007					2021-12-21	
J	Zhang, LY; Sun, H				Zhang, Lianying; Sun, Hui			The impacts of ethical climate on knowledge contribution loafing among designers in engineering design firms: mediated effect of knowledge leadership	ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT			English	Article						Ethical climate; Knowledge contribution loafing; Knowledge leadership; Engineering design firms	MANAGEMENT-PRACTICES; ORIENTED LEADERSHIP; TRUST; JUSTICE; ARCHITECTS; RETENTION; BEHAVIOR; TEAMS; GOALS; POWER	Purpose Knowledge contribution loafing as one of the major obstacles to knowledge sharing among designers in engineering design firms impedes better achievement of engineering design. The purpose of this paper is to examine different types of ethical climate impacts on knowledge contribution loafing among designers through the mediating effect of knowledge leadership. Design/methodology/approach By adopting a quantitative research design, data were collected using a survey questionnaire from 352 designers in engineering design firms. The data were analyzed using the partial-least squares structural equation modeling approach to test hypotheses. Findings Ethical climate is an important factor to affect knowledge contribution loafing among designers, and three types of ethical climate (self-interest, social responsibility and law/professional codes) have different degrees of influence on knowledge contribution loafing. In addition, knowledge leadership can alleviate knowledge contribution loafing, and it is a mediator between ethical climate and knowledge contribution loafing. Practical implications Engineering design firms should cultivate and strengthen the role of social responsibility, law/professional codes and knowledge leadership and reduce the influence of self-interest to mitigate the negative of knowledge contribution loafing among designers. Originality/value By identifying ethical climate as a novel influence factor for knowledge contribution loafing, this research further highlights the role of different types of ethical climate in an engineering design context. Moreover, it delves deeply into the issue around different types of ethical climate affect knowledge contribution loafing among designers through the role of knowledge leadership. This broadens the understanding of how ethical climate affects knowledge contribution loafing among designers in the engineering design organizations and enriches knowledge management literatures in engineering design industry.	[Zhang, Lianying; Sun, Hui] Tianjin Univ, Construct Management, Tianjin, Peoples R China	Zhang, LY (corresponding author), Tianjin Univ, Construct Management, Tianjin, Peoples R China.	zhanglianying@tju.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [71872126, 71572126]	This research was financially supported by the National Natural Science Foundation of China (Projects 71872126 and 71572126).		71	0	0	7	27	EMERALD GROUP PUBLISHING LTD	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	0969-9988	1365-232X		ENG CONSTR ARCHIT MA	Eng. Constr. Archit. Manag.	JUN 25	2021	28	6					1807	1827		10.1108/ECAM-07-2019-0389		OCT 2020	21	Engineering, Industrial; Engineering, Civil; Management	Engineering; Business & Economics	TD7WA	WOS:000576390700001					2021-12-21	
