PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Chou, JS; Ngo, NT; Pham, AD				Chou, Jui-Sheng; Ngoc-Tri Ngo; Anh-Duc Pham			Shear Strength Prediction in Reinforced Concrete Deep Beams Using Nature-Inspired Metaheuristic Support Vector Regression" by Jui-Sheng Chou, Ngoc-Tri Ngo, and Anh-Duc Pham (vol 30, 04015002, 2015)	JOURNAL OF COMPUTING IN CIVIL ENGINEERING			English	Correction									[Chou, Jui-Sheng; Ngoc-Tri Ngo; Anh-Duc Pham] Natl Taiwan Univ Sci & Technol, Dept Civil & Construct Engn, Taipei 10607, Taiwan; [Anh-Duc Pham] Univ Danang, Univ Sci & Technol, Fac Project Management, Danang 59000, Vietnam	Chou, JS (corresponding author), Natl Taiwan Univ Sci & Technol, Dept Civil & Construct Engn, 43,Sect 4,Keelung Rd, Taipei 10607, Taiwan.	jschou@mail.ntust.edu.tw; D10205804@mail.ntust.edu.tw; paduc@dut.udn.vn	PHAM, AnhDuc/AAG-4499-2020; Chou, Jui-Sheng/C-8795-2009; Ngo, Ngoc-Tri/AAA-2178-2020	Chou, Jui-Sheng/0000-0002-8372-9934; Ngo, Ngoc-Tri/0000-0002-7102-4566				1	1	1	1	6	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0887-3801	1943-5487		J COMPUT CIVIL ENG	J. Comput. Civil. Eng.	JAN	2016	30	1							08215001	10.1061/(ASCE)CP.1943-5487.0000485			1	Computer Science, Interdisciplinary Applications; Engineering, Civil	Computer Science; Engineering	CY9RM	WOS:000366744000026					2021-12-21	
J	Chou, JS; Ngo, NT; Pham, AD				Chou, Jui-Sheng; Ngoc-Tri Ngo; Anh-Duc Pham			Closure to "Shear Strength Prediction in Reinforced Concrete Deep Beams Using Nature-Inspired Metaheuristic Support Vector Regression" by Jui-Sheng Chou, Ngoc-Tri Ngo, and Anh-Duc Pham	JOURNAL OF COMPUTING IN CIVIL ENGINEERING			English	Editorial Material									[Chou, Jui-Sheng; Ngoc-Tri Ngo] Natl Taiwan Univ Sci & Technol, Dept Civil & Construct Engn, Taipei 10607, Taiwan; [Chou, Jui-Sheng] Arizona State Univ, Sch Sustainable Engn & Built Environm, Del E Webb Sch Construct, Tempe, AZ 85287 USA; [Anh-Duc Pham] Univ Danang, Univ Sci & Technol, Fac Project Management, Danang 59000, Vietnam	Chou, JS (corresponding author), Natl Taiwan Univ Sci & Technol, Dept Civil & Construct Engn, 43,Sec 4,Keelung Rd, Taipei 10607, Taiwan.	jschou@mail.ntust.edu.tw; D10205804@mail.ntust.edu.tw; D9905806@mail.ntust.edu.tw	PHAM, AnhDuc/AAG-4499-2020; Ngo, Ngoc-Tri/AAA-2178-2020; Chou, Jui-Sheng/C-8795-2009	Chou, Jui-Sheng/0000-0002-8372-9934; Ngo, Ngoc-Tri/0000-0002-7102-4566				14	0	0	0	8	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0887-3801	1943-5487		J COMPUT CIVIL ENG	J. Comput. Civil. Eng.	JAN	2016	30	1							07015002	10.1061/(ASCE)CP.1943-5487.0000547			2	Computer Science, Interdisciplinary Applications; Engineering, Civil	Computer Science; Engineering	CY9RM	WOS:000366744000028					2021-12-21	
J	Marti-Vargas, JR				Marti-Vargas, Jose R.			Discussion of "Shear Strength Prediction in Reinforced Concrete Deep Beams Using Nature-Inspired Metaheuristic Support Vector Regression" by Jui-Sheng Chou, Ngoc-Tri Ngo, and Anh-Duc Pham	JOURNAL OF COMPUTING IN CIVIL ENGINEERING			English	Editorial Material									[Marti-Vargas, Jose R.] Univ Politecn Valencia, Inst Concrete Sci & Technol ICITECH, E-46022 Valencia, Spain	Marti-Vargas, JR (corresponding author), Univ Politecn Valencia, Inst Concrete Sci & Technol ICITECH, 4G,Camino Vera S-N, E-46022 Valencia, Spain.	jrmarti@cst.upv.es	Marti-Vargas, Jose R. R/H-1297-2015	Marti-Vargas, Jose R. R/0000-0003-1665-2348				6	0	0	0	7	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0887-3801	1943-5487		J COMPUT CIVIL ENG	J. Comput. Civil. Eng.	JAN	2016	30	1							07015001	10.1061/(ASCE)CP.1943-5487.0000546			1	Computer Science, Interdisciplinary Applications; Engineering, Civil	Computer Science; Engineering	CY9RM	WOS:000366744000027					2021-12-21	
J	Levie, F; Burke, CM; Lannon, J				Levie, Fiona; Burke, Catriona M.; Lannon, John			Filling the gaps: An investigation of project governance in a non-governmental organisation's response to the Haiti earthquake disaster	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT			English	Article						NGOs; Project governance; Sponsorship; Disaster relief; Haiti; Accountability; Stakeholder engagement; Decision-making	INTERNATIONAL DEVELOPMENT-PROJECTS; POSTDISASTER RECONSTRUCTION; KNOWLEDGE MANAGEMENT; SUCCESS; HUMANITARIAN; NGOS; FRAMEWORK; IMPACT; STAGE	The importance of governance is widely recognised in disaster relief but the concept of project governance has not yet been examined. To address this, the response of an international non-governmental organisation (NGO) to the 2010 Haiti earthquake is analysed from a project governance perspective. The aim is to assess the understanding and applicability of project governance to NGOs operating in disaster relief situations. Drawing on an extensive review of extant literature, the dimensions of project governance are identified and a conceptual framework is developed as a basis for the investigation. The findings indicate that while the NGO does not explicitly recognise project governance as a concept, nine of its dimensions are particularly evident in the NGO's oversight of its project work. The research also reveals that effective project governance not only fills the governance gap between corporate governance and project management, but also between disaster relief and project management. (C) 2016 Elsevier Ltd, APM and IPMA. All rights reserved.	[Levie, Fiona; Burke, Catriona M.; Lannon, John] Univ Limerick, Castletroy, Co Limerick, Ireland	Levie, F (corresponding author), Univ Limerick, Castletroy, Co Limerick, Ireland.	Fionalevie@gmail.com; Catriona.burke@ul.ie; John.lannon@ul.ie						79	16	16	8	70	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0263-7863	1873-4634		INT J PROJ MANAG	Int. J. Proj. Manag.	JUL	2017	35	5					875	888		10.1016/j.ijproman.2016.10.007			14	Management	Business & Economics	EW4TQ	WOS:000402494200014					2021-12-21	
J	Nanthagopan, Y; Williams, N; Thompson, K				Nanthagopan, Yogarajah; Williams, Nigel; Thompson, Karen			Levels and interconnections of project success in development projects by Non-Governmental Organisations (NGOs)	INTERNATIONAL JOURNAL OF MANAGING PROJECTS IN BUSINESS			English	Article						Developing countries; Project success; Project management success; Development project; Non-profit sector	CIVIL-SOCIETY; MANAGEMENT; FRAMEWORK; PERFORMANCE; COMPETITION; CAPACITY; IMPACT; POWER; FIT	Purpose The purpose of this paper is to understand and identify the nature of evaluation criteria, levels and associations among levels of project success in development projects by NGOs in Sri Lanka. Design/methodology/approach The setting for this study is Sri Lanka, a country currently recovering from civil war and natural disasters and host to a large number of national and international NGOs involved in development projects. Data collection was conducted using a quantitative survey which obtained 447 responses. Multivariate analysis of data was conducted using confirmatory factor analysis and structural equation modelling. Findings The study confirmed that overall project success in NGOs could be assessed in three levels: project management (PM) success, project success and NGO success. The results conclude that there are strong associations among the three levels of project success; moreover, PM success and project success are indispensable for achieving NGO success. Originality/value This study extends existing research to confirm the presence of the three levels of project success and the interconnections among them. These findings can support subsequent research on development projects and also support the design of holistic evaluation tools to support project practices in NGOs.	[Nanthagopan, Yogarajah] Univ Jaffna, Dept Econ & Management, Vavuniya Campus, Vavuniya, Sri Lanka; [Williams, Nigel; Thompson, Karen] Bournemouth Univ, Business Sch, Dept Leadership Strategy & Org, Talbot Campus, Bournemouth, Dorset, England	Nanthagopan, Y (corresponding author), Univ Jaffna, Dept Econ & Management, Vavuniya Campus, Vavuniya, Sri Lanka.	ynanthagopan@yahoo.com						104	6	6	2	24	EMERALD GROUP PUBLISHING LTD	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	1753-8378	1753-8386		INT J MANAG PROJ BUS	Int. J. Manag. Proj. Bus.	JUN 3	2019	12	2					487	511		10.1108/IJMPB-04-2018-0085			25	Business; Management	Business & Economics	IO3OO	WOS:000479290200013		Green Submitted, Green Accepted			2021-12-21	
J	Navarro-Flores, O				Navarro-Flores, Olga			Organizing by Projects: A Strategy for Local Development-The Case of NGOs in a Developing Country	PROJECT MANAGEMENT JOURNAL			English	Article						international development; nongovernmental organization (NGO); organizing by projects; local development; contextualized perspective	AID	North and South nongovernmental organizations (NGOs) have been "partners" in international development for more than a decade. Studies have documented their approaches and strategies, yet little is still known about how they organize and how their projects help them to achieve their mission. The authors propose a contextualized and historical perspective to better understand how and why NGOs organize by projects, and how this strengthens their strategy and commitment to local development.	Univ Quebec, Montreal, PQ H3C 3P8, Canada	Navarro-Flores, O (corresponding author), Univ Quebec, Montreal, PQ H3C 3P8, Canada.							31	9	9	1	22	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	8756-9728	1938-9507		PROJ MANAG J	Proj. Manag. J.	DEC	2011	42	6			SI		48	59		10.1002/pmj.20274			12	Management	Business & Economics	855PD	WOS:000297575800005					2021-12-21	
J	Aga, DA; Noorderhaven, N; Vallejo, B				Aga, D. A.; Noorderhaven, N.; Vallejo, B.			Transformational leadership and project success: The mediating role of team-building	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT			English	Article						Project success; Team-building; Transformational leadership	INTERNATIONAL DEVELOPMENT-PROJECTS; MODERATING ROLE; PERFORMANCE; BEHAVIORS; KNOWLEDGE; INNOVATION; FRAMEWORK; MODEL; TRUST	Although the effect of transformational leadership on project success is empirically supported, less is known about the mechanisms that explain this effect. To address this issue, we propose the mediating role of team-building as a possible explanation of the relationship between transformational leadership and project success. Based on a field survey of 200 development project managers in the Ethiopian Non-Governmental Organization (NGO) sector, the results of our study indicate that team-building partially mediates the effect of transformational leadership on project success. We discuss the theoretical and practical implications of these findings. (C) 2016 Elsevier Ltd. APM and IPMA. All rights reserved.	[Aga, D. A.; Noorderhaven, N.; Vallejo, B.] Tilburg Univ, Tilburg Sch Econ & Management TiSEM, NL-5000 LE Tilburg, Netherlands; [Aga, D. A.] Ethiopian Civil Serv Univ, Addis Ababa, Ethiopia	Aga, DA (corresponding author), Tilburg Univ, Sch Econ & Management, POB 90153, NL-5000 LE Tilburg, Netherlands.	D.AssefaAga@tilburguniversity.edu	Vallejo, Bertha/S-2774-2018; Vallejo, Bertha/C-4351-2015; Noorderhaven, Niels George/AAC-3831-2019	Vallejo, Bertha/0000-0002-5875-7343; Vallejo, Bertha/0000-0002-5875-7343; Noorderhaven, Niels/0000-0002-2427-2495	Netherlands Organization for International Cooperation in Higher Education (Nuffic) [NICHE/ETH/020]	This research was financed by the Netherlands Organization for International Cooperation in Higher Education (Nuffic), under grant no. NICHE/ETH/020. The authors also thank the four anonymous reviewers for their comments, which improved the final version of this paper. Usual caveats apply.		82	117	123	10	109	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0263-7863	1873-4634		INT J PROJ MANAG	Int. J. Proj. Manag.	JUL	2016	34	5					806	818		10.1016/j.ijproman.2016.02.012			13	Management	Business & Economics	DM7NO	WOS:000376547500002					2021-12-21	
J	Mikovic, R; Petrovic, D; Mihic, M; Obradovic, V; Todorovic, M				Mikovic, Radmila; Petrovic, Dejan; Mihic, Marko; Obradovic, Vladimir; Todorovic, Marija			The integration of social capital and knowledge management - The key challenge for international development and cooperation projects of nonprofit organizations	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT			English	Article						Social capital; Knowledge management; International development; Project management; Nonprofit organizations	STRUCTURAL HOLES; INNOVATION; PERFORMANCE; NETWORK; CAPABILITIES; CREATION; IMPACT; WORK; COMPETENCES; ADAPTATION	Nonprofit, nongovernmental organizations (NGOs) are important actors in international development (ID) who implement trillions of dollars' worth of projects annually. As with other organizations delivering projects, ID NGOs seem to be failing many stakeholders due to poor delivery of results. Lack, and mismanagement, of social links and knowledge resources have been identified as the biggest challenges of ID NGOs in reaching vulnerable beneficiary populations. We have explored ID NGOs' social capital and knowledge management systems in order to propose an integrated model to optimize ID NGO project management through social resources embedded into organizational structures. The integrated model we propose enables multi-stakeholder engagement in all phases of project life cycle, building a culture of accountability and respect. This model also helps promote smart and flexible solutions to the "wicked " problems ID projects often grapple with, as well as timely adaptation to changed circumstances and unforeseen or challenging events.	[Mikovic, Radmila; Petrovic, Dejan; Mihic, Marko; Obradovic, Vladimir; Todorovic, Marija] Univ Belgrade, Fac Org Sci, Dept Management & Specialized Management Discipli, 154 Jove Ilica St, Belgrade 11000, Serbia	Mikovic, R (corresponding author), Univ Belgrade, Fac Org Sci, Dept Management & Specialized Management Discipli, 154 Jove Ilica St, Belgrade 11000, Serbia.	radmila.mikovic@eunet.rs; petrovic.dejan@fon.bg.ac.rs; mihic.marko@fon.bg.ac.rs; obradovic.vladimir@fon.bg.ac.rs; todorovic.marija@fon.bg.ac.rs	Todorovic, Marija/AAK-5505-2021	Todorovic, Marija/0000-0002-2544-4156; Mihic, Marko/0000-0003-3994-2268				123	5	5	7	19	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0263-7863	1873-4634		INT J PROJ MANAG	Int. J. Proj. Manag.	NOV	2020	38	8			SI		515	533		10.1016/j.ijproman.2020.07.006			19	Management	Business & Economics	PH4VH	WOS:000600411800005					2021-12-21	
J	Golini, R; Kalchschmidt, M; Landoni, P				Golini, Ruggero; Kalchschmidt, Matteo; Landoni, Paolo			Adoption of project management practices: The impact on international development projects of non-governmental organizations	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT			English	Article						Project management tools; International Development; NGO	FRAMEWORK; MATURITY; PARTICIPATION; INDICATORS; CRITERIA	International Development (ID) projects carried out by Non-Governmental Organizations (NGOs) are considered one of the pillars for providing assistance to developing countries, but these projects are reported to have high failure rates and their performance is often considered not satisfactory. Only recently researchers started to consider project management (PM) practices as possible remedy for the poor performance of ID projects. Following this direction, we have conducted a large-scale survey among project managers working for NGOs and dealing with ID projects to assess the extent of adoption of methodologies and tools. Moreover, this study assesses the impact of the PM practices on project performance. We present an analysis and discussion of the evidence from this international survey administered to almost 500 project managers. The results indicate different levels of maturity in the adoption of PM tools that are related to project success in both the short and long term. (C) 2014 Elsevier Ltd. APM and IPMA. All rights reserved.	[Golini, Ruggero; Kalchschmidt, Matteo] Univ Bergamo, Dept Engn, I-24044 Dalmine, BG, Italy; [Landoni, Paolo] Politecn Milan, Dept Management Econ & Ind Engn, I-20156 Milan, Italy	Golini, R (corresponding author), Univ Bergamo, Dept Engn, Via Pasubio 7, I-24044 Dalmine, BG, Italy.	ruggero.golini@unibg.it; matteo.kalchschmidt@unibg.it; paolo.landoni@polimi.it	Landoni, Paolo/D-1068-2018; Kalchschmidt, Matteo Giacomo Maria GM/L-5473-2015; Golini, Ruggero/D-1796-2014	Landoni, Paolo/0000-0001-5079-1101; Kalchschmidt, Matteo Giacomo Maria GM/0000-0001-7997-8535; Golini, Ruggero/0000-0002-8632-2793	PMI Sponsored Research Program	The authors would like to thank Matteo Falgari and Giacomo Rossi for their support in the data collection phase. Furthermore the authors gratefully acknowledge financial support received by the PMI Sponsored Research Program.		68	71	73	3	50	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0263-7863	1873-4634		INT J PROJ MANAG	Int. J. Proj. Manag.	APR	2015	33	3					650	663		10.1016/j.ijproman.2014.09.006			14	Management	Business & Economics	CD2TE	WOS:000350931100015					2021-12-21	
J	Jaradat, S; Beunders, N				Jaradat, Suha; Beunders, Narda			Participatory design in refugee camps: Ethnographic case studies from Greece	ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT			English	Article; Early Access						Architectural management; Refugee camps; Participatory design; Ethnography; Positive experience; Construction	CONSTRUCTION; COMMUNITIES; EXPERIENCE; MANAGEMENT; PROJECT; LESSONS; WOMEN	Purpose Architectural management and construction practices have not been widely explored in refugee camps which have been growing exponentially around the world. Previous research largely focused on the negativity surrounding living in refugee camps and mostly ignored the input of refugees. This study explores the possibilities of involving refugees in architectural design and construction decisions in the camps. Design/methodology/approach This research adopts a qualitative interpretive research approach and employs exploratory ethnographic methods. Participatory design (PD) principles are applied to design and construct community place projects in two refugee camps in Greece. Findings The findings demonstrate that, despite the technical and institutional challenges of employing PD approaches in refugee camps, there are observed positive impacts on the wellbeing of refugees and impacts on the hosting communities. Practical implications This paper contests the negativity surrounding refugee camps and has implications on research, practice and society as well as a positive impact on NGO organisations, policy-makers and other stakeholders involved in the governance of refugee camps. Originality/value This paper addresses a critical issue concerning how to include refugees in the design, implementation and maintenance of refugee camps to improve their well-being and fight the feeling of "otherness" for both refugees and host communities. This study extends research on refugee camps by collaborating with refugees to improve their lives within the camps. This research contributes to architectural management and construction studies by providing practical recommendations related to PD methods in new contexts.	[Jaradat, Suha] Edinburgh Napier Univ, Engn & Built Environm, Edinburgh, Midlothian, Scotland; [Beunders, Narda] Roof Humanity, Amsterdam, Netherlands	Jaradat, S (corresponding author), Edinburgh Napier Univ, Engn & Built Environm, Edinburgh, Midlothian, Scotland.	s.jaradat@napier.ac.uk			Boat Refugee Foundation; Northern Lights Aid	The authors are grateful for the funding received from the Boat Refugee Foundation for the project in Lesbos and the Northern Lights Aid for the project in Kavala, as well as the crowd funding which supported both projects.		49	0	0	0	0	EMERALD GROUP PUBLISHING LTD	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	0969-9988	1365-232X		ENG CONSTR ARCHIT MA	Eng. Constr. Archit. Manag.												10.1108/ECAM-04-2021-0328		DEC 2021	18	Engineering, Industrial; Engineering, Civil; Management	Engineering; Business & Economics	XK3LR	WOS:000727371900001					2021-12-21	
