PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Ameyaw, EE; Chan, APC				Ameyaw, Ernest Effah; Chan, Albert P. C.			A Fuzzy Approach for the Allocation of Risks in Public-Private Partnership Water-Infrastructure Projects in Developing Countries	JOURNAL OF INFRASTRUCTURE SYSTEMS			English	Article						Water supply infrastructure; Risk allocation; Public-private partnership; Fuzzy set theory; Public and private sectors	SYNTHETIC EVALUATION; SUPPLY PROJECTS; MODEL; FRAMEWORK; SELECTION; RANKING; SYSTEM	The allocation of risk between public-sector and private-sector parties in a public-private partnership (PPP) contract is a critical element of success that should be based on an assessment of the party best able to manage it. Assessing the risk-management capability of a contracting party to reach an efficient risk-allocation decision is subjective and implicit because it requires value judgments and experiential knowledge of expert practitioners. This paper draws on a set of established risk-allocation criteria (RAC) and the fuzzy-set approach to examine the allocation of five key risk factors related to PPPs in water supply infrastructure projects. The fuzzy set is used to deal with ambiguity in the linguistic RAC to minimize the fuzziness and bias in qualitative expert knowledge that characterize real-life decision-making. To explore how the risks should be allocated, three rounds of a Delphi questionnaire survey was conducted to elicit knowledge of practitioners with hands-on experience related to PPP projects in the water sector by requesting them to evaluate the risk factors on each risk-allocation criterion. The RAC and experiential knowledge were modeled to reflect capabilities of the public-private parties and to suggest the risk-allocation decisions for the corresponding risks. The results show that the risks should be shared between the government and the private sector, rather than wholly transferring specific risks to a particular party. This paper shows that it is possible to effectively distribute risks between the public-private parties based on fuzzy-set theory, RAC, and qualitative expert knowledge. The method has a merit of enabling decision-makers to utilize qualitative linguistic terms to assess risk-management capabilities of public-private parties and of predicting risk-allocation strategies in a contract. Also, the paper hints that, in developing countries, governments may take some political actions to make a water-infrastructure project to be executed via the PPP mode more attractive to private investors.	[Ameyaw, Ernest Effah; Chan, Albert P. C.] Hong Kong Polytech Univ, Dept Bldg & Real Estate, 181 Chatham Rd, Hong Kong, Hong Kong, Peoples R China	Ameyaw, EE (corresponding author), Hong Kong Polytech Univ, Dept Bldg & Real Estate, 181 Chatham Rd, Hong Kong, Hong Kong, Peoples R China.	myernest2010@yahoo.com; albert.chan@polyu.edu.hk	Chan, Albert/I-4650-2012	Chan, Albert/0000-0002-4853-6440; Ameyaw, Ernest E./0000-0001-6708-7647	International Postgraduate Scholarship from The Hong Kong Polytechnic University	This paper reports on partial findings of a larger-scope (doctoral) research project entitled Risk allocation model for public-private partnership (PPP) water supply projects, fully funded by the International Postgraduate Scholarship from The Hong Kong Polytechnic University, from which other papers have been generated with similar or different objectives and share common research background and methodology, where some papers overlap. Tables 1-4 in this paper were taken from the doctoral thesis produced by the first author. The authors are grateful to the industry experts who kindly participated in the questionnaire survey for this research. They are also very grateful to the anonymous reviewers for their useful comments in focusing and improving the paper.		78	34	34	5	142	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	1076-0342	1943-555X		J INFRASTRUCT SYST	J. Infrastruct. Syst.	SEP	2016	22	3							04016016	10.1061/(ASCE)IS.1943-555X.0000297			13	Engineering, Civil	Engineering	DV8AG	WOS:000383159300009					2021-12-21	
J	Chowdhury, AN; Chen, PH; Tiong, RLK				Chowdhury, Abu Naser; Chen, Po-Han; Tiong, Robert L. K.			Credit enhancement factors for the financing of independent power producer (IPP) projects in Asia	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT			English	Article						Independent power producer; Credit enhancement; Asia; Public private partnership	CHINA	Public and private parties give a number of guarantees and commitments in the form of credit enhancement for successful investment and implementation of independent power producer (IPP) projects in Asia. A research is thus conducted to find the suitable credit enhancement factors for these projects. From 27 out of 28 credit enhancement factors that were validated by IPP professionals, factor analysis revealed five factor groupings which are - (1) shareholders' credit enhancement, (2) host government's credit enhancement, (3) multi-lateral development banks (MDBs), export credit agencies (ECAs) and other parties' credit enhancement, (4) capital structure mechanism, and (5) commercial bank's credit enhancement. From these critical credit enhancement groupings, it is further noticed that contingency equity support, standby credit guarantee, subordinated debt mechanism, financing with political risk insurance from MDBs and ECAs, escrow account, and standby letter of credit are of great importance for financing decision of IPP projects in Asia. (C) 2015 Elsevier Ltd. APM and IPMA. All rights reserved.	[Chowdhury, Abu Naser] Univ Asia Pacific, Dept Civil Engn, Dhaka 1205, Bangladesh; [Chen, Po-Han] Natl Taiwan Univ, Dept Civil Engn, Taipei 10617, Taiwan; [Tiong, Robert L. K.] Nanyang Technol Univ, Sch Civil & Environm Engn, Singapore 639798, Singapore	Chen, PH (corresponding author), Natl Taiwan Univ, Dept Civil Engn, 1,Sect 4,Roosevelt Rd, Taipei 10617, Taiwan.	naser.chowdhury@gmail.com; pohanchen@ntu.edu.tw; clktiong@ntu.edu.sg	Lee Kong, Robert Tiong/A-3750-2011					52	14	14	3	35	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0263-7863	1873-4634		INT J PROJ MANAG	Int. J. Proj. Manag.	OCT	2015	33	7					1576	1587		10.1016/j.ijproman.2015.04.007			12	Management	Business & Economics	CQ8NO	WOS:000360865200014					2021-12-21	
J	Asamoah, RO; Baiden, BK; Nani, G; Kissi, E				Asamoah, Richard Oduro; Baiden, Bernard Kofi; Nani, Gabriel; Kissi, Ernest			Identifying intangible resources to enhance profitability strategies of Small-Medium Scale Construction Firms (SMSCFs) in developing countries	INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT			English	Article; Early Access						Profitability; intangibles resources; small firms; relative important index	GROWTH; CAPABILITIES; INNOVATION; FRAMEWORK	Profit sustainability by Small-Medium Scale Construction Firms (SMSCFs) is a major concern for the parties in the construction industry. Additionally, identifying efficient and effective use of resources has been a challenge. The study sought to identify intangible resources that will enhance the profitability strategies of small construction firms. Purposive sampling was used to identify professionals who were Owners/managers. Relative Important Index was used for ranking and Kendall's coefficient of concordance to measure the degree of agreement of the ranking among the professional groups. Employer's experience, client trust, employee experience, patent and copy-right, networking were the key intangible resources. There was a high degree of agreement between the selected professionals on the ranking. Small construction firms are encouraged to improve their understanding of the political and economic environment in which they operate. This study highlights intangibles resources that parties in the building construction industry should be conscious of. It further provides an opportunity for researchers in construction management to interrogate the impact of these resources within the wider industry as the study was limited to building professionals.	[Asamoah, Richard Oduro] CSIR, Bldg & Rd Res Inst, Kumasi, Ghana; [Baiden, Bernard Kofi; Nani, Gabriel; Kissi, Ernest] Kwame Nkrumah Univ Sci & Technol, Dept Construct Technol & Management, Kumasi, Ghana	Asamoah, RO (corresponding author), CSIR, Bldg & Rd Res Inst, Kumasi, Ghana.	richardasamoah760@yahoo.com	KISSI, ERNEST/AAS-1494-2020	KISSI, ERNEST/0000-0002-1975-3382				65	0	0	1	4	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	1562-3599	2331-2327		INT J CONSTR MANAG	Int. J. Constr. Manag.												10.1080/15623599.2020.1774835		JUN 2020	8	Management	Business & Economics	MD5PY	WOS:000544025200001					2021-12-21	
J	Kuru, K; Artan, D				Kuru, Kadir; Artan, Deniz			A canvas model for risk assessment and performance estimation in public-private partnerships	INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT			English	Article						Public-private partnerships (PPP); risk assessment; performance estimation; risk factors; critical success factors; compensation mechanisms; contract drafting; analytical hierarchy process (AHP)	CRITICAL SUCCESS FACTORS; INFRASTRUCTURE PROJECTS; PPP PROJECTS; CONSTRUCTION PROJECTS; POLITICAL RISKS; CHINA; ALLOCATION; RANKING; CSFS	Public-private partnership (PPP) is being widely used to meet the growing infrastructure and service demand. However, previous literature draws attention to distressed or failed PPP projects due to significant risks. In the quest for assessing risks and estimating the performance at the outset of a project, there is a need for a practical tool allowing in-depth analysis of the project conditions. This paper aims to develop a PPP Canvas which enables assessment of the project risk factors and determining the related compensation mechanisms that can be used to mitigate these risks or allocate them to the parties in a balanced way. The Canvas also helps to estimate a project performance score based on the significance coefficients determined by the Analytical Hierarchy Process. AHP results show that stability of economic environment, political support and government intervention are the most important risk factors in the local context. AHP can be repeated for each specific PPP project, as part of the PPP Canvas process, to foster discussion and analysis of the risks and compensation mechanisms across different geographical locations and PPP project types. The paper adds a new dimension to PPP risk assessment by making use of the Business Model Canvas approach and the inclusion of contractual compensation and penalty mechanisms. As the stakeholders become more informed of the project conditions and the risks involved, they can make better decisions throughout the project life-cycle and can benefit from the identified compensation mechanisms in contract drafting.	[Kuru, Kadir; Artan, Deniz] Istanbul Tech Univ, Dept Civil Engn, Div Construct Management, Istanbul, Turkey	Artan, D (corresponding author), Istanbul Tech Univ, Dept Civil Engn, Div Construct Management, Istanbul, Turkey.	artande@itu.edu.tr	ILTER, DENIZ ARTAN/AAA-7391-2020	ILTER, DENIZ ARTAN/0000-0003-4614-3245				80	3	3	1	24	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	1562-3599	2331-2327		INT J CONSTR MANAG	Int. J. Constr. Manag.	NOV 1	2020	20	6			SI		704	719		10.1080/15623599.2020.1763898		MAY 2020	16	Management	Business & Economics	ME2HI	WOS:000535111400001					2021-12-21	
J	Tariq, S; Zhang, XQ				Tariq, Salman; Zhang, Xueqing			Socioeconomic, Macroeconomic, and Sociopolitical Issues in Water PPP Failures	JOURNAL OF MANAGEMENT IN ENGINEERING			English	Article						Water services; Failure drivers (FD); Public-private partnerships (PPP); Interpretative structural modeling; MICMAC	PUBLIC-PRIVATE PARTNERSHIPS; CRITICAL SUCCESS FACTORS; DEVELOPING-COUNTRIES; NEGOTIATION MODEL; SUPPLY PROJECTS; PRIVATIZATION; RISK; AFRICA; CSFS	Public-private partnerships (PPPs) have been used worldwide in infrastructure services to achieve better value for money. However, PPPs in the water sector have witnessed many failures in both developed and developing countries, not only resulting in hefty financial burdens for the parties involved but also eroding public confidence and trust in the private sector participation in water services. In this study, we first explored the socioeconomic, macroeconomic, and social-political failure drivers (FDs) that resulted in the failures of 36 international water PPP projects. The relative significance of the FDs was evaluated through a questionnaire survey of international PPP experts. A hierarchical structural failure model was then developed using interpretative structural modeling that graphically displays the causal relationships of the FDs. Finally, cross-impact matrix multiplication applied to classification [matrice d'impacts croises-multiplication applique a un classement (MICMAC)] analysis established the degree of the relationships between the FDs. The hierarchical structural failure model can serve as a tool to avoid potential problems in order to prevent the occurrence of next failure drivers, thus increasing the chance of success of water PPPs.	[Tariq, Salman; Zhang, Xueqing] Hong Kong Univ Sci & Technol, Dept Civil & Environm Engn, Hong Kong, Peoples R China	Zhang, XQ (corresponding author), Hong Kong Univ Sci & Technol, Dept Civil & Environm Engn, Hong Kong, Peoples R China.	stariq@connect.ust.hk; zhangxq@ust.hk	Zhang, Xueqing/ABC-3938-2020	Zhang, Xueqing/0000-0002-9397-1011	National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [71472052]	This study is financially supported by the National Natural Science Foundation of China (Project No. 71472052). The authors would like to thank the three anonymous reviewers and the associate editor for their valuable comments. The authors would also like to thank Dr. Mohsin Ali Soomro (construction engineering and management expert), Athar Mansoor (bureaucrat and public policy specialist), and Abdullahi Saka (interpretative structural modeling expert) for their useful advice on the revision of the article based on reviewers' comments.		87	1	1	12	12	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0742-597X	1943-5479		J MANAGE ENG	J. Manage. Eng.	SEP 1	2021	37	5							04021047	10.1061/(ASCE)ME.1943-5479.0000947			20	Engineering, Industrial; Engineering, Civil	Engineering	TY5SO	WOS:000683844300002					2021-12-21	
J	Chan, APC; Yeung, JFY; Yu, CCP; Wang, SQ; Ke, YJ				Chan, Albert P. C.; Yeung, John F. Y.; Yu, Calvin C. P.; Wang, Shou Qing; Ke, Yongjian			Empirical Study of Risk Assessment and Allocation of Public-Private Partnership Projects in China	JOURNAL OF MANAGEMENT IN ENGINEERING			English	Article						Public-private partnerships (PPP); Risk assessment; Risk allocation; Risk management; China	POLITICAL RISKS; MANAGEMENT; PPP	Earlier research studies on public-private partnership (PPP) indicated that an objective, reliable, and practical risk assessment model for PPP projects and an equitable risk allocation mechanism among different parties are crucial to the successful implementation of these PPP projects. However, actual empirical research works in this research area are limited. This paper reports the first stage of a research study, which aims to identify and assess the principal risks for the delivery of PPP projects in China and to address their proper risk allocation between the private and public sectors. An empirical questionnaire survey was designed to examine the relative importance of different risk factors and to analyze the allocation of risk factors to different parties in PPP projects. A total of 580 questionnaires were sent out, and a total of 105 valid responses were obtained for data analysis. The Mann-Whitney U test is employed to investigate whether significant difference in perception existed first between the private and public sectors and second between industrial practitioners and academics in China. The empirical findings show that the three most important risk factors for PPP projects in China are (1) government intervention; (2) government corruption; and (3) poor public decision-making processes. These findings reveal that the Chinese government intervention and corruption may be the major obstacles to the success of PPP projects in China. A major cause for these risks may be attributed to inefficient legislative and supervisory systems for PPP projects in China. After conducting the Mann-Whitney U test on the 105 survey respondents, the empirical findings indicate that the perceptions of all 34 risk factors in China between the private and public sectors were not significantly different. Similarly, there were no significant differences between academics and industrial practitioners except that the former perceived the problem of government corruption to be more severe than did the latter. For risk allocation, the empirical results indicate that the public and private sectors were in general consensus with most of the risks identified. The major risks that the public sector preferred to accept are within the systematic risk category, especially political, legal, and social risks. The private sector preferred to retain the principal risks within the specific project risk category, especially construction, operation, and relationship risks, in addition to economic risks within systematic risk category. The remaining risk, environment risk, is preferred to be shared between the two sectors. This research study enables international construction companies to better understand how risks should be assessed and allocated for PPP projects in China. It also assists in risk response planning and control for future PPP projects in China. DOI: 10.1061/(ASCE)ME.1943-5479.0000049. (C) 2011 American Society of Civil Engineers.	[Yeung, John F. Y.] Hong Kong Baptist Univ, Sch Continuing Educ, Coll Int Educ, Kowloon, Hong Kong, Peoples R China; [Chan, Albert P. C.; Yeung, John F. Y.; Yu, Calvin C. P.] Hong Kong Polytech Univ, Dept Bldg & Real Estate, Kowloon, Hong Kong, Peoples R China; [Wang, Shou Qing; Ke, Yongjian] Tsinghua Univ, Dept Construct Management, Beijing 100084, Peoples R China; [Ke, Yongjian] Natl Univ Singapore, Dept Bldg, Singapore 117566, Singapore	Yeung, JFY (corresponding author), Hong Kong Baptist Univ, Sch Continuing Educ, Coll Int Educ, Kowloon, Hong Kong, Peoples R China.	jfyyeung@hkbu.edu.hk	Ke, Yongjian/C-6071-2014; Chan, Albert/I-4650-2012; /X-7709-2019	Ke, Yongjian/0000-0003-3426-703X; Chan, Albert/0000-0002-4853-6440; 	Research Grants Council of the Hong Kong Special Administrative Region, ChinaHong Kong Research Grants Council [N_PolyU 514/07]; National Science Foundation Council of ChinaNational Natural Science Foundation of China (NSFC) [70731160634]	The work described in this paper was fully supported by a joint grant from the Research Grants Council of the Hong Kong Special Administrative Region, China (Project No. N_PolyU 514/07) and the National Science Foundation Council Research Grant of China (Project No. 70731160634). This paper forms part of the research project entitled Developing an Equitable Risk-Sharing Mechanism for Public-Private Partnership Projects in the People's Republic of China, from which other deliverables have been produced with different objectives/scopes but sharing common background and methodology. The authors also wish to acknowledge the contributions of other team members including Dr. Patrick T. I. Lam, Dr. Daniel W. M. Chan, Prof. Y. J. Lu, Dr. X. D. Li, Dr. Edmond W. M. Lam, Dr. Esther Cheung, Mr. Yelin Xu, Ms. Wendy Wen, Mr. Tony Peng, and Mr. Y. W. Liu. Special gratitude is devoted to those construction academics and industrial practitioners who have responded to and contributed their valuable input in completing the survey questionnaires in China.		58	164	164	7	295	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0742-597X	1943-5479		J MANAGE ENG	J. Manage. Eng.	JUL	2011	27	3					136	148		10.1061/(ASCE)ME.1943-5479.0000049			13	Engineering, Industrial; Engineering, Civil	Engineering	789KZ	WOS:000292515700003					2021-12-21	
J	Green, SD; May, SC				Green, SD; May, SC			Lean construction: arenas of enactment, models of diffusion and the meaning of 'leanness'	BUILDING RESEARCH AND INFORMATION			English	Article; Proceedings Paper	Workshop on Rethinking Construction - Managing Projects as Complex Social Settings	JUN   24, 2004	Univ Warwick, Coventry, ENGLAND		Univ Warwick	diffusion; industry change; lean construction; leanness; pluralism	MANAGEMENT FASHION; INDUSTRY	The existing literature on lean construction is overwhelmingly prescriptive with little recognition of the social and politicised nature of the diffusion process. The prevailing production-engineering perspective too often assumes that organizations are unitary entities where all parties strive for the common goal of 'improved performance'. An alternative perspective is developed that considers the diffusion of lean construction across contested pluralistic arenas. Different actors mobilize different storylines to suit their own localized political agendas. Multiple storylines of lean construction continuously compete for attention with other management fashions. The conceptualization and enactment of lean construction therefore differs across contexts, often taking on different manifestations from those envisaged. However, such localized enactments of lean construction are patterned and conditioned by pre-existing social and economic structures over which individual managers have limited influence. Taking a broader view, 'leanness' can be conceptualized in terms of a quest for structural flexibility involving restructuring, downsizing and outsourcing. From this perspective, the UK construction industry can be seen to have embarked upon leaner ways of working in the mid-1970s, long before the terminology of lean thinking came into vogue. Semi-structured interviews with construction sector policy-makers provide empirical support for the view that lean construction is a multifaceted concept that defies universal definition.	Univ Reading, Sch Construct Management & Engn, Reading RG6 6AW, Berks, England	Green, SD (corresponding author), Univ Reading, Sch Construct Management & Engn, POB 219, Reading RG6 6AW, Berks, England.	s.d.green@reading.ac.uk		Green, Stuart D./0000-0003-1660-5592	Engineering and Physical Sciences Research CouncilUK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC) [GR/T21806/01] Funding Source: researchfish			63	76	76	5	46	TAYLOR & FRANCIS LTD	ABINGDON	4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0961-3218			BUILD RES INF	Build. Res. Informat.	NOV-DEC	2005	33	6					498	511		10.1080/09613210500285106			14	Construction & Building Technology	Construction & Building Technology	974MX	WOS:000232597200003					2021-12-21	
J	De Marco, A; Mangano, G				De Marco, Alberto; Mangano, Giulio			Risk and Value in Privately Financed Health Care Projects	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT			English	Article						Build/operate/transfer; Financial factors; Project management; Health care facilities; Risk management; Regression analysis	BUILD-OPERATE-TRANSFER; CONCESSION MODEL; NHS HOSPITALS; INFRASTRUCTURE; MONEY; POLICY; FUTURE; PPPS	An empirical study is presented to investigate the risk factors affecting the value for money that can be obtained from using the public-private partnership delivery system to develop social facility projects. Based on a model describing the main risks affecting a project, a linear regression analysis is conducted on a data set of privately financed health care projects in the United Kingdom to explore the main factors that might have significant relationships with the annual unitary charge payment. The results reveal that the economic and political environment, the hospital capacity, the construction duration, and the concession period are significant factors of the price paid by the granting authority. The study confirms that the unitary charge is not only affected by investment, operations, and financial life-cycle costs, but also by risk factors and the level of risk allocated to the private sponsors. The proposed methodology might help both public and private parties in improving a private finance initiative project's compensation design, in order to achieve a higher value in privately financed infrastructures. The given model might also support the process of better determining the amount of annual payment based on select drivers and appropriately transferred risk factors. (C) 2013 American Society of Civil Engineers.	[De Marco, Alberto; Mangano, Giulio] Politecn Torino, Dept Management & Prod Engn, I-10124 Turin, Italy	De Marco, A (corresponding author), Politecn Torino, Dept Management & Prod Engn, Corso Duca Abruzzi 24, I-10124 Turin, Italy.	alberto.demarco@polito.it; giulio.mangano@polito.it	De Marco, Alberto/A-4115-2011	De Marco, Alberto/0000-0002-4145-2287; MANGANO, GIULIO/0000-0002-2792-505X				60	16	16	4	65	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0733-9364	1943-7862		J CONSTR ENG M	J. Constr. Eng. Manage.	AUG 1	2013	139	8					918	926		10.1061/(ASCE)CO.1943-7862.0000660			9	Construction & Building Technology; Engineering, Industrial; Engineering, Civil	Construction & Building Technology; Engineering	179YH	WOS:000321558500003		Green Published			2021-12-21	
J	El-Kholy, AM; Akal, AY				El-Kholy, Amr Metwally; Akal, Ahmed Yousry			Assessing and allocating the financial viability risk factors in public-private partnership wastewater treatment plant projects	ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT			English	Article						Financial viability; Public private partnership (PPP); Wastewater treatment plants (WWTPs); Risks; Allocation; Fuzzy synthetic evaluation (FSE); Developing countries	CAPITAL STRUCTURE OPTIMIZATION; DEVELOPING-COUNTRIES; SUPPLY PROJECTS; OPERATE; BUILD; PPP; CHINA; FRAMEWORK; RANKING; MODEL	Purpose This research investigates the financial viability risk factors that threaten the private investor's economic scheme in the public private partnership (PPP) wastewater treatment plant (WWTP) projects in Egypt. The aims of this study are to: (1) illustrate and cluster the financial viability risk factors in accordance with the PPP WWTP projects' nature, (2) assess the risk factors' criticality degrees according to their severity and frequency levels of the financial viability, and (3) pinpoint the suited allocation of the financial viability risk factors between the public and private parties. Design/methodology/approach Relying on the previous analysts' endeavors, the questionnaire method, the fuzzy synthetic evaluation approach and the hypothetical normal distribution curve model; the severity, frequency, criticality and allocation preference of 32 financial viability risk factors were assessed from 12 Egyptian PPP experts. Findings The data analysis yielded that foreign exchange risk, currency risk/inflation, license risk, construction cost-overrun and late site handover are the key factors in arising the financial viability risk issue in the PPP WWTP projects. Considering the discussion of these key risks, the study summarized that the financial viability's key risk factors are notably be affected by the economic, political and administrative circumstances of the host county. Additionally, the inflation lesion was found to be the core reason of most of the key risk factors. Originality/value This research originality stems from its contribution to address the gab in the PPP risk assessment literature of the concessionaire's financial viability in the WWTP projects in a country of developing economy as Egypt. This, first, enriches the scholarly based knowledge of the PPP projects' risk analysts of the developing countries. Accordingly, it moves the current PPP risk assessment research further to deeply apprehend these markets' risks. Second, it equips the policymakers in the public and private sectors of such projects with a map that clarifies their assigned risk factors and the responsibilities that each party should bear to generate a mutual stable investment environment for achieving their aims successfully. This, indeed, paves the way for more private investments to be involved in the developing markets' PPP projects with a profitable satisfactory level for the private concessionaire. In the same vein, more WWTP projects, which are highly needed for the public sector and its people, are executed.	[El-Kholy, Amr Metwally] Beni Suef Univ, Fac Engn, Dept Civil Engn, Bani Suwayf, Egypt; [Akal, Ahmed Yousry] Higher Inst Engn & Technol, Dept Civil Engn, Kafrelsheikh, Egypt	El-Kholy, AM (corresponding author), Beni Suef Univ, Fac Engn, Dept Civil Engn, Bani Suwayf, Egypt.	amrelkholy_2012@yahoo.com; a_yousry85@yahoo.com	ElKholy, Amr/AAJ-8205-2021; Akal, Ahmed Yousry/AAW-7984-2021; El-Kholy, Amr Metwally/AAH-8365-2020	ElKholy, Amr/0000-0002-5982-4931; El-Kholy, Amr/0000-0002-1424-7085				69	0	0	3	30	EMERALD GROUP PUBLISHING LTD	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	0969-9988	1365-232X		ENG CONSTR ARCHIT MA	Eng. Constr. Archit. Manag.	NOV 4	2021	28	10					3014	3040		10.1108/ECAM-05-2020-0373		NOV 2020	27	Engineering, Industrial; Engineering, Civil; Management	Engineering; Business & Economics	WU3IJ	WOS:000593380900001					2021-12-21	
J	Hoseini, E; van Veen, P; Bosch-Rekveldt, M; Hertogh, M				Hoseini, Erfan; van Veen, Pim; Bosch-Rekveldt, Marian; Hertogh, Marcel			Cost Performance and Cost Contingency during Project Execution: Comparing Client and Contractor Perspectives	JOURNAL OF MANAGEMENT IN ENGINEERING			English	Article						Risk management; Contingency reserve; Cost estimate; Construction projects; Cost performance	PUBLIC-WORKS PROJECTS; INFRASTRUCTURE PROJECTS; OVERRUNS; DETERMINANTS; DEVIATIONS; FORECASTS; ACCURACY	Current literature shows that poor cost performance in projects has become routine. Research on cost performance has mostly focused on one of the involved parties, either the client or the contractor. Not many research efforts discuss the cost contingency performance of projects. This research discusses the cost performance and cost contingency of projects in the execution phase from the perspective of a client as well as a contractor. Using a case study approach, 95 projects are investigated: 44 client projects and 51 contractor projects. The results show that depending on the perspective, projects can have cost overruns or cost underruns. Comparing the total realized and estimated costs, projects experienced on average about 16% underrun from a client perspective. From a contractor perspective, projects experienced on average up to 2% overrun. The estimated cost contingency in the client's projects was on average 2.64% more than the required cost contingency. The estimated cost contingency in the contractor's projects was on average 5.41% less than the required cost contingency. These differences are explained by pessimism bias and technical reasons on the client's side. On the contractor side, optimism bias and technical and political reasons play a role, resulting in opportunistic behavior. The findings help practitioners to enhance their cost estimates by avoiding both pessimistic bias and optimism bias behavior-for example, by using historical data from earlier projects. Further investigation into the influence of market conditions on cost estimates is suggested.	[Hoseini, Erfan] Delft Univ Technol, Dept Infrastruct Design & Management, Fac Civil Engn & Geosci, Stevinweg 1, NL-2628 CN Delft, Netherlands; [van Veen, Pim] Dura Vermeer Infra, Taurusave 100, NL-2132 LS Hoofddorp, Netherlands; [Bosch-Rekveldt, Marian] Delft Univ Technol, Dept Infrastruct Design & Management, Project Management, Fac Civil Engn & Geosci, Stevinweg 1, NL-2628 CN Delft, Netherlands; [Hertogh, Marcel] Delft Univ Technol, Res Grp Infrastruct Design & Management, Fac Civil Engn & Geosci, Stevinweg 1, NL-2628 CN Delft, Netherlands	Hoseini, E (corresponding author), Delft Univ Technol, Dept Infrastruct Design & Management, Fac Civil Engn & Geosci, Stevinweg 1, NL-2628 CN Delft, Netherlands.	e.hoseini@tudelft.nl; p.v.veen@duravermeer.nl; M.G.C.Bosch-Rekveldt@tudelft.nl; M.J.C.M.Hertogh@tudelft.nl		Bosch-Rekveldt, Marian/0000-0001-9309-6352				62	5	5	11	38	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0742-597X	1943-5479		J MANAGE ENG	J. Manage. Eng.	JUL 1	2020	36	4							05020006	10.1061/(ASCE)ME.1943-5479.0000772			13	Engineering, Industrial; Engineering, Civil	Engineering	LS0ZA	WOS:000536120800006		Green Published			2021-12-21	
