PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Shepley, MM; Peditto, K; Sachs, NA; Pham, Y; Barankevich, R; Crouppen, G; Dresser, K				Shepley, Mardelle McCuskey; Peditto, Kati; Sachs, Naomi A.; Pham, Y.; Barankevich, Ruth; Crouppen, Gary; Dresser, Karyn			Staff and resident perceptions of mental and behavioural health environments	BUILDING RESEARCH AND INFORMATION			English	Article; Early Access						Behavioural health; mental health; psychiatric facility design; staff and patient perceptions; psychiatric residents	PSYCHIATRIC-WARD; CONSUMER SATISFACTION; BUILT ENVIRONMENT; NURSES EXPERIENCE; NURSING STAFF; DESIGN; PATIENT; IMPACT; SAFETY; ATMOSPHERE	The purpose of this study was to explore clinical staff and resident perceptions regarding the importance, as well as effectiveness, of environmental qualities and features in mental and behavioural health (MBH) facilities. The study evaluated inadequacies in environmental attributes, as perceived by staff and residents, in four MBH facilities in the United States. The Psychiatric Staff Environmental Design tool and the Psychiatric Patient Environmental Design tool were used to capture perceptions and facility assessments. We examined the importance of various environmental attributes, the differences between the importance and how effectively these attributes were achieved, and the differences between psychiatric staff and resident responses. The most important qualities for residents were a well-maintained environment and suicide resistance. For staff, the most important qualities were staff safety and security and suicide resistance. Rated across all facilities, staff reported significant differences between importance and effectiveness of environmental attributes (p < .0001) whereas residents did not report differences. Significant differences were found between staff and patient ratings of existing facilities (p = .004), with staff reporting more inadequacies than residents. Findings suggest a strong need for more supportive physical MBH environments, particularly from the perspective of staff. Though residents reported fewer inadequacies, more evidence-based design guidelines for MBH environments are needed.	[Shepley, Mardelle McCuskey; Pham, Y.; Barankevich, Ruth] Cornell Univ, Dept Design Environm Anal, Ithaca, NY 14850 USA; [Peditto, Kati] US Air Force Acad, Dept Behav Sci & Leadership, Colorado Springs, TX USA; [Sachs, Naomi A.] Univ Maryland, Dept Plant Sci & Landscape Architecture, College Pk, MD 20742 USA; [Crouppen, Gary; Dresser, Karyn] Stars Behav Hlth Grp Inc, Long Beach, CA USA	Shepley, MM (corresponding author), Cornell Univ, Dept Design Environm Anal, Ithaca, NY 14850 USA.	mshepley@cornell.edu						70	0	0	4	4	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0961-3218	1466-4321		BUILD RES INF	Build. Res. Informat.												10.1080/09613218.2021.1963653		AUG 2021	16	Construction & Building Technology	Construction & Building Technology	UD2YC	WOS:000687076900001					2021-12-21	
J	Jay, I; Bowen, P				Jay, Ian; Bowen, Paul			What residents value in low-cost housing schemes: some South African concepts	BUILDING RESEARCH AND INFORMATION			English	Article						housing; inhabitants; low-cost housing; quality of life; social development; value management; South Africa	CONJOINT-ANALYSIS; ENVIRONMENTAL VALUATION; CHOICE EXPERIMENTS; URBAN FORM; POLICY; QUALITY; DESIGN; SUSTAINABILITY; PREFERENCES; MANAGEMENT	What are the significant design aspects of low-cost housing from a value analysis perspective? South Africa has made housing a cornerstone of its social development policies, but there is significant dissatisfaction expressed by the residents of the housing schemes built to date. To address this, a small survey was undertaken to identify what established (existing) residents of low-cost housing in South Africa regard as important or of value. These established residents' views vary from other studies due to the ability to identify medium and long-term needs and problems. The survey identified nine concepts that can be used to evaluate housing scheme design using conjoint analysis or stated choice methods to quantify residents' values. Future quantitative research is suggested into the measurement of the requirements of residents. Development of econometric models of the already investigated urban form is advocated, along with the potential for 'densification' strategies to address some of the issues raised by residents.	[Jay, Ian; Bowen, Paul] Univ Cape Town, Dept Construct Econ & Management, ZA-7701 Rondebosch, South Africa	Jay, I (corresponding author), Univ Cape Town, Dept Construct Econ & Management, Private Bag, ZA-7701 Rondebosch, South Africa.	Paul.Bowen@uct.ac.za	Bowen, Paul/AAC-3913-2019	Bowen, Paul/0000-0003-1471-623X				106	6	7	1	11	TAYLOR & FRANCIS LTD	ABINGDON	4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0961-3218			BUILD RES INF	Build. Res. Informat.		2011	39	6					574	588		10.1080/09613218.2011.617082			15	Construction & Building Technology	Construction & Building Technology	878SC	WOS:000299275800004					2021-12-21	
J	[Anonymous]				[Anonymous]			SUREFIRE WAYS TO ALIENATE LOCAL RESIDENTS	JOURNAL OF MANAGEMENT IN ENGINEERING			English	Editorial Material																	0	0	0	0	0	ASCE-AMER SOC CIVIL ENG	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017-2398	0742-597X			J MANAGE ENG	J. Manage. Eng.	MAR-APR	1995	11	2					10	10					1	Engineering, Industrial; Engineering, Civil	Engineering	QH781	WOS:A1995QH78100010					2021-12-21	
J	Ulubeyli, S; Kazaz, A; Soycopur, B; Er, B				Ulubeyli, Serdar; Kazaz, Aynur; Soycopur, Betul; Er, Bayram			Quality function deployment in the speculative house-building market: how to satisfy high-income customers	INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT			English	Article						high-income customers; customer satisfaction; speculative house-building; quality function deployment; construction industry	CONSTRUCTION-INDUSTRY; ADAPTIVE CAPACITY; ORIENTED DESIGN; CLIMATE-CHANGE; QFD; PROJECTS; SYSTEM; FRAMEWORK; REQUIREMENTS; MANAGEMENT	This paper presents a study that reports a detailed process of 'quality function deployment', considering an ultra-luxury villa project. It is based on a questionnaire survey that was applied to 42 residents and seven top managers. The results highlight real expectations of high-income residents. Residents were not satisfied with the 'sauna', 'sports areas', and 'fitness centre' despite the fact that these were among the least important expectations. However, residents were satisfied with the 'security of the complex', 'architectural design', and 'quality of the end-products'. If some expectations (i.e. 'areas for common use', 'playing areas for children', and 'quality of the end-products') achieve better technical standards in the next projects, demand for luxury residences will likely be improved. Consequently, 25 expectations and corresponding findings constitute a preliminary framework for an expectations agenda for such projects for builders who wish to improve marketing practices.	[Ulubeyli, Serdar] Bulent Ecevit Univ, Dept Civil Engn, Zonguldak, Turkey; [Kazaz, Aynur; Soycopur, Betul; Er, Bayram] Akdeniz Univ, Dept Civil Engn, TR-07058 Antalya, Turkey	Ulubeyli, S (corresponding author), Bulent Ecevit Univ, Dept Civil Engn, Zonguldak, Turkey.	ulubeyli@beun.edu.tr	KAZAZ, Aynur/B-9177-2016	KAZAZ, Aynur/0000-0001-7926-7178; Ulubeyli, Serdar/0000-0003-0871-7391	Committees on Research Grant of Bulent Ecevit University; Committees on Research Grant of Akdeniz University	This works was supported by the Committees on Research Grants of Bulent Ecevit University and Akdeniz University.		44	4	4	0	16	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	1562-3599	2331-2327		INT J CONSTR MANAG	Int. J. Constr. Manag.	APR 3	2015	15	2					148	156		10.1080/15623599.2015.1033807			9	Management	Business & Economics	CJ5WW	WOS:000355564800005					2021-12-21	
J	Song, JB; Qian, C; Feng, Z; Ma, L				Song, Jinbo; Qian, Chen; Feng, Zhuo; Ma, Liang			Measuring residents' anxiety under urban redevelopment in China: An investigation of demographic variables	FRONTIERS OF ENGINEERING MANAGEMENT			English	Article						urban redevelopment; anxiety dimension; influencing factors; ANOVA; policymaking	URBANIZATION STRATEGY; SOCIAL RISKS; SATISFACTION; NEIGHBORHOOD; LAND; CITY; COMPENSATION; RESETTLEMENT; DISPLACEMENT; PROJECTS	Residents' concerns and feelings play pivotal roles in smoothly promoting urban redevelopment. Anxiety, as an intuitive feeling toward uncertainties, generally exists among residents who are confronted with redevelopment, and this feeling has gradually attracted scholars' attention. However, relatively few studies have focused on the multidimensional view of this concept and its influencing factors. Drawing upon a large-scale questionnaire survey conducted in 13 pilot areas in China, this study refines and verifies five prominent dimensions of anxiety, namely, housing conditions, monetary compensation, public services, life adaptation, and public participation level, through factor analysis and one-samplet-test. The finding contributes to achieving a complete understanding of anxiety, and the scales developed for measuring these dimensions lay the foundation for further empirical studies on anxiety. The individual and collective effects of age, job, and region variables on anxiety dimensions are demonstrated via independent-samplet-test and analysis of variance, which clarifies the formation process of anxiety and highlights the importance of these contextual variables. Tailored strategies for policymaking and engineering management, including establishing reasonable compensation standards, providing equal public services, and delivering high-quality housing, are proposed to relieve residents' anxiety. These strategies are expected to consider further the sensitive group, such as the elderly, farmers, and casual workers.	[Song, Jinbo; Qian, Chen; Feng, Zhuo] Dalian Univ Technol, Sch Econ & Management, Dalian 116024, Peoples R China; [Ma, Liang] Shanghai Univ, Sch Management, Shanghai 200444, Peoples R China	Qian, C (corresponding author), Dalian Univ Technol, Sch Econ & Management, Dalian 116024, Peoples R China.	qian_chen@mail.dlut.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [71734001, 71672018]; Fundamental Research Funds for the Central Universities of ChinaFundamental Research Funds for the Central Universities [DUT20RW601]; Liaoning BaiQianWan Talents Program	This study was supported by the National Natural Science Foundation of China (Grant Nos. 71734001 and 71672018), the Fundamental Research Funds for the Central Universities of China (Grant No. DUT20RW601) and the Liaoning BaiQianWan Talents Program.		40	0	0	1	16	HIGHER EDUCATION PRESS	BEIJING	CHAOYANG DIST, 4, HUIXINDONGJIE, FUSHENG BLDG, BEIJING 100029, PEOPLES R CHINA	2095-7513	2096-0255		FRONT ENG MANAG	Front. Eng. Manag.	MAR	2021	8	1					48	59		10.1007/s42524-020-0131-3		SEP 2020	12	Engineering, Industrial	Engineering	PW2WE	WOS:000565824600001					2021-12-21	
J	Al-Homoud, MS; Khan, MM				Al-Homoud, MS; Khan, MM			Assessing safety measures in residential buildings in Saudi Arabia	BUILDING RESEARCH AND INFORMATION			English	Article						fire safety; residential buildings; risk management; safety design; Saudi Arabia		The incidence rate of fire in residential buildings in Saudi Arabia accounts for 69% of all building fires. A field assessment of current safety issues for residential buildings in Saudi Arabia is used to identify common safety deficiencies. The survey showed that most residents are ignorant many safety aspects in their homes. A safety audit checklist for assessing the effectiveness of safety measures in existing residential buildings is also presented. Based on these findings, a number of strategies for designers, local authorities, building owners and residents is suggested.	King Fahd Univ Petr & Minerals, Dept Architectural Engn, Dhahran 31261, Saudi Arabia	Al-Homoud, MS (corresponding author), King Fahd Univ Petr & Minerals, Dept Architectural Engn, Dhahran 31261, Saudi Arabia.	alhomoud@kfupm.edu.sa						7	8	8	0	3	TAYLOR & FRANCIS LTD	ABINGDON	4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0961-3218			BUILD RES INF	Build. Res. Informat.	JUL-AUG	2004	32	4					300	305		10.1080/0961321042000221025			6	Construction & Building Technology	Construction & Building Technology	843CC	WOS:000223052100003					2021-12-21	
J	Juan, YK; Kim, JH; Roper, K; Castro-Lacouture, D				Juan, Yi-Kai; Kim, Jun Ha; Roper, Kathy; Castro-Lacouture, Daniel			GA-based decision support system for housing condition assessment and refurbishment strategies	AUTOMATION IN CONSTRUCTION			English	Article						Housing refurbishment; Decision support system; Genetic algorithm (GA); Evaluation criteria	CONSTRUCTION; DESIGN; MODEL; OPTIMIZATION; BUILDINGS; KNOWLEDGE	Refurbishment work involves improvement, upgrading, renovation, retrofit, and repair of existing housing. With limited land usage and being aware of sustainability, the refurbishment market has faced increasing needs worldwide. During the long life cycle period of housing, most residents are undoubtedly faced with refurbishment requirements. However, it is not easy to make assessment and refurbishment related decisions due to the lack of knowledge and experience. This study presents Genetic algorithm-based on-line decision support system (DSS) to hell) residents easily conduct the housing condition assessment and offers optimal refurbishment actions considering the trade-off between cost and quality. Two refurbishment models are developed to explore the relationship among the life cycle cost, restoration cost and improved quality. The result reveals the proposed DSS solves the problems arising from asymmetric information and conflicting interests between residents and contractors, as well as improves traditional housing condition assessment to be more effective and efficient. (c) 2008 Elsevier B.V. All rights reserved.	[Kim, Jun Ha] Georgia Inst Technol, Tennenbaum Inst, Bldg Construct Program, Atlanta, GA 30332 USA; [Juan, Yi-Kai] Natl Taiwan Univ Sci & Technol, Dept Architecture, Taipei, Taiwan; [Roper, Kathy; Castro-Lacouture, Daniel] Georgia Inst Technol, Coll Architecture, Bldg Construct Program, Atlanta, GA 30332 USA	Kim, JH (corresponding author), Georgia Inst Technol, Tennenbaum Inst, Bldg Construct Program, 760 Spring St NW, Atlanta, GA 30332 USA.	junhakim@ti.gatech.edu	KIM, JUN HA/AAH-9122-2020; Roper, Kathy/J-6398-2012		Construction and Planning Agency (CPA); National Taiwan University of Science and Technology (NTUST)	The authors are grateful for the funding from the Construction and Planning Agency (CPA) and National Taiwan University of Science and Technology (NTUST) under the Project "Key Information Technology Development for Housing Refurbishment" that has enabled the continuation of this research and the dissemination of these results. The system can be accessible at http://housing.tabc.org.tw/house/.		25	81	81	2	27	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0926-5805	1872-7891		AUTOMAT CONSTR	Autom. Constr.	JUL	2009	18	4					394	401		10.1016/j.autcon.2008.10.006			8	Construction & Building Technology; Engineering, Civil	Construction & Building Technology; Engineering	444NH	WOS:000265987200003					2021-12-21	
J	Osman, KK; Claveria, JB; Faust, KM; Hernandez, S				Osman, Khalid K.; Claveria, Joseph B.; Faust, Kasey M.; Hernandez, Salvador			Temporal Dynamics of Willingness to Pay for Alternatives That Increase the Reliability of Water and Wastewater Service	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT			English	Article							CLIMATE-CHANGE; HEALTH-RISKS; POLICY; MODEL; HETEROGENEITY; IMPROVEMENTS; PERCEPTION; RESPONSES; PRICE; NEWS	Changes in public perceptions affect infrastructure projects, policies, and revenue streams. As such, utilities should leverage these dynamic perceptions for a variety of reasons, including identifying strategic times to increase operational revenues through rate changes or billing structure, implementing capital projects or management approaches, or integrating new policies. This study focuses on assessing the temporal variations of stated willingness to pay for improved water and wastewater service of residents in 21 shrinking US cities. This classification of cities was selected due to the fiscal constraints placed on utilities because of the reduced number of customers from that which the original system was designed to serve. Furthermore, a consequence of this decline, a high proportion of low-income residents are paying high per-capita costs. Enabling this study are survey data collected in 2013 and 2016. Random-parameter Tobit regression models are used to identify geographic and sociodemographic factors influencing this stated willingness to pay. A likelihood ratio test confirmed a statistically significant shift between the surveys in the residents' stated willingness to pay. Model results reveal that between the timeframes of the deployed surveys, the influences of geographic (e.g., Michigan, Ohio) and sociodemographic factors (e.g., age, income) changed as well. Utilities may benefit from using the identified parameters to develop strategies (e.g., outreach programs, targeted education, media advertisements, inclusion in planning) to target specific groups. Similarly, using the geographic parameters may also present an opportunity to increase operational revenue due to higher willingness to pay by residents. In general, this study highlights that public perceptions should be periodically investigated to continually identify times of greater public support for various utility efforts under way.	[Osman, Khalid K.; Faust, Kasey M.] Univ Texas Austin, Dept Civil Architectural & Environm Engn, Austin, TX 78712 USA; [Claveria, Joseph B.; Hernandez, Salvador] Oregon State Univ, Dept Civil & Construct Engn, Corvallis, OR 97331 USA	Faust, KM (corresponding author), Univ Texas Austin, Dept Civil Architectural & Environm Engn, Austin, TX 78712 USA.	kosman@utexas.edu; claverij@oregonstate.edu; faustk@utexas.edu; sal.hernandez@oregonstate.edu	Faust, Kasey/AAT-2629-2021	Faust, Kasey/0000-0001-7986-4757; Hernandez, Salvador/0000-0001-8160-5949				78	5	5	1	16	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0733-9364	1943-7862		J CONSTR ENG M	J. Constr. Eng. Manage.	JUL 1	2019	145	7							04019041	10.1061/(ASCE)CO.1943-7862.0001668			14	Construction & Building Technology; Engineering, Industrial; Engineering, Civil	Construction & Building Technology; Engineering	HY3AQ	WOS:000467995800003		Green Submitted			2021-12-21	
J	Lu, ZP; Rodiek, S; Shepley, MM; Tassinary, LG				Lu, Zhipeng; Rodiek, Susan; Shepley, Mardelle M.; Tassinary, Louis G.			Environmental influences on indoor walking behaviours of assisted living residents	BUILDING RESEARCH AND INFORMATION			English	Article						active design; active living; assisted living; design for ageing; health; indoor environmental quality; indoor walking; older people; physical activity	PHYSICAL-ACTIVITY; OLDER-ADULTS	Regular walking behaviours can improve older people's physical, psychological and social health. This project examined the relationships between assisted living facilities' design features and residents' indoor walking behaviours through surveys and field evaluations. Surveys were conducted in 18 assisted living facilities in the US state of Texas. Researchers gathered information from 343 residents about their walking behaviours, participation in other activities, health and demographic status, and perceptions of the environment. Field evaluations were conducted to collect objective physical environment measures. Facility information was provided by the administrators. Multivariate hierarchical regression analysis showed significant influences of physical environments on indoor walking behaviours. Indoor recreational walking was related negatively to the number of stories of the building and positively to the perception of looped corridors. Different types of utilitarian walking, such as walk to other activities', walk to front entry' and walk to mailbox' were influenced by specific design features. The number of utilitarian walking types was marginally influenced by the number of stories of the building. These findings will help inform the design of activity-friendly assisted living facilities and the creation of health promotion programmes for frail older people.	[Lu, Zhipeng; Rodiek, Susan] Texas A&M Univ, Dept Architecture, College Stn, TX 77843 USA; [Shepley, Mardelle M.] Cornell Univ, Dept Design & Environm Anal, Ithaca, NY 14853 USA; [Tassinary, Louis G.] Texas A&M Univ, Dept Visualizat, College Stn, TX 77843 USA	Lu, ZP (corresponding author), Texas A&M Univ, Dept Architecture, 3137 TAMU, College Stn, TX 77843 USA.	luzhipeng@live.com; rodiek@tamu.edu; mms449@cornell.edu; ltassinary@arch.tamu.edu		Shepley, Mardelle/0000-0002-5674-1321	Robert Wood Johnson Foundation Active Living ResearchRobert Wood Johnson Foundation (RWJF) [63425]; AIA-Academy of Architecture for Health Tuttle Fellowship; Nurture by Steelcase Dissertation Grant	This work was supported by the Robert Wood Johnson Foundation Active Living Research [grant number 63425]; the AIA-Academy of Architecture for Health Tuttle Fellowship; and by a Nurture by Steelcase Dissertation Grant.		20	5	5	1	12	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0961-3218	1466-4321		BUILD RES INF	Build. Res. Informat.	SEP 3	2015	43	5			SI		602	615		10.1080/09613218.2015.1049494			14	Construction & Building Technology	Construction & Building Technology	CP1VX	WOS:000359666000004					2021-12-21	
J	Madsen, LV				Madsen, Line Valdorff			Materialities shape practices and notions of comfort in everyday life	BUILDING RESEARCH AND INFORMATION			English	Article						domestic heating; energy consumption; everyday life; homeowners; housing; inhabitant behaviour; occupants; social practices; space heating; thermal comfort; users	ENERGY; CONSUMPTION; RENOVATIONS; STRATEGIES; HOME; AIR	The development of residential energy technologies aims to ensure thermal comfort in an increasingly energy-efficient manner. This development influences everyday practices related to comfort in everyday life in dwellings. Therefore, an empirical analysis of interviews with residents in three types of Danish detached houses, related to the building age, is used to understand how changes in technologies influence residents' practices and notions of comfort. Detached houses are the most widespread type of housing in Denmark, constituting 44% of the housing stock. The analysis focuses on differences in heating systems between the housing types and shows how changes in technologies and material structures shape the practices of heating and airing. A shift in technology from radiators to underfloor heating was found to make a clear difference in both how houses are heated and thermal comfort is perceived. It is found that changes in material structures of houses consequently change residents' perceptions of comfort and the related everyday practices. A more nuanced set of notions of comfort is developed in relation to different practices, and specifically the relation between airing and heating practices, as well as the context of seasons and the outdoors.	[Madsen, Line Valdorff] Aalborg Univ, Danish Bldg Res Inst, Dept Town Housing & Planning, Copenhagen, Denmark	Madsen, LV (corresponding author), Aalborg Univ, Danish Bldg Res Inst, Dept Town Housing & Planning, Copenhagen, Denmark.	lvm@sbi.aau.dk		Madsen, Line Valdorff/0000-0003-0861-0041	strategic research project UserTEC - Innovation Fund Denmark	This paper is part of a three-year PhD scholarship sponsored through the strategic research project UserTEC funded by Innovation Fund Denmark.		32	22	22	0	7	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0961-3218	1466-4321		BUILD RES INF	Build. Res. Informat.		2018	46	1			SI		71	82		10.1080/09613218.2017.1326230			12	Construction & Building Technology	Construction & Building Technology	FO8VY	WOS:000417167400006		Green Submitted			2021-12-21	
