PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Polat, G				Polat, Gul			SUBCONTRACTOR SELECTION USING THE INTEGRATION OF THE AHP AND PROMETHEE METHODS	JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT			English	Article						subcontractor selection; multi-criteria-decision-making; AHP; PROMETHEE; GAIA; sensitivity analysis	BLOCKS MAINTENANCE CONTRACTORS; EVALUATION SYSTEM; DECISION-MAKING; CONSTRUCTION; FRAMEWORK; CRITERIA; MODEL; SUB; PERFORMANCE; PROJECTS	On many construction projects, especially building projects, 80-90% of the tasks are performed by subcontractors. Since the success of the project highly depends on the performances of the subcontractors, selecting the right subcontractor for the right job is critical. Main contractors generally tend to select the subcontractors that offer the lowest bid price. However, working with unqualified and insufficiently financed subcontractors may result in inefficiencies and failures. Thus, a combination of several compromising and conflicting criteria underpinning financial capacity and competencies of the subcontractors should be considered during the subcontractor selection process. This paper proposes an integrated decision approach, which employs analytic hierarchy process (AHP) and preference ranking organization method for enrichment evaluations (PROMETHEE) together, for the subcontractor selection problem. In the proposed approach, AHP is used to analyze the structure of the subcontractor selection problem and to determine the weights of the criteria, and PROMETHEE is employed to obtain complete ranking and perform sensitivity analysis by changing the weights of criteria. The proposed approach is applied to a problem of selecting the most appropriate subcontractor to be worked with in an international construction project. Company management found the proposed decision approach satisfactory and implementable in future subcontractor selection problems.	[Polat, Gul] Istanbul Tech Univ, Dept Civil Engn, Insaat Fak, TR-34469 Istanbul, Turkey	Polat, G (corresponding author), Istanbul Tech Univ, Dept Civil Engn, Insaat Fak, TR-34469 Istanbul, Turkey.	polatgu@itu.edu.tr	POLAT, GUL/ABB-3256-2020	POLAT, GUL/0000-0003-2431-033X				64	38	38	1	36	VILNIUS GEDIMINAS TECH UNIV	VILNIUS	SAULETEKIO AL 11, VILNIUS, LT-10223, LITHUANIA	1392-3730	1822-3605		J CIV ENG MANAG	J. Civ. Eng. Manag.		2016	22	8					1042	1054		10.3846/13923730.2014.948910			13	Engineering, Civil	Engineering	EF9XL	WOS:000390684700007		hybrid			2021-12-21	
J	Abbasianjahromi, H; Rajaie, H; Shakeri, E; Chokan, F				Abbasianjahromi, Hamidreza; Rajaie, Hossein; Shakeri, Eghbal; Chokan, Farzad			A New Decision Making Model for Subcontractor Selection and Its Order Allocation	PROJECT MANAGEMENT JOURNAL			English	Article						risk; subcontractor selection; continuous ant colony; optimization	ANT COLONY OPTIMIZATION; CONSTRUCTION	All experts agree on the importance of subcontracting. The high impact of subcontractors on the construction process means that the selection of subcontractors is a sensitive activity. Previous investigations documented the selection of subcontractors based on criteria but did not consider the number of subcontracted tasks. This paper explores allocating the best portion of tasks to subcontractors while optimizing the risk and cost in the fixed project schedule. The study's main finding demonstrates that subcontractor selection without attention to the order allocation is not a realistic approach; therefore, a hybrid model that applies continuous ant colony and fuzzy set theory is proposed.	[Abbasianjahromi, Hamidreza] Amirkabir Univ Technol, Tehran, Iran; [Rajaie, Hossein; Shakeri, Eghbal] Amirkabir Univ Technol, Fac Civil Engn, Tehran, Iran; [Chokan, Farzad] Amirkabir Univ Technol, Dept Civil & Environm Engn, Tehran, Iran	Abbasianjahromi, H (corresponding author), Amirkabir Univ Technol, Tehran, Iran.	abasian.hamid@gmail.com; rajaieh@aut.ac.ir; eshakeri@aut.ac.ir; farzad.choukan@gmail.com		Abbasianjahromi, Hamidreza/0000-0003-3249-2882				35	8	8	0	19	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	8756-9728	1938-9507		PROJ MANAG J	Proj. Manag. J.	FEB	2014	45	1					55	66		10.1002/pmj.21394			12	Management	Business & Economics	AC9GH	WOS:000332841900009					2021-12-21	
J	Kumaraswamy, MM; Matthews, JD				Kumaraswamy, MM; Matthews, JD			Improved subcontractor selection employing partnering principles	JOURNAL OF MANAGEMENT IN ENGINEERING			English	Article								Despite the increasing extent of subcontracting in construction, the importance of subcontractor selection is frequently underestimated. While the subcontracting element needs more attention in contractor selection itself, subcontractor selection techniques themselves need considerable improvements. This paper examines how such techniques can beneficially draw from improved multicriteria contractor selection methodologies in general, and specifically from recent developments in client-contractor partnering. It is shown how partnering may be profitably extended further into the supply chain, i.e., into subcontractor selection. A European case study illustrates the development of a subcontractor selection process that incorporated partnering principles. Despite the longer and costlier selection process, it was found that subcontractor pricing levels were reduced by about 10% to account for anticipated efficiencies arising from the proposed partnering. Markedly better time and cost control was achieved on the pilot project. The relationships between all project participants were also found to have improved considerably. Such observations confirm the value (1) of expanding the partnering "envelope" to encompass subcontractors in general; and more specifically, (2) of assessing the potential for such extended partnering as an integral part of the subcontractor selection process.	Univ Hong Kong, Dept Civ Engrg, Hong Kong, Hong Kong, Peoples R China	Kumaraswamy, MM (corresponding author), Univ Hong Kong, Dept Civ Engrg, Pokfulam Rd, Hong Kong, Hong Kong, Peoples R China.		Kumaraswamy, Mohan/C-1802-2009					41	97	99	1	55	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0742-597X	1943-5479		J MANAGE ENG	J. Manage. Eng.	MAY-JUN	2000	16	3					47	57		10.1061/(ASCE)0742-597X(2000)16:3(47)			11	Engineering, Industrial; Engineering, Civil	Engineering	306AU	WOS:000086574600034					2021-12-21	
J	Dossick, CS; Schunk, TK				Dossick, Carrie Sturts; Schunk, Timothy K.			Subcontractor schedule control method	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT			English	Article								Trade coordination and claims documentation is a challenge on any project, particularly for specialty subcontractors. The writers introduce a schedule control method initiated by the subcontractor, which facilitates coordination and communication between a subcontractor and other project participants as well as documentation to the prime contractor. A case study illustrates the preparation of a trade-specific critical path method (CPM) schedule, which is updated on a regular basis. The writers also address the interrelationship between the CPM schedule, internal reporting, schedule of values, and labor tracking. It is difficult to ensure that all subcontractor-produced documentation is complementary, but it is well worth the effort when it comes to supporting a claim. Monthly schedule updates and narratives communicate the conflicts, issues, and schedule constraints the subcontractor experiences or anticipates on a project, thereby providing contractually required notice to the prime contractor during the project. This increases the likelihood of resolving issues during the project, while simultaneously protecting a subcontractor's position if change order requests are denied or if back charges are levied prompting a subcontractor to enforce its rights, execute a claim, or proceed to litigation.	Univ Washington, Seattle, WA 98195 USA; QCxP, Los Angeles, CA 90024 USA	Dossick, CS (corresponding author), Univ Washington, Box 351610, Seattle, WA 98195 USA.	cdossick@u.washington.edu; tschunk@consulthts.com		Dossick, Carrie Sturts/0000-0003-0925-4579				0	7	7	0	12	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0733-9364	1943-7862		J CONSTR ENG M	J. Constr. Eng. Manage.	MAR	2007	133	3					262	265		10.1061/(ASCE)0733-9364(2007)133:3(262)			4	Construction & Building Technology; Engineering, Industrial; Engineering, Civil	Construction & Building Technology; Engineering	138JL	WOS:000244358800008					2021-12-21	
J	Liu, JY; Yang, PF; Xia, B; Skitmore, M				Liu, Junying; Yang, Pengfei; Xia, Bo; Skitmore, Martin			Effect of Perceived Justice on Subcontractor Willingness to Cooperate: The Mediating Role of Relationship Value	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT			English	Article						Contracting; Social exchange theory; Subcontractor; Perceived justice; Relationship value; Willingness to cooperate	BUYER-SELLER RELATIONSHIPS; ORGANIZATIONAL JUSTICE; PROCEDURAL FAIRNESS; SOCIAL-EXCHANGE; SATISFACTION; CONSTRUCTION; PERCEPTIONS; IMPACT; INTEGRATION	Cooperation between subcontractors and the general contractor provides the foundation for the successful delivery of every construction project. As one of the most important factors influencing subcontractor behavioral intentions, perceived justice from previous collaborative experience affects the willingness of a subcontractor to cooperate with a general contractor in the future. In this paper, a model is built based on social exchange theory to examine the relationship between justice perception, relationship value, and subcontractor willingness to cooperate (WTC). Analysis of data from 122 subcontractors demonstrates that distributive justice and interactional justice positively affect WTC, and relationship value from the general contractor partially mediates such effects. However, procedural justice does not significantly affect WTC. The study provides a new perspective for examining the internal mechanisms between subcontractor justice perception and WTC. The findings will also help general contractors understand how their behaviors affect subcontractor WTC, thus providing practical implications for subcontracting management. (C) 2017 American Society of Civil Engineers.	[Liu, Junying; Yang, Pengfei] Tianjin Univ, Coll Management & Econ, Dept Construct Management, 92 Weijin Rd, Tianjin 300072, Peoples R China; [Xia, Bo; Skitmore, Martin] Queensland Univ Technol, Sch Civil Engn & Built Environm, Garden Point Campus,2 George St, Brisbane, Qld 4000, Australia	Yang, PF (corresponding author), Tianjin Univ, Coll Management & Econ, Dept Construct Management, 92 Weijin Rd, Tianjin 300072, Peoples R China.	liujunying@tju.edu.cn; yangpengfei2014@126.com; paul.xia@qut.edu.au; rm.skitmore@qut.edu.au	Skitmore, Martin/I-9743-2012; Xia, Bo/J-1355-2012	Skitmore, Martin/0000-0001-7135-1201; Xia, Bo/0000-0001-7694-4743	Ministry of Education of ChinaMinistry of Education, China [16YJA630031]	The work described in this paper was supported by the Humanities and Social Sciences Planning Fund from the Ministry of Education of China (Project No. 16YJA630031).		62	3	3	8	47	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0733-9364	1943-7862		J CONSTR ENG M	J. Constr. Eng. Manage.	SEP	2017	143	9							04017062	10.1061/(ASCE)CO.1943-7862.0001350			8	Construction & Building Technology; Engineering, Industrial; Engineering, Civil	Construction & Building Technology; Engineering	FO2VS	WOS:000416654400002		Green Submitted			2021-12-21	
J	Abbasianjahromi, H; Rajaie, H; Shakeri, E; Kazemi, O				Abbasianjahromi, Hamidreza; Rajaie, Hossein; Shakeri, Eghbal; Kazemi, Omid			A NEW APPROACH FOR SUBCONTRACTOR SELECTION IN THE CONSTRUCTION INDUSTRY BASED ON PORTFOLIO THEORY	JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT			English	Article						subcontractor; portfolio; genetic algorithm; fuzzy theory	MODEL; PROJECTS; SYSTEM; SUB	Various challenges such as new technologies, growing complexity and competitive environment, require the main contractor to assign some of the project's tasks to other parties, the so-called subcontractors. Although subcontracting is a usual phenomenon in the construction industry, insufficient attention to the subcontractor selection strategy may pose some major threats to a project. Having in mind the significance of such risks, the optimization of subcontractor selection is essential for the success of the project. The importance of risk management in selecting subcontractors and the direct relation between risks and returns in most projects are two main motives for using the concept of portfolio in this paper. The main objective of this paper is to propose a model to allocate the best portion of project's task to some subcontractors in order to reach the optimized portfolio of subcontractors and main contractor. This is a new approach in the subcontractor management; therefore, after presenting the model, an illustrative example will be presented for better understanding.	[Abbasianjahromi, Hamidreza; Rajaie, Hossein; Shakeri, Eghbal; Kazemi, Omid] Amirkabir Univ Technol, Fac Civil Engn, 424 Hafez Ave, Tehran, Iran	Abbasianjahromi, H (corresponding author), Amirkabir Univ Technol, Fac Civil Engn, 424 Hafez Ave, Tehran, Iran.	abasian.hamid@gmail.com		Abbasianjahromi, Hamidreza/0000-0003-3249-2882				22	10	11	1	38	VILNIUS GEDIMINAS TECH UNIV	VILNIUS	SAULETEKIO AL 11, VILNIUS, LT-10223, LITHUANIA	1392-3730	1822-3605		J CIV ENG MANAG	J. Civ. Eng. Manag.	APR 2	2016	22	3					346	356		10.3846/13923730.2014.897983			11	Engineering, Civil	Engineering	DI4MW	WOS:000373475000006		gold			2021-12-21	
J	Abbasian-Hosseini, SA; Liu, M; Hsiang, SM				Abbasian-Hosseini, S. Alireza; Liu, Min; Hsiang, Simon M.			Social network conformity and construction work plan reliability	AUTOMATION IN CONSTRUCTION			English	Article						Social network analysis; Job site interactions; Social influence; Conformity; Construction subcontractors; Work plan reliability	LABOR FLOW RELIABILITY; FUNDAMENTAL PRINCIPLES; PRODUCTIVITY	In a large construction project delivery is usually handled by numerous subcontractors. Work plan reliability (WPR) of subcontractors is an essential element for improving project performance. Previous research mainly focused on the consequence of the WPR variability of a subcontractor on the following subcontractors in the project task-sequence. Construction industry lacks a good understanding of the social aspect of the subcontractors' WPR. Plausibly and arguably, construction subcontractors and their interactions/relationships in a project constitute a network, conceptualized as a "social network". "Social conformity" is one of the various social influehte types that results in a change of performance/behavior in order tuft in a group. This research aims to understand how conformity plays a role in the subcontractors' performance particularly in their WPR. The objective of this paper is to develop an analytical approach to 1) demonstrate the impact of conformity on the WPR of subcontractors, and 2) identify the role of social network in conformity occurrence in a construction project. Two construction projects, each including a general contractor overseeing several subcontractors, were Studied. Findings show that deviation from norms decreases as project proceeds. It also shows that the tendency of subcontractors to follow the norms of their neighborhood (local) is higher than their willing to follow the project norm (global). The research contributes to the body of knowledge as it proposes a social network based approach for the first time to explore how the subcontractors' WPR in a construction project can be under the influence of the conformity phenomenon. Understanding the subcontractors' manner can be useful for project managers when they need to establish a long-term working relationship with a particular subcontractor, or when they need to know much effort is necessary to spend on improvement initiatives of planning reliability. Published by Elsevier B.V.	[Abbasian-Hosseini, S. Alireza; Liu, Min] North Carolina State Univ, Dept Civil Construct & Environm Engn, Raleigh, NC 27695 USA; [Hsiang, Simon M.] Univ North Carolina Charlotte, Dept Syst Engn & Engn Management, Charlotte, NC 28223 USA	Liu, M (corresponding author), North Carolina State Univ, Dept Civil Construct & Environm Engn, Raleigh, NC 27695 USA.	sabbasi@ncsu.du; min_liu@ncsu.edu; simon.hsiang@ttu.edu		Hsiang, Simon/0000-0003-3224-9137				39	5	5	0	31	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0926-5805	1872-7891		AUTOMAT CONSTR	Autom. Constr.	JUN	2017	78						1	12		10.1016/j.autcon.2017.01.004			12	Construction & Building Technology; Engineering, Civil	Construction & Building Technology; Engineering	EP4MF	WOS:000397353900001					2021-12-21	
J	Oviedo-Haito, RJ; Jimenez, J; Cardoso, FF; Pellicer, E				Oviedo-Haito, Ricardo J.; Jimenez, Jaime; Cardoso, Francisco F.; Pellicer, Eugenio			Survival Factors for Subcontractors in Economic Downturns	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT			English	Article						Economic crisis; Labor and personnel issues; Spain; Construction; Subcontracting; Survival factors	MAIN-CONTRACTOR; CONSTRUCTION; MANAGEMENT; HEALTH; STRATEGIES; SELECTION; INDUSTRY; SAFETY	This paper analyzes key issues facing subcontractors in the context of a severe economic crisis, aiming to detect the factors that are critical for the survival of the subcontractors. Although previous research efforts have analyzed factors related to subcontractor performance in regular financial conditions, there remains only sparse knowledge of how subcontractors are to survive when economic conditions become dire, as they have in recent times in the Spanish construction market. In this research, in-depth interviews with managers of relevant Spanish subcontracting companies were carried out, resulting in the identification of eight factors for subcontractor survival: project delivery method, demand, financial capital, relationship assets, managerial assets, human assets, legal framework, and geographic scope. The project delivery method used by the owner and also by the main contractor is mainly based on price. As a result, the subcontractors' bids get lower, making them unsustainable in the long run. Furthermore, subcontractors do not get financial support from banks easily to cover their additional financial costs. These facts push subcontractors to get a guarantee of payment by the main contractor, and subcontracting companies may even ask for payments in advance. Subcontractors also seek long-term relationships with the contractor. These trusting relations are very often a prerequisite to qualify and bid for contracts. Subcontractors have to continuously improve, plan ahead, and adapt quickly to the new environment. Therefore, subcontractors must remain flexible and maintain a lean hierarchical organization. Doing so makes it is easier for subcontractors to compete in both their native markets as well as abroad. To this end, the most successful subcontractors have become international during the expansion phase of the economic cycle; many of them went abroad with the help of a contractor from their home country.	[Oviedo-Haito, Ricardo J.; Cardoso, Francisco F.] Univ Sao Paulo, Dept Engn Construcao Civil, Sao Paulo, Brazil; [Jimenez, Jaime; Pellicer, Eugenio] Univ Politecn Valencia, Sch Civil Engn, Valencia 46022, Spain	Pellicer, E (corresponding author), Univ Politecn Valencia, Sch Civil Engn, Camino Vera Sn, Valencia 46022, Spain.	mltca1@yahoo.com; jaijiay@cst.upv.es; francisco.cardoso@poli.usp.br; pellicer@upv.es	Cardoso, Francisco/F-5189-2013; Haito, Ricardo J. Oviedo/R-3215-2016; Pellicer, Eugenio/B-5593-2012; Haito, Ricardo Oviedo/AAE-5039-2019	Haito, Ricardo J. Oviedo/0000-0001-5541-4962; Pellicer, Eugenio/0000-0001-9100-0644; Haito, Ricardo Oviedo/0000-0001-5541-4962	Santander Universidades (Becas Iberoamerica Jovenes Profesionales e Investigadores)	This research was partially supported by Santander Universidades (Becas Iberoamerica Jovenes Profesionales e Investigadores 2012) that funded a visitorship for Ricardo Oviedo-Haito. The authors are also indebted to all the participants in this research, as well as to Dr. Debra Westall and Dr. Nathaniel Sobin for revising the manuscript. Finally, the valuable commentaries and suggestions of three anonymous reviewers are also highly appreciated.		54	21	21	0	42	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0733-9364	1943-7862		J CONSTR ENG M	J. Constr. Eng. Manage.	MAR 1	2014	140	3								10.1061/(ASCE)CO.1943-7862.0000811			10	Construction & Building Technology; Engineering, Industrial; Engineering, Civil	Construction & Building Technology; Engineering	AC6UG	WOS:000332659900003		Green Published			2021-12-21	
J	Ng, ST; Skitmore, M				Ng, S. Thomas; Skitmore, Martin			DEVELOPING A FRAMEWORK FOR SUBCONTRACTOR APPRAISAL USING A BALANCED SCORECARD	JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT			English	Article						construction subcontractor; performance appraisal; balanced scorecard	SELECTION; CRITERIA; SYSTEM; MODEL	Subcontractors contribute significantly to construction projects and their performance can seriously affect overall project success. It is crucial, therefore, to appraise the performance of subcontractors to ensure they satisfy the client's expectations and project requirements. To increase the transparency and accuracy of subcontractor appraisal, the baseline and target performance levels should be set at the outset so that the appraisers and those being appraised realize exactly what standards are to be achieved. The balanced scorecard, being a powerful tool for performance appraisal, offers a potentially good approach for modeling the subcontractor appraisal process. In this paper, an approach to developing a balanced scorecard subcontractor appraisal model is proposed and demonstrated through a questionnaire survey administered in Hong Kong and from which the baseline and target performance levels for large-scale skilled subcontractors are identified. A case example is used to illustrate the operation of the model. Finally, a means by which the model may be validated is demonstrated through the use of field experts. The results demonstrate the feasibility of developing a balanced scorecard model that can help improve the transparency of subcontractor appraisal despite the baseline and target performance levels changing according to the project characteristics, subcontractor categories and size.	[Ng, S. Thomas] Univ Hong Kong, Dept Civil Engn, Hong Kong, Hong Kong, Peoples R China; [Skitmore, Martin] Queensland Univ Technol, Sch Civil Engn & Built Environm, Brisbane, Qld 4001, Australia	Ng, ST (corresponding author), Univ Hong Kong, Dept Civil Engn, Pokfulam Rd, Hong Kong, Hong Kong, Peoples R China.	tstng@hku.hk	Skitmore, Martin/I-9743-2012; Ng, S. Thomas/AAZ-9757-2020	Skitmore, Martin/0000-0001-7135-1201; Ng, S. Thomas/0000-0003-2062-0234	Research Grants Council of the HKSAR GovernmentHong Kong Research Grants Council [7120/04E]	The authors would like to thank the Research Grants Council of the HKSAR Government for funding this research study through the General Research Fund (Grant No.: 7120/04E). The assistance of Mr Jason C. S. Ng during the data collection and analysis stage is also gratefully acknowledged.		28	10	10	1	20	VILNIUS GEDIMINAS TECH UNIV	VILNIUS	SAULETEKIO AL 11, VILNIUS, LT-10223, LITHUANIA	1392-3730	1822-3605		J CIV ENG MANAG	J. Civ. Eng. Manag.		2014	20	2					149	158		10.3846/13923730.2013.802705			10	Engineering, Civil	Engineering	AF8EZ	WOS:000334949600001		hybrid, Green Submitted			2021-12-21	
J	Javanmardi, A; Abbasian-Hosseini, SA; Liu, M; Hsiang, SM				Javanmardi, Ashtad; Abbasian-Hosseini, S. Alireza; Liu, Min; Hsiang, Simon M.			Benefit of Cooperation among Subcontractors in Performing High-Reliable Planning	JOURNAL OF MANAGEMENT IN ENGINEERING			English	Article						Subcontractors; Cooperation; Benefit allocation; Work-plan reliability; Game theory; Simulation modeling; Lean construction	PARADE GAME; CONSTRUCTION; PRODUCTIVITY; VARIABILITY; RELIABILITY; IMPACT; TRADE	As construction projects get larger and more complex, subcontractors can benefit from cooperation and by forming an alliance, such as partnering. Previous studies have discussed the benefit of cooperation or partnering among subcontractors and between them and other project stakeholders. However, there has been limited research to quantify the benefit of cooperation among subcontractors in performing high-reliable planning (HRP). Therefore, the purpose of this paper is to quantify the benefit of cooperation among subcontractors in increasing their planning reliability at an operational level. Although HRP reduces the variability in a production system that significantly benefits the downstream subcontractors, it requires every subcontractor to put more time, cost, and effort into the planning stage, which may not be cost-effective for upstream subcontractors. To model the described situation, a simulation model (built by simulation software) was integrated with a cost model that identifies the relationship between cost and work-plan reliability (WPR) level. By utilizing different benefit-allocation models and evaluating their solutions, the paper demonstrates that a contribution-based benefit-allocation (CBBA) model using a game theory framework can provide the most acceptable and incentivizing solutions for the benefit-allocation problem. This study contributes to the body of knowledge in lean construction by quantifying the benefit of subcontractors' cooperation in increasing their planning reliability. (c) 2017 American Society of Civil Engineers.	[Javanmardi, Ashtad; Abbasian-Hosseini, S. Alireza; Liu, Min] North Carolina State Univ, Dept Civil Construct & Environm Engn, Raleigh, NC 27695 USA; [Hsiang, Simon M.] Univ North Carolina Charlotte, Dept Syst Engn & Engn Management, Dept Chair, Charlotte, NC 28223 USA	Liu, M (corresponding author), North Carolina State Univ, Dept Civil Construct & Environm Engn, Raleigh, NC 27695 USA.	ajavanm@ncsu.edu; sabbasi@ncsu.edu; min_liu@ncsu.edu; shsiang1@uncc.edu		Hsiang, Simon/0000-0003-3224-9137				62	17	17	2	33	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0742-597X	1943-5479		J MANAGE ENG	J. Manage. Eng.	MAR	2018	34	2							04017062	10.1061/(ASCE)ME.1943-5479.0000578			12	Engineering, Industrial; Engineering, Civil	Engineering	FT1GT	WOS:000422884200006					2021-12-21	
