PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Johari, S; Jha, KN				Johari, Sparsh; Jha, Kumar Neeraj			Framework for Identifying Competencies of Construction Workers	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT			English	Article						Career progression path; Craft workers training; Labor performance	SKILLS; EDUCATION; TRAITS	Any occupation requires a certain set of competencies at a given employment level. Although in the construction industry the competency requirements for mid- and upper-level employees are very well defined, such clear definitions at the workers' level are missing. Literature suggests that along with practical skills, workers require additional socioemotional, cognitive, and technical competencies to perform their work efficiently. Therefore, through a nationwide survey of 598 industrial professionals in India, 6, 9, and 13 competencies were identified for unskilled, semiskilled, and skilled categories of workers, respectively. These competencies included attitude, motivation, and physical strength for unskilled workers; self-confidence and technical knowledge for semiskilled workers; and writing, reading, mathematical, and problem-solving skills for skilled workers. These results will have threefold implications. First, they will assist training providers designing an effective worker training program. Second, they will help the development of a career progression path for the workers. Third, if the identified competencies are considered in workers' categorization process, then the latter will become more robust than the existing one, in which only practical skills are considered.	[Johari, Sparsh; Jha, Kumar Neeraj] Indian Inst Technol Delhi, Dept Civil Engn, New Delhi 110016, India	Johari, S (corresponding author), Indian Inst Technol Delhi, Dept Civil Engn, New Delhi 110016, India.	sparshjo@gmail.com; knjha@civil.iitd.ac.in		Johari, Sparsh/0000-0002-1396-0188				57	1	1	7	7	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0733-9364	1943-7862		J CONSTR ENG M	J. Constr. Eng. Manage.	MAY 1	2021	147	5							04021034	10.1061/(ASCE)CO.1943-7862.0002037			11	Construction & Building Technology; Engineering, Industrial; Engineering, Civil	Construction & Building Technology; Engineering	SK8DX	WOS:000656447100005					2021-12-21	
J	Chih, YY; Kiazad, K; Cheng, D; Lajom, JAL; Restubog, SLD				Chih, Ying-Yi; Kiazad, Kohyar; Cheng, David; Lajom, Jennifer Ann L.; Restubog, Simon Lloyd D.			Feeling Positive and Productive: Role of Supervisor-Worker Relationship in Predicting Construction Workers' Performance in the Philippines	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT			English	Article						Construction workers; Supervisor-worker relationship; Leader-member exchange; Work performance; Positive emotions; Labor and personnel issues	LEADER-MEMBER EXCHANGE; ORGANIZATIONAL CITIZENSHIP BEHAVIOR; JOB EMBEDDEDNESS; MEDIATING ROLE; VOLUNTARY TURNOVER; OUTCOMES; SATISFACTION; METAANALYSIS; RESOURCES; EMOTIONS	Given the complex and dynamic nature of construction work, workers rely heavily on their supervisors for task allocation and ongoing guidance and support. Their relationships with supervisors can directly affect their performance, and by extension, project performance and organizational effectiveness. It is thus of utmost importance to investigate the impact of this working relationship on workers' psychological, behavioral, and performance outcomes. Based on data collected from the construction industry in Philippines using a time-lagged research design, this paper investigates the role of supervisor-worker relationships in predicting workers' emotions, job embeddedness, and in-role and extra-role performance. The results reveal that a high-quality working relationship between workers and their supervisors can facilitate workers' positive emotions, leading to enhanced job embeddedness and superior performance. As such, organizations are recommended to equip supervisors with the awareness, knowledge, and skills to facilitate high-quality relationships with their workers. This research contributes to the construction literature by adding empirical evidence to explain whether and why high-quality worker-supervisor relationships actually influence construction workers' performance. It also increases understanding of individual construction employees' performance and well-being from a social-psychological theoretical perspective. (C) 2017 American Society of Civil Engineers.	[Chih, Ying-Yi; Cheng, David; Restubog, Simon Lloyd D.] Australian Natl Univ, Res Sch Management, ANU Coll Business & Econ, 26 Kingsley St, Acton, ACT 2601, Australia; [Kiazad, Kohyar] Monash Univ, Monash Business Sch, Dept Management, Sir John Monash Dr, Caulfield, Vic 3145, Australia; [Lajom, Jennifer Ann L.] Edith Cowan Univ, Sch Business & Law, 270 Joondalup Dr, Joondalup, WA 6027, Australia	Chih, YY (corresponding author), Australian Natl Univ, Res Sch Management, ANU Coll Business & Econ, 26 Kingsley St, Acton, ACT 2601, Australia.	ying-yi.chih@anu.edu.au; kohyar.kiazad@monash.edu; david.cheng@anu.edu.au; j.lajom@ecu.edu.au; simon.restubog@anu.edu.au		Restubog, Simon/0000-0003-1602-2530; Chih, Ying-Yi/0000-0002-6007-6790				73	9	9	2	81	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0733-9364	1943-7862		J CONSTR ENG M	J. Constr. Eng. Manage.	AUG	2017	143	8							04017049	10.1061/(ASCE)CO.1943-7862.0001346			10	Construction & Building Technology; Engineering, Industrial; Engineering, Civil	Construction & Building Technology; Engineering	EY1KB	WOS:000403723700022					2021-12-21	
J	Lee, W; Lin, KY; Seto, E; Migliaccio, GC				Lee, Wonil; Lin, Ken-Yu; Seto, Edmund; Migliaccio, Giovanni C.			Wearable sensors for monitoring on-duty and off-duty worker physiological status and activities in construction	AUTOMATION IN CONSTRUCTION			English	Article						Construction safety and health; Worker monitoring; Wearable sensors; Worker physiology; Usability study	HEART-RATE-VARIABILITY; ENERGY-EXPENDITURE; HEALTH PROTECTION; PHYSICAL-ACTIVITY; VALIDITY; RELIABILITY; VALIDATION; PROMOTION; PRODUCTIVITY; ACTIGRAPH	Total Worker Health (R) (TWH) integrates occupational health and safety with the promotion of workers' off-duty wellbeing. Wearable sensors (e.g., activity trackers and physiological monitors) have facilitated personalized objective measurement of workers' health and wellbeing. Furthermore, the TWH concept is relevant to construction workers, especially roofing workers, as they encounter high on-duty health and safety risks and have poor off-duty lifestyles. This study examined the reliability and usability of wearable sensors for monitoring roofing workers' on-duty and off-duty activities. The results demonstrated the usability of these sensors and recommended a data collection period of three consecutive days for obtaining an intraclass correlation coefficient of 0.75 for heart rate, energy expenditure, metabolic equivalents, and sleep efficiency. The participants exhibited significant variations in their physical responses, health statuses, and safety behaviors. Moreover, several issues were identified in the application of wearable sensors to TWH evaluations for construction workers including roofers.	[Lee, Wonil; Lin, Ken-Yu; Migliaccio, Giovanni C.] Univ Washington, Coll Built Environm, Dept Construct Management, Seattle, WA 98195 USA; [Lee, Wonil; Seto, Edmund] Univ Washington, Sch Publ Hlth, Dept Environm & Occupat Hlth Sci, Seattle, WA 98195 USA	Lin, KY (corresponding author), Univ Washington, Coll Built Environm, Dept Construct Management, Seattle, WA 98195 USA.	kenyulin@uw.edu	Migliaccio, Giovanni C/I-7529-2012; Lee, Wonil/AAH-7631-2020	Migliaccio, Giovanni C/0000-0002-3363-2245; Lee, Wonil/0000-0002-3289-5406; Lin, Ken-Yu/0000-0002-3613-6802	Northwest Center for Occupational Health and Safety, a National Institute for Occupational Safety and Health (NIOSH) [2-T42-OH008433]	The authors would like to thank Professor Peter W. Johnson and Mr. Patrick Rynell from the Ergonomics Laboratory at the University of Washington for providing us the posture-analysis software. This work was partially supported by the Northwest Center for Occupational Health and Safety, a National Institute for Occupational Safety and Health (NIOSH) funded Education and Research Centers (ERCs) [grant number 2-T42-OH008433].		78	60	61	6	54	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0926-5805	1872-7891		AUTOMAT CONSTR	Autom. Constr.	NOV	2017	83						341	353		10.1016/j.autcon.2017.06.012			13	Construction & Building Technology; Engineering, Civil	Construction & Building Technology; Engineering	FH9LP	WOS:000411533400028					2021-12-21	
J	Hare, B; Cameron, I; Real, KJ; Maloney, WF				Hare, Billy; Cameron, Iain; Real, Kevin J.; Maloney, William F.			Exploratory Case Study of Pictorial Aids for Communicating Health and Safety for Migrant Construction Workers	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT			English	Article						Safety; Communication; Migrant; Pictograms	COMPREHENSION	Approximately 8% of UK construction workers are from overseas. Migrant workers face several barriers, including language and communication difficulties, which have obvious implications for the management of health and safety (H&S). This paper examines the effectiveness of pictorial aids for communicating hazards and controls to migrant workers on construction sites. A lexicon of critical H&S terms was developed through content analysis of worker induction guidance. A pictorial inventory of images was developed, tailored to the lexicon. The images were tested for comprehension among 50 migrant workers. A threshold of 85% correct interpretations of each image was set. 23 images failed and were altered before retesting to satisfactory levels. Workers from European countries identified more images correctly than workers of African and Indian origin. Workers with less than 5 years' experience scored lower than more experienced workers. Pictorial aids can communicate simple hazards and controls. Cultural differences may distort comprehension. Images should supplement existing communication methods, not substitute them. (C) 2013 American Society of Civil Engineers.	[Hare, Billy; Cameron, Iain] Glasgow Caledonian Univ, Sch Built & Nat Environm, Glasgow G4 0BA, Lanark, Scotland; [Real, Kevin J.] Univ Kentucky, Dept Commun, Lexington, KY 40506 USA; [Maloney, William F.] Univ Kentucky, Dept Civil Engn, Lexington, KY 40506 USA	Maloney, WF (corresponding author), Univ Kentucky, Dept Civil Engn, Lexington, KY 40506 USA.	maloney@engr.uky.edu	Hare, Billy/W-8558-2019	Hare, Billy/0000-0002-1079-6343				38	28	28	2	31	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0733-9364			J CONSTR ENG M	J. Constr. Eng. Manage.-ASCE	JUL 1	2013	139	7					818	825		10.1061/(ASCE)CO.1943-7862.0000658			8	Construction & Building Technology; Engineering, Industrial; Engineering, Civil	Construction & Building Technology; Engineering	195RC	WOS:000322720300006					2021-12-21	
J	Marzuki, PF; Permadi, H; Sunaryo, I				Marzuki, Puti Farida; Permadi, Hestiyani; Sunaryo, Indryati			FACTORS AFFECTING JOB SATISFACTION OF WORKERS IN INDONESIAN CONSTRUCTION COMPANIES	JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT			English	Article						job facets; job satisfaction; workers' perception; construction companies	MANAGEMENTS PERCEPTION; PERFORMANCE; INDICATORS; WORKFORCE	This paper describes the influence of job characteristics, rewards, relations with superiors, relations with co-workers, and fulfillment of higher order needs, as job facets, on the job satisfaction of workers in Indonesian construction companies. A questionnaire survey was conducted in Jakarta (the capital city) and Bandung (one of Indonesia's major cities). The results revealed that workers in different occupational groups and managerial positions perceive differently the conditions of job facets and that there are different levels of job satisfaction among different categories of workers. This research indicates that workers care about the quality of their work and company's performance and that these aspects affect significantly their job satisfaction. Reward is also revealed to have an important influence on workers' job satisfaction.	[Marzuki, Puti Farida; Permadi, Hestiyani] Inst Teknol Bandung, Fac Civil & Environm Engn, Bandung 40132, Indonesia; [Sunaryo, Indryati] Inst Teknol Bandung, Fac Ind Technol, Bandung 40132, Indonesia	Marzuki, PF (corresponding author), Inst Teknol Bandung, Fac Civil & Environm Engn, Bandung 40132, Indonesia.	puti@si.itb.ac.id; hestiyani.permadi@yahoo.com; indryati@bdg.centrin.net.id		Maulani, Rijanti/0000-0003-2237-5842				22	17	17	0	11	VILNIUS GEDIMINAS TECH UNIV	VILNIUS	SAULETEKIO AL 11, VILNIUS, LT-10223, LITHUANIA	1392-3730			J CIV ENG MANAG	J. Civ. Eng. Manag.		2012	18	3					299	309		10.3846/13923730.2012.698889			11	Engineering, Civil	Engineering	967UV	WOS:000305934200001		hybrid			2021-12-21	
J	Kim, S; Nembhard, DA				Kim, Sungsu; Nembhard, David A.			Cross-Trained Staffing Levels With Heterogeneous Learning/Forgetting	IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT			English	Article						Cross-training; dual resource constrained (DRC) systems; flexibility; forgetting; learning; parallel systems; productivity; staffing; task heterogeneity; worker heterogeneity	CONSTRAINED JOB SHOPS; TASK COMPLEXITY; ASSIGNMENT POLICIES; WORKER FLEXIBILITY; OPERATING POLICIES; LABOR FLEXIBILITY; TRANSFER DELAYS; PRODUCTIVITY; IMPACT	A skilled workforce is an increasingly expensive resource for organizations. Determining minimum staffing levels to meet production requirements is critical to competitiveness. This paper investigates the effects of several exogenous and controllable factors on minimum staffing levels in parallel dual resource constrained (DRC) systems in the presence of heterogeneous individual learning and forgetting throughout a fixed-planning horizon. We examine factors of worker selection policy, task heterogeneity, individual cross-training level, time-schedule granularity, and the production requirement. We explore two cases of parallel systems in which a system consists of an equal number of workers and tasks and another with more tasks than workers. Results show that a best worker subset requires fewer workers than an average subset, greater task heterogeneity requires fewer workers with an equal number of workers and tasks. The magnitude of this effect is stronger with an average subset or less slack in the system capacity. Unlike previous studies with homogeneous workers or without considering learning and forgetting, setting a maximum allowable individual cross-training requires more workers. Further, the results suggest that the magnitude of this effect becomes greater with a best subset worker group or more slack in capacity. The time-schedule granularity does not affect the minimum staffing levels.	[Kim, Sungsu; Nembhard, David A.] Penn State Univ, Harold & Inge Marcus Dept Ind & Mfg Engn, University Pk, PA 16802 USA	Kim, S (corresponding author), Penn State Univ, Harold & Inge Marcus Dept Ind & Mfg Engn, University Pk, PA 16802 USA.	sungsu@psu.edu; dnembhard@psu.edu						70	20	21	1	27	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	0018-9391	1558-0040		IEEE T ENG MANAGE	IEEE Trans. Eng. Manage.	NOV	2010	57	4					560	574		10.1109/TEM.2010.2048905			15	Business; Engineering, Industrial; Management	Business & Economics; Engineering	670RU	WOS:000283445800003					2021-12-21	
J	Ahmed, S; Islam, H; Hoque, I; Hossain, M				Ahmed, Shakil; Islam, Hamidul; Hoque, Ikramul; Hossain, Mehrab			Reality check against skilled worker parameters and parameters failure effect on the construction industry for Bangladesh	INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT			English	Article						Bangladeshi Construction Industry; parameter failure effects; questionnaire survey; worker status level; skilled worker parameter	PROJECTS; SAFETY; EMPLOYMENT; MODEL	Labour skill has a significant impact on time, cost, and quality of a construction project. The competitive construction industry forces companies to increase their labour skill to remain their positions in the industry. It is universally agreed that the skilled worker is one of the main fuels to run construction industry. A skilled worker must have a professional training, minimum 2 years working experience, and have the knowledge of construction materials, equipment and safety and physically fit. To check the status of the worker against nine main parameters of skilfulness of the worker is the key to the study. A questionnaire was designed with very deep literature research and expert opinion. The data were collected through questionnaire survey amongst the construction workers in Bangladesh. The percentages of workers found in this study having full knowledge and practicing regulation of construction safety, materials, equipment's and tools, labour codes and building code are 19.35%, 6.45%, 9.68%, 4.87% and 2.30%, respectively. The workers in the study area having the professional training, minimum education and minimum working experience are 6.45%, 46.06% and 62.50%, respectively. A total of 62.25% workers are found physically sound. Building code practices and awareness building is the driving key to enhance skills of worker.	[Ahmed, Shakil; Islam, Hamidul; Hoque, Ikramul; Hossain, Mehrab] Khulna Univ Engn & Technol, Dept Bldg Engn & Construct Management, Khulna 9203, Bangladesh	Ahmed, S (corresponding author), Khulna Univ Engn & Technol, Dept Bldg Engn & Construct Management, Khulna 9203, Bangladesh.	ashakilmondol@gmail.com	Hossain, Mehrab/ABF-3558-2020; Ahmed, Shakil/R-3139-2018	Hossain, Mehrab/0000-0001-9305-9121; Ahmed, Shakil/0000-0002-3283-9463				71	5	6	0	7	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	1562-3599	2331-2327		INT J CONSTR MANAG	Int. J. Constr. Manag.	SEP 2	2020	20	5					480	489		10.1080/15623599.2018.1487158			10	Management	Business & Economics	LP9YD	WOS:000534669900010					2021-12-21	
J	Jannadi, MO				Jannadi, MO			Occupational hazards scheme of social insurance in Saudi Arabia: Overview	JOURNAL OF MANAGEMENT IN ENGINEERING			English	Article								Workers'-compensation laws are enacted to protect injured workers. When a worker is injured, he/she and his/her family may suffer two types of economic expenses. The first expense is the loss of his earning capacity and the second is the medical expenses necessary for his/her recovery. If a worker dies because of a work-related injury or sickness, his/her survivors lose the income he/she would have otherwise earned. This loss is very substantial. Different countries have initiated workers' compensation schemes to protect workers from such potential contingencies. The Kingdom of Saudi Arabia (Kingdom) has achieved remarkable progress during the past two decades. This progress has reflected a better picture of Saudi Arabia and put it on a higher rank among the nations. The workers' compensation law is one of the major achievements that has been made in the Kingdom. It plays an important role in labor protection. This paper focuses on the workers' compensation law in Saudi Arabia. A detailed description of the workers' compensation law known as the occupational hazards branch (OHB) of social insurance in Saudi Arabia is provided.		Jannadi, MO (corresponding author), KING FAHD UNIV PETR & MINERALS,DEPT CONSTR ENGN & MGMT,POB 1978,DHAHRAN 31261,SAUDI ARABIA.							4	0	0	0	2	ASCE-AMER SOC CIVIL ENG	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017-2398	0742-597X			J MANAGE ENG	J. Manage. Eng.	MAR-APR	1996	12	2					55	57		10.1061/(ASCE)0742-597X(1996)12:2(55)			3	Engineering, Industrial; Engineering, Civil	Engineering	TX646	WOS:A1996TX64600024					2021-12-21	
J	Azeez, M; Gambatese, J; Hernandez, S				Azeez, Mohammed; Gambatese, John; Hernandez, Salvador			What Do Construction Workers Really Want? A Study about Representation, Importance, and Perception of US Construction Occupational Rewards	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT			English	Article						Construction workers; Occupational rewards; Rewards perception	RISK PERCEPTION; JOB REWARDS; SAFETY; PERFORMANCE; IMBALANCE; SATISFACTION; ANTECEDENTS; EMPLOYEES; STRESS	The construction industry in the United States employs thousands of workers in various jobs and accounted for over $645 billion of the US Gross Domestic Product in 2017. Given the reported labor shortage, it has never been more important for the construction industry to have a qualified and motivated workforce. To do so, the industry needs to understand the current status of occupational rewards and how they are being perceived by construction workers. This paper describes research that aims to address this issue by investigating workers' perspectives of occupational rewards in the construction industry. The study utilizes responses from 176 construction workers across different states, different job responsibilities, and different work conditions. The research contributes to the construction industry by providing a unique perspective on occupational rewards through the lens of construction workers. The study identifies the rewards that are available to workers, rewards that are needed by workers, and factors that impact workers' reward satisfaction. By understanding these three aspects of occupational rewards, the industry will have a better chance of attracting and retaining the right workers for the job and motivating the available workforce for the allocated tasks. The study also contributes to the body of knowledge by facilitating a new and holistic view of rewards and the factors influencing rewards in construction. Findings from the research indicate that workers in general, are satisfied with the rewards that they are receiving, where job responsibility was found to be the reward that is received the most. However, workers' needs showed a commonality of financial importance. Furthermore, reward satisfaction was found to be influenced by 11 factors, 8 of which are occupational, and 3 sociodemographic factors.	[Azeez, Mohammed] Oregon State Univ, Sch Civil & Construct Engn, 208 Owen Hall, Corvallis, OR 97331 USA; [Gambatese, John; Hernandez, Salvador] Oregon State Univ, Sch Civil & Construct Engn, 101 Kearney Hall, Corvallis, OR 97331 USA	Azeez, M (corresponding author), Oregon State Univ, Sch Civil & Construct Engn, 208 Owen Hall, Corvallis, OR 97331 USA.	azeezm@oregonstate.edu; john.gambatese@oregonstate.edu; sal.hernandez@oregonstate.edu	Azeez, Mohammed/AAY-5145-2020	Hernandez, Salvador/0000-0001-8160-5949; Azeez, Mohammed/0000-0002-9068-1633				79	13	13	2	19	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0733-9364	1943-7862		J CONSTR ENG M	J. Constr. Eng. Manage.	JUL 1	2019	145	7							04019040	10.1061/(ASCE)CO.1943-7862.0001669			12	Construction & Building Technology; Engineering, Industrial; Engineering, Civil	Construction & Building Technology; Engineering	HY3AQ	WOS:000467995800005					2021-12-21	
J	Jeelani, I; Asadi, K; Ramshankar, H; Han, K; Albert, A				Jeelani, Idris; Asadi, Khashayar; Ramshankar, Hariharan; Han, Kevin; Albert, Alex			Real-time vision-based worker localization & hazard detection for construction	AUTOMATION IN CONSTRUCTION			English	Article						Hazard detection; Construction safety; Worker localization; Real-time safety alerts; Proximity alerts	VISUAL-SEARCH; IDENTIFICATION; RECOGNITION; TECHNOLOGY; NETWORKS; BIM	Despite training, construction workers often fail to recognize a significant proportion of hazards in construction environments. Therefore, there is a need for developing technology that assists workers and safety managers in identifying hazards in complex and dynamic construction environments. This study develops a framework for an automated system that detects hazardous conditions and objects in real-time to assist workers and managers. The framework consists of three independent pipelines for localization of workers, semantic segmentation of the visual scene around workers, and detection of static and dynamic hazards. The framework can be used to automate and augment the hazard detection ability of workers and safety managers in construction workplaces. In addition, the framework offers several computing contributions including an improved real-time worker localization method and an efficient architecture for integrating pipelines for entity localization and object detection. A system developed based on the proposed framework as a proof of concept and was tested in indoor and outdoor construction environments. It achieved over 93% accuracy.	[Jeelani, Idris] Univ Florida, ME Rinker Sr Sch Construct Management, Gainesville, FL 32611 USA; [Asadi, Khashayar] North Carolina State Univ, Dept Civil Construct & Environm Engn, Raleigh, NC 27695 USA; [Ramshankar, Hariharan] North Carolina State Univ, Dept Elect & Comp Engn, 890 Oval Dr, Raleigh, NC 27606 USA; [Han, Kevin; Albert, Alex] North Carolina State Univ, Dept Civil Construct & Environm Engn, Raleigh, NC 27606 USA	Jeelani, I (corresponding author), Univ Florida, ME Rinker Sr Sch Construct Management, Gainesville, FL 32611 USA.	idris.jeelani@ufl.edu						75	3	3	9	17	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0926-5805	1872-7891		AUTOMAT CONSTR	Autom. Constr.	JAN	2021	121								103448	10.1016/j.autcon.2020.103448			13	Construction & Building Technology; Engineering, Civil	Construction & Building Technology; Engineering	PB5US	WOS:000596386400001					2021-12-21	
