PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Perng, YH; Chang, CL				Perng, YH; Chang, CL			Data mining for government construction procurement	BUILDING RESEARCH AND INFORMATION			English	Article						data mining; government procurement; government procurement agreement; knowledge management; procurement; simulation; Taiwan	KNOWLEDGE MANAGEMENT; DECISION-SUPPORT; FRAMEWORK; WAREHOUSE; STRATEGY	A new data-mining model for government construction procurement was developed to consider data preparation, domain knowledge and a conceptual model to reflect the needs of the knowledge economy. Prototype experiments and analysis were performed to test the data mining using information from a typical Taiwanese local construction procurement unit. The application of the data-mining algorithm to this construction procurement management model improves government procurement effectiveness and efficiency. By complying with this governmental procurement information system and revealing the information required by the World Trade Organization and the Government Procurement Agreement, the model has the potential to improve government procurement and industry effectiveness and efficiency. It also provides a platform for government access to the international community.	Natl Taiwan Univ Sci & Technol, Dept Architecture, Taipei 106, Taiwan	Perng, YH (corresponding author), Natl Taiwan Univ Sci & Technol, Dept Architecture, 43,Sect 4,Keelung Rd, Taipei 106, Taiwan.	Perng@mail.ntust.edu.tw						54	4	4	1	12	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0961-3218	1466-4321		BUILD RES INF	Build. Res. Informat.	JUL-AUG	2004	32	4					329	338		10.1080/0961321042000221070			10	Construction & Building Technology	Construction & Building Technology	843CC	WOS:000223052100006					2021-12-21	
J	Gao, P; Gao, XD; Liu, GY				Gao, Ping; Gao, Xudong; Liu, Guanyu			Government-Controlled Enterprises in Standardization in the Catching-Up Context: Case of TD-SCDMA in China	IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT			English	Article						Government; Technological innovation; Time division synchronous code division multiple access; 3G mobile communication; China; government-controlled enterprises (GCEs); government-sponsored standardization; standard; technology catching-up; time-division synchronous CDMA (TD&#8211; SCDMA); third generation (3G)	TECHNOLOGY STANDARD; BROAD-BAND; INNOVATION; POLICY; TELECOMMUNICATIONS; 3G; INDUSTRY; NETWORK; INSTITUTIONS; PERSPECTIVE	In this article we analyze the case of TD-SCDMA system standardization in China. Specifically, we focus on the leading role that government-controlled enterprises (GCEs) played in the standardization, and how the Chinese government supported GCEs. The case study findings advance current knowledge on how governments support standardization efforts in a catching-up context. We found that, under strong government support and with GCEs' leadership, a latecomer country such as China, with certain technological capabilities and in economic, social, and institutional contexts that favor indigenous innovation, can pursue path-breaking innovation with complex technological systems. Governments should engage in various tactics to support GCEs that lead the standardization process. Most importantly, governments should intervene in scoping decisions on technological systems and research and development forces in the standard development stage, and offer moral suasion in the standard diffusion stage. We provide practical implications for governments that support GCEs in technology catching-up.	[Gao, Ping] Univ Manchester, Sch Environm Educ & Dev, Manchester M13 9PL, Lancs, England; [Gao, Xudong] Tsinghua Univ, Sch Econ & Management, Beijing 10084, Peoples R China; [Liu, Guanyu] Capital Univ Econ & Business, Sch Management & Engn, Beijing 10070, Peoples R China	Liu, GY (corresponding author), Capital Univ Econ & Business, Sch Management & Engn, Beijing 10070, Peoples R China.	ping.gao@manchester.ac.uk; gaoxudong@sem.tsinghua.edu.cn; liuguanyu@cueb.edu.cn		Liu, Guanyu/0000-0002-0132-9110; GAO, PING/0000-0002-9683-1989				82	0	0	8	31	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	0018-9391	1558-0040		IEEE T ENG MANAGE	IEEE Trans. Eng. Manage.	FEB	2021	68	1					45	58		10.1109/TEM.2020.3005274			14	Business; Engineering, Industrial; Management	Business & Economics; Engineering	OY6PF	WOS:000594365900006		Green Submitted			2021-12-21	
J	Liao, TS; Wang, MT; Tserng, HP				Liao, TS; Wang, MT; Tserng, HP			A framework of electronic tendering for government procurement: a lesson learned in Taiwan	AUTOMATION IN CONSTRUCTION			English	Article						certification authority; payment gateway; government electronic procurement system; public key infrastructure		To render government procurement efficient, transparent, nondiscriminating, and accountable, an electronic government procurement system is required. Accordingly, Taiwan Government Procurement Law (TGPL) states that suppliers may employ electronic devices to forward a tender. This investigation demonstrates how the electronic government procurement system functions and reengineers internal procurement processes, which in turn benefits both government bodies and venders. The system features explored herein include posting/receiving bids via the Internet, vender registration, certificate authorization, contract development tools, bid/Request For Proposal (RFP) development, online bidding, and online payment, all of which can be integrated easily within most existing information infrastructures. (C) 2002 Elsevier Science B.V. All rights reserved.	Natl Taiwan Univ, Dept Civil Engn, Taipei 10617, Taiwan	Tserng, HP (corresponding author), Natl Taiwan Univ, Dept Civil Engn, Taipei 10617, Taiwan.							10	36	36	0	16	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0926-5805			AUTOMAT CONSTR	Autom. Constr.	OCT	2002	11	6					731	742	PII S0926-5805(02)00013-4	10.1016/S0926-5805(02)00013-4			12	Construction & Building Technology; Engineering, Civil	Construction & Building Technology; Engineering	580QN	WOS:000177245400010					2021-12-21	
J	Patanakul, P; Kwak, YH; Zwikael, O; Liu, M				Patanakul, Peerasit; Kwak, Young Hoon; Zwikael, Ofer; Liu, Min			What impacts the performance of large-scale government projects?	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT			English	Article						Government projects; Characteristics; Performance	COST OVERRUNS; MEGA-PROJECT; MANAGEMENT; DELAY	Government projects and programs contribute to national growth at a great magnitude. However, records show that they are not well managed, even when project teams follow established project management principles. As a result, this study aimed at identifying key characteristics of government projects and programs, and recommending how they can be used to improve performance. This paper analyzed 39 public projects undertaken in the U.S., UK, and Australia and reviewed officially by the national audit offices and government agencies, including the Los Angeles Metro, London Heathrow's Terminal 5, and the fatal Australia's Homeowner Insulation Program. Based on this analysis the paper suggests six key characteristics, 17 practical recommendations, and six research propositions. These findings can support government project managers to utilize project management approaches according to project characteristics. This paper can support policy makers and government officials in improving the approaches for the management of government projects and programs (C) 2015 Elsevier Ltd. APM and IPMA. All rights reserved.	[Patanakul, Peerasit] Penn State Univ, Black Sch Business, Erie, PA 16563 USA; [Kwak, Young Hoon] George Washington Univ, Sch Business, Dept Decis Sci, Washington, DC 20052 USA; [Zwikael, Ofer] Australian Natl Univ, Res Sch Management, GPO Box 4, Canberra, ACT 0200, Australia; [Liu, Min] N Carolina State Univ, Dept Civil Construct & Environm Engn, Raleigh, NC 27695 USA	Patanakul, P (corresponding author), Penn State Univ, Black Sch Business, Erie, PA 16563 USA.	pxp25@psu.edu; kwak@gwu.edu; ofer.zwikael@anu.edu.au; min_liu@ncsu.edu	kwak, Young Hoon/A-9002-2009; Zwikael, Ofer/A-4199-2008	kwak, Young Hoon/0000-0003-3042-4130; Zwikael, Ofer/0000-0003-0750-1337	Project Management Institute (PMI)	The authors would like to thank the Project Management Institute (PMI) for providing research grants to conduct this study. The findings, analysis, and recommendations of this research are solely the views of the authors and do not necessarily reflect those of the governments, the governments' auditing agencies, or PMI.		71	44	44	10	66	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0263-7863	1873-4634		INT J PROJ MANAG	Int. J. Proj. Manag.	APR	2016	34	3					452	466		10.1016/j.ijproman.2015.12.001			15	Management	Business & Economics	DG3AF	WOS:000371941200007					2021-12-21	
J	Damoah, IS; Akwei, C				Damoah, Isaac Sakyi; Akwei, Cynthia			Government project failure in Ghana: a multidimensional approach	INTERNATIONAL JOURNAL OF MANAGING PROJECTS IN BUSINESS			English	Article						Project failure; Extent of government projects failure; Failure/success criteria; Government projects failure	CONSTRUCTION PROJECTS; INFORMATION-SYSTEMS; SUCCESS; MANAGEMENT; PERFORMANCE; POLICY; POVERTY; IMPACT; WAR; IMPROVISATION	Purpose -The purpose of this paper is to assess the extent of failure within Ghanaian Government projects using multiple failure criteria. Design/ methodology/approach -This study used a sequential data collection approach by employing an in-depth semi-structured interview and questionnaire, respectively. Based on insight from the literature review, interviews were held with participants to solicit their perceptions about the failure of Ghanaian Government projects. A questionnaire was developed based on the results from the interviews in order to determine the relative importance of the various failure criteria used as the evaluation tool. Findings -Six main criteria were identified and used as the assessment framework for Ghanaian Government project failure. The findings indicated that Ghanaian Government projects fail on all the six failure criteria; however, the extent of failure differs from criterion to criterion. The worst failure criterion is meeting the projected timescale. This is followed by cost, requirement, stakeholder satisfaction, national development and contribution to the sector where projects are implemented, respectively. Practical implications -From this study, government project practitioners and policy makers will be able identify the failure areas ( criteria) on which to focus during government project implementation. Originality/ value -Though extant literature has been devoted to the success/ failure criteria, attention has not been paid to comparison of the extent of failure within these criteria in government projects. Therefore, this study extends the literature in this regard as well as government project failure literature in general.	[Damoah, Isaac Sakyi; Akwei, Cynthia] Liverpool John Moores Univ, Dept Business & Management, Liverpool, Merseyside, England	Damoah, IS (corresponding author), Liverpool John Moores Univ, Dept Business & Management, Liverpool, Merseyside, England.	damoah@gmail.com						132	14	14	0	11	EMERALD GROUP PUBLISHING LTD	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	1753-8378	1753-8386		INT J MANAG PROJ BUS	Int. J. Manag. Proj. Bus.		2017	10	1					32	59		10.1108/IJMPB-02-2016-0017			28	Business; Management	Business & Economics	ER3AQ	WOS:000398666900003		Green Accepted			2021-12-21	
J	Wang, YL; Cui, P; Liu, JC				Wang, Yinglin; Cui, Peng; Liu, Jicai			Analysis of the risk-sharing ratio in PPP projects based on government minimum revenue guarantees	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT			English	Article						PPP projects; Reciprocal preference; Minimum revenue guarantee; Risk sharing ratio	MORAL HAZARD; RECIPROCITY; COOPERATION; INCENTIVES; MOTIVATION; ALLOCATION; TOLL	Public-private partnership (PPP) projects have been widely applied in infrastructure construction. A suitable risk distribution strategy is crucial for promoting negotiations between the government and investors. The government usually provides guarantees to investors to distribute risk. However, an excessive guarantee increases the government's financial burden, whereas an insufficient guarantee reduces the confidence of the investors participating in the project. In a minimum revenue guarantee (MRG), the government subsidizes the investors the difference between the actual revenue and the government guarantee line if there is a loss. In PPP power plant and highway projects, investors' revenues come from two sources: government guarantees and the project company's self-sale. To support project companies and to optimize the projects' benefits, the government should set a reasonable benchmark for purchase amounts. Based on the traditional principal-agent model, this paper introduces the reciprocal preference theory to analyze the risk-sharing ratio most suitable for the government. Then, an optimal incentive mechanism is established to guarantee the project's income. The results indicate that by setting a different guarantee strategy for different participants, the government can utilize reciprocal preference to incentivize investors to exert more effort during a partnership and avoid moral hazard. (C) 2018 Elsevier Ltd, APM and IPMA. All rights reserved.	[Wang, Yinglin] Fujian Agr & Forestry Univ, Sch Transportat & Civil Engn, Dept Civil Engn, 15 Shang Xia Dian Rd, Fuzhou 350002, Fujian, Peoples R China; [Cui, Peng] Southeast Univ, Sch Civil Engn, Dept Construct & Real Estate, 2 Sipailou, Nanjing 210096, Jiangsu, Peoples R China; [Liu, Jicai] Southwest Jiaotong Univ, Sch Econ & Management, Dept Management Sci & Engn, 111,North Sect 1,2nd Circle Rd, Chengdu 610031, Sichuan, Peoples R China	Cui, P (corresponding author), Southeast Univ, Sch Civil Engn, Dept Construct & Real Estate, 2 Sipailou, Nanjing 210096, Jiangsu, Peoples R China.	vincentcuipeng@163.com			Social Science Planning Project of Fujian Province [FJ2016B114]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [71571149]	The authors thank the Social Science Planning Project of Fujian Province (Grant No. FJ2016B114) and the National Natural Science Foundation of China (Grant No.: 71571149). We also thank the anonymous reviewers for their comments.		41	29	31	16	146	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0263-7863	1873-4634		INT J PROJ MANAG	Int. J. Proj. Manag.	AUG	2018	36	6					899	909		10.1016/j.ijproman.2018.01.007			11	Management	Business & Economics	GM8LM	WOS:000438480100006					2021-12-21	
J	Damoah, IS; Kumi, DK				Damoah, Isaac Sakyi; Kumi, Desmond Kwadjo			Causes of government construction projects failure in an emerging economy: Evidence from Ghana	INTERNATIONAL JOURNAL OF MANAGING PROJECTS IN BUSINESS			English	Article						Construction; Government projects	HOUSING CONSTRUCTION; PERFORMANCE; INDUSTRY; SUCCESS; PERSPECTIVE; SATURATION; DELAYS	Purpose The purpose of this paper is to investigate the factors that cause government construction projects failure in a developing economy. Design/methodology/approach The study used the sequential data collection approach through an in-depth semi-structured interview (16 participants) and questionnaire survey (230 participants) to solicit their perceptions from project management practitioners (PMP), contractors and client (government officials) about the factors that lead to Ghanaian Government construction projects. The relative importance index was used to determine the relative importance of the factors identified. This was followed by Spearman rank correlation coefficient and Kendall's coefficient of concordance to measure the degree of agreement among the participants on their perceptions. Findings In total, 34 factors were identified as the main factors that lead into Ghanaian Government construction projects failure. The top ten most important factors that cause Ghanaian Government construction projects failure are: political interferences, delays in payment, partisan politics, bureaucracy, corruption, poor supervision, lack of commitment by project leaders, poor planning, starting more projects than the government can fund and change in government. The failure factors were grouped into four main themes and found that the most important failure factors are leadership. This is followed by management and administrative practices, resources and external forces, respectively. Research limitations/implications This study is limited to only the public sector, and therefore the findings may not be applicable in the private sector. Practical implications Policy makers and construction PMP would be able to use the findings as a guide during the implementation of government projects in order to reduce and/or avoid government construction projects failure. Originality/value Construction projects failure in developing countries is high. Accordingly, the extant literature has been devoted to identifying the factors that lead to failure; however, they have mainly been discussed from a generic point of view or individual case studies. Researches that focus exclusively on government construction projects in developing countries are rare despite the dynamics in which these projects are implemented. This research extends the construction project management literature by focussing on government construction projects in a developing economy, where there are weak public institutional systems coupled with partisanship politics and bad cultural orientation towards government sector work inherited from a colonial rule.	[Damoah, Isaac Sakyi] Bournemouth Univ, Business Sch, Bournemouth, Dorset, England; [Damoah, Isaac Sakyi] Fairfield Sch Business, Croydon, England; [Kumi, Desmond Kwadjo] DAL Consultancy Co Ltd, Accra, Ghana	Damoah, IS (corresponding author), Bournemouth Univ, Business Sch, Bournemouth, Dorset, England.; Damoah, IS (corresponding author), Fairfield Sch Business, Croydon, England.	is.damoah@gmail.com						94	19	19	2	22	EMERALD GROUP PUBLISHING LTD	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	1753-8378	1753-8386		INT J MANAG PROJ BUS	Int. J. Manag. Proj. Bus.		2018	11	3					558	582		10.1108/IJMPB-04-2017-0042			25	Business; Management	Business & Economics	GG3MM	WOS:000432595900001					2021-12-21	
J	Wu, J; Liu, JX; Jin, XH; Sing, MCP				Wu, Jin; Liu, Junxiao; Jin, Xiaohua; Sing, Michael C. P.			Government accountability within infrastructure public-private pat partnerships	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT			English	Article						PPPs; Accountability; Government; China		Public private partnerships (PPPs) have been widely used to deliver infrastructure projects. However, PPPs are being plagued with controversy as some of them were subjected to project overruns and/or poor operations. An underlying issue contributing to unsatisfactory performance of PPPs was a result of an ambiguous accountability of the government. Despite this, limited empirical research has been undertaken to identify the government's accountability within PPPs. Thus, a conceptual framework of the accountability of the government of PPPs is developed in this paper and then examined by conducting a case study of a Chinese PPP project. The findings indicate that the government's accountability in PPPs should shift to enhance the effectiveness of quality services and the efficiency of use of public resources for asset end-users and general population. This paper provides the governments embarking on PPPs with an insight into their accountability, ensuring Value for Money is delivered. (C) 2016 Elsevier Ltd. APM and IPMA. All rights reserved.	[Wu, Jin] Cent Univ Finance & Econ, Sch Law, 39 South Xueyuan Rd, Beijing 100081, Peoples R China; [Wu, Jin] Dongbei Univ Finance & Econ, Sch Investment & Construct Management, 217 Jianshan St, Dalian 116025, Liaoning, Peoples R China; [Liu, Junxiao] Curtin Univ, Dept Civil Engn, GPO Box U1987, Perth, WA 6845, Australia; [Jin, Xiaohua] Univ Western Sydney, Sch Comp Engn & Math, Penrith Campus,Bldg Y, Kingswood, NSW 2747, Australia; [Sing, Michael C. P.] Hong Kong Polytech Univ, Dept Bldg & Real Estate, Kowloon, Hong Kong, Peoples R China	Wu, J (corresponding author), Dongbei Univ Finance & Econ, Sch Investment & Construct Management, 217 Jianshan St, Dalian 116025, Liaoning, Peoples R China.	wujin@dufe.edu.cn		SING, Chun Pong/0000-0003-3526-0702; Liu, Henry/0000-0003-0765-3584	National Social Science Foundation of China [15ZDB174]	This paper is based on a research project financially supported by the National Social Science Foundation of China, entitled "Research on Public-Private Partnership Legislation" (Grant number: 15ZDB174).		34	19	20	1	70	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0263-7863	1873-4634		INT J PROJ MANAG	Int. J. Proj. Manag.	NOV	2016	34	8					1471	1478		10.1016/j.ijproman.2016.08.003			8	Management	Business & Economics	EC6LM	WOS:000388247600005					2021-12-21	
J	Liu, J; Gao, R; Cheah, CYJ; Luo, J				Liu, Jicai; Gao, Ruolan; Cheah, Charles Yuen Jen; Luo, Jian			Evolutionary game of investors' opportunistic behaviour during the operational period in PPP projects	CONSTRUCTION MANAGEMENT AND ECONOMICS			English	Article						PPP Projects; investors; operational period; opportunistic behavior; evolutionary game	PRIVATE PARTNERSHIP PROJECTS; UNCERTAINTY; INFORMATION; INSTITUTIONS; COOPERATION; MANAGEMENT; ALLOCATION; GOVERNMENT; CLAIMS; SWITCH	In public-private partnership (PPP) projects, during the operational period, private investors are prone to act opportunistically in pursuit of their own gain. Based on the perspectives of government's administrative supervisory functions, this paper analyses the issue of strategic choice for opportunistic behaviour by the government and private investors during the operational period of projects using evolutionary game theory. The results show that there is not a single set of evolutionarily stable strategies (ESS) between the government and the investors. The end results of the evolutionary game are related to the initial states of the system. Conditions that would dissuade investors from adopting an opportunistic behaviour, and settings that would encourage government to supervise closely, are explored. Punishments set by the government, which would then lead to different ultimate choices made by these two parties, are also discussed. Finally, the paper proposes a few policy recommendations for government supervision on the basis of parametric analysis. The findings also serve as a reference for the decision-making process of the government and the investors.	[Liu, Jicai] Southwest Jiaotong Univ, Sch Econ & Management, Dept Construct Management, 111,North Sect 1,2nd Circle Rd, Chengdu 610031, Sichuan, Peoples R China; [Liu, Jicai] Cornell Univ, Sch Civil & Environm Engn, Dept Construct Management, Ithaca, NY 14853 USA; [Gao, Ruolan] Southwest Jiaotong Univ, Sch Econ & Management, Chengdu, Peoples R China; [Cheah, Charles Yuen Jen] Quest Int Univ Perak, Sch Business Management & Social Sci, Ipoh, Malaysia; [Luo, Jian] Power China S Construct Investment Co Ltd, Shenzhen, Peoples R China	Liu, JC (corresponding author), Southwest Jiaotong Univ, Sch Econ & Management, Dept Construct Management, 111,North Sect 1,2nd Circle Rd, Chengdu 610031, Sichuan, Peoples R China.	jicailiu@126.com			National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [71571149]	This work was supported by the National Natural Science Foundation of China [grant number 71571149].		73	24	27	10	100	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0144-6193	1466-433X		CONSTR MANAG ECON	Constr. Manag. Econ.		2017	35	3					137	153		10.1080/01446193.2016.1237033			17	Business	Business & Economics	EO7BQ	WOS:000396846600005					2021-12-21	
J	Son, H; Kim, C; Kim, C; Kang, Y				Son, Hyojoo; Kim, Changmin; Kim, Changwan; Kang, Youngcheol			Prediction of government-owned building energy consumption based on an RReliefF and support vector machine model	JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT			English	Article						sustainable development; support vector machine model; energy consumption prediction; government-owned building; RReliefF variable selection	ARTIFICIAL NEURAL-NETWORK; BENCHMARKING; REGRESSION; APPROXIMATION; CLASSIFIER; EFFICIENCY; WRAPPER; WAVELET; LOAD	Accurate prediction of the energy consumption of government-owned buildings in the design phase is vital for government agencies, as it enables formulation of the early phases of development of such buildings with a view to reducing their environmental impact. The aim of this study was to identify the variables that are associated with energy consumption in government-owned buildings and to propose a predictive model based on those variables. The proposed approach selects relevant variables using the RReliefF variable selection algorithm. The support vector machine (SVM) method is used to develop a model of energy consumption based on the identified variables. The proposed approach was analyzed and validated on data for 175 government-owned buildings derived from the 2003 Commercial Building Energy Consumption Survey (CBECS) database. The experimental results revealed that the proposed model is able to predict the energy consumption of government-owned buildings in the design phase with a reasonable level of accuracy. The proposed model could be beneficial in guiding government agencies in developing early strategies and proactively reducing the environmental impact of a building, thereby achieving a high degree of sustainability of buildings constructed for government agencies.	[Son, Hyojoo; Kim, Changmin; Kim, Changwan] Chung Ang Univ, Dept Architectural Engn, Seoul 156756, South Korea; [Kang, Youngcheol] Univ Seoul, Dept Global Construct Management, Seoul 130743, South Korea	Kim, C (corresponding author), Chung Ang Univ, Dept Architectural Engn, Seoul 156756, South Korea.	changwan@cau.ac.kr	Son, Hyojoo/AAL-2182-2021	Son, Hyojoo/0000-0002-5338-9799; Kim, Changmin/0000-0002-1017-8297	Basic Science Research Program through the National Research Foundation of Korea (NRF) - Ministry of Education, Science and Technology [2010-0023229]	This research was supported by Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Education, Science and Technology (2010-0023229).		46	7	7	2	20	VILNIUS GEDIMINAS TECH UNIV	VILNIUS	SAULETEKIO AL 11, VILNIUS, LT-10223, LITHUANIA	1392-3730	1822-3605		J CIV ENG MANAG	J. Civ. Eng. Manag.	AUG 18	2015	21	6					748	760		10.3846/13923730.2014.893908			13	Engineering, Civil	Engineering	CJ9IS	WOS:000355816400007		hybrid			2021-12-21	
