Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,
J,"Sadeh, H; Mirarchi, C; Shahbodaghlou, F; Pavan, A",,,,"Sadeh, Hooman; Mirarchi, Claudio; Shahbodaghlou, Farzad; Pavan, Alberto",,,BIM feasibility for small and medium-sized contractors and subcontractors,INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT,,,English,Article; Early Access,,,,,,BIM feasibility; BIM adoption; BIM for SMEs; micro construction firms; digitalization,IMPROVEMENT,"BIM adoption for SMEs is an imperative topic. It is assumed that construction contractors and subcontractors play a great part in adopting or neglecting an innovative technology due to different factors. We believe this reluctance attribute would be a common factor between these two groups of construction actors and it would further be an indication of sort of behavior these groups have in common. This study intends to make a major contribution to the body of knowledge by investigating BIM feasibility for SMEs. The research method consists of application of a structured online questionnaire distributed Online, out of which 70 responses from the industry were collected and analyzed. Inferential statistics, and hypothesis testing were applied to check the associations among categorical variables via Wilcoxon Signed Ranks Test and Mann-Whitney U Test. The factors between contractors and subcontractors in terms of organizational, technological, economic, and social attributes were compared. Further, contractors were grouped in terms of BIM and software usage, firm size, and partnership by Cluster Analysis. The results show the rankings for contractors were different from the rankings for subcontractors with respect to technological feasibility and the rankings of contractors were all higher than those of subcontractors when partnership was introduced as a differentiating variable.","[Sadeh, Hooman; Mirarchi, Claudio; Pavan, Alberto] Politecn Milan, Dept Architecture Built Environm & Construct Engn, Milan, Italy; [Shahbodaghlou, Farzad] Dept Engn, Hayward, CA USA","Sadeh, H (corresponding author), Politecn Milan, Dept Architecture Built Environm & Construct Engn, Milan, Italy.",hsadeh5@gmail.com,,"Sadeh, Hooman/0000-0003-2033-1600",,,,36,0,0,0,0,TAYLOR & FRANCIS LTD,ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",1562-3599,2331-2327,,INT J CONSTR MANAG,Int. J. Constr. Manag.,,,,,,,,,,,,10.1080/15623599.2021.1947446,,JUN 2021,10,Management,Business & Economics,TG9IZ,WOS:000671711200001,,,,,2021-10-10,
J,"Lee, HS; Seo, JO; Park, M; Ryu, HG; Kwon, SS",,,,"Lee, Hyun-soo; Seo, Joon-oh; Park, Moonseo; Ryu, Han-guk; Kwon, Soon-seok",,,Transaction-Cost-Based Selection of Appropriate General Contractor-Subcontractor Relationship Type,JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,,,English,Article,,,,,,,,"Relationships between general contractors and subcontractors are generally formed on a project-by-project basis. However, because of the competitive nature of the construction industry, this traditional arrangement can result in adversarial relationships between general contractors and subcontractors, which can jeopardize potential or ongoing collaborative construction plans. To avoid this problem, close, long-term relationships between general contractors and subcontractors, as in strategic partnerships, must be established. Unfortunately, forming and sustaining such relationships can be time-consuming and cost-intensive. Furthermore, this type of relationship does not necessarily enhance cooperation or work performance. For contractors to successfully establish effective partnerships with their subcontractors, they must select the appropriate relationship by considering the different characteristics of the subcontracted work involved. Based on transaction cost theory, the findings of this study show that transaction costs incurred by general contractors and subcontractors vary according to the type of relationship established. Therefore, for the purpose of comparing transaction costs incurred in both competitive and partnership relationships, transaction-cost-based profit models for both general contractors and subcontractors are developed, respectively, for each relationship type. As well, by applying different strategies to maximize profits in each relationship, and by simulating the parameters affecting the nature of the subcontracted work, the conditions and relationships under which general contractors' profits are optimized have been determined. Finally, based on simulation, practical guidelines for choosing the most appropriate relationship type are proposed.","[Lee, Hyun-soo; Park, Moonseo; Kwon, Soon-seok] Seoul Natl Univ, Dept Architecture, Seoul 151742, South Korea; [Seo, Joon-oh] Hanmiparsons Co Ltd, Construct Strateg Res Inst, Seoul 135090, South Korea; [Ryu, Han-guk] Changwon Natl Univ, Dept Architectural Engn, Chang Won 641773, Gyeongnam, South Korea","Park, M (corresponding author), Seoul Natl Univ, Dept Architecture, 39-433,San 56-1 Shinlim Dong, Seoul 151742, South Korea.",hyunslee@snu.ac.kr; cico81@naver.com; mspark@snu.ac.kr; hgryu@changwon.ac.kr; dreamkss1@snu.ac.kr,"Seo, JoonOh/O-5530-2015; SEO, JoonOh/AAY-8665-2020","Seo, JoonOh/0000-0002-5377-7142; SEO, JoonOh/0000-0002-5377-7142",,,,16,14,14,1,34,ASCE-AMER SOC CIVIL ENGINEERS,RESTON,"1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA",0733-9364,1943-7862,,J CONSTR ENG M,J. Constr. Eng. Manage.,NOV,2009,135,11,,,,,1232,1240,,10.1061/(ASCE)CO.1943-7862.0000086,,,9,"Construction & Building Technology; Engineering, Industrial; Engineering, Civil",Construction & Building Technology; Engineering,508FO,WOS:000270914700012,,Green Published,,,2021-10-10,
J,"Tymvios, N; Gambatese, JA",,,,"Tymvios, Nicholas; Gambatese, John A.",,,"Perceptions about Design for Construction Worker Safety: Viewpoints from Contractors, Designers, and University Facility Owners",JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,,,English,Article,,,,,,Accident prevention; Accidents; Construction industry; Design; Occupational safety; Owners; Safety; Project planning and design,,"Decisions made before construction can affect safety on the construction site, either positively or negatively. This was observed from past research that identified the link between design decisions and fatalities. The concept of implementing design decisions that positively affect safety falls under the general concept of prevention through design (PtD), which attempts to identify and mitigate hazards early in the design process to eliminate the risks of injury or damage during construction. Prevention through design is practiced in other countries, primarily through legislation. The objective of this paper is to present the results of a survey that was conducted to identify construction industry stakeholders' views on the concept of PtD and gauge the possibility for implementing PtD in the U.S. construction industry through either legislation or other means. Four distinct groups were surveyed: engineers, architects, contractors, and owners. Within this study, PtD was described and introduced to survey participants as design for construction worker safety (DCWS) to differentiate PtD efforts in construction from efforts in other industries. The survey consisted of questions that asked about the industry's knowledge of PtD and the extent of PtD practice in the United States, participants' opinions on designer and owner safety knowledge and perceptions, and obstacles and enablers for designer participation in construction safety. The responses from the various groups were compared to identify the groups that are more receptive to the idea of designer participation in construction worker safety. The results showed that architects were the least receptive to the idea, whereas the other groups were more likely to be supportive, with some hesitations. Architects and engineers identified the existence of economic, legal, and contractual obstacles for designers to practice DCWS, whereas contractors only identified economic obstacles. No enablers were identified by any group. The research contributes additional information that can be used by construction industry practitioners and organizations desiring to expand and optimize PtD implementation in the United States. The research results can be used by project teams to plan for PtD education and training efforts on projects and by construction industry organizations to develop PtD diffusion strategies. (C) 2015 American Society of Civil Engineers.","[Tymvios, Nicholas] UNC Charlotte, Dept Engn Technol & Construct Management, 9201 Univ City Blvd, Charlotte, NC 28223 USA; [Gambatese, John A.] Oregon State Univ, Sch Civil & Construct Engn, 101 Kearney Hall, Corvallis, OR 97331 USA","Tymvios, N (corresponding author), UNC Charlotte, Dept Engn Technol & Construct Management, 9201 Univ City Blvd, Charlotte, NC 28223 USA.",ntymvios@uncc.edu; john.gambatese@oregonstate.edu,,,,,,36,23,23,2,42,ASCE-AMER SOC CIVIL ENGINEERS,RESTON,"1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA",0733-9364,1943-7862,,J CONSTR ENG M,J. Constr. Eng. Manage.,FEB,2016,142,2,,,,,,,4015078,10.1061/(ASCE)CO.1943-7862.0001067,,,11,"Construction & Building Technology; Engineering, Industrial; Engineering, Civil",Construction & Building Technology; Engineering,DD7BP,WOS:000370079000029,,,,,2021-10-10,
J,"Korb, S; Sacks, R",,,,"Korb, Samuel; Sacks, Rafael",,,Agent-Based Simulation of General Contractor-Subcontractor Interactions in a Multiproject Environment,JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,,,English,Article,,,,,,,SENSITIVITY-ANALYSIS; LEAN CONSTRUCTION; PRODUCTION FLOW; MODEL; IMPACT; COST; GAME,"The behavioral dynamics of general contractors and subcontractors in bidding, construction planning, and production control influence the outcomes of construction projects. To date, researchers have modeled these interactions in the context of stand-alone projects. While much has been learned, questions arise concerning the validity of these models, because projects are not islands-they are affected by the markets in which general contractors compete for subcontractor resources. LeapconX is a marketwide simulation that can model an unlimited number of construction projects, subcontractors, and residential building projects in any given market region. It enables testing of production system innovations, revealing the impacts not only on companies implementing the innovations, but also on companies that do not. The system was validated through simulation using data for the Newark, New Jersey metropolitan area. Three production control innovations were tested at three levels of market penetration. Comparison of the results with those of single-project simulations for the same innovations confirms that market dynamics moderate outcomes. LeapconX enables both construction management researchers and practitioners to predict the likely outcomes of a wide variety of procedural and technological innovations, with little cost and no risk to actual projects. (C) 2020 American Society of Civil Engineers.","[Korb, Samuel; Sacks, Rafael] Technion, Israel Inst Technol, Fac Civil & Environm Engn, IL-3200003 Haifa, Israel","Korb, S (corresponding author), Technion, Israel Inst Technol, Fac Civil & Environm Engn, IL-3200003 Haifa, Israel.",shmuel.korb@technion.ac.il; cvsacks@technion.ac.il,,,,,,77,1,1,7,7,ASCE-AMER SOC CIVIL ENGINEERS,RESTON,"1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA",0733-9364,1943-7862,,J CONSTR ENG M,J. Constr. Eng. Manage.,JAN 1,2021,147,1,,,,,,,4020151,10.1061/(ASCE)CO.1943-7862.0001944,,,18,"Construction & Building Technology; Engineering, Industrial; Engineering, Civil",Construction & Building Technology; Engineering,SK8DH,WOS:000656445200010,,,,,2021-10-10,
J,"Wu, CL; Wang, F; Zou, PXW; Fang, DP",,,,"Wu, Chunlin; Wang, Feng; Zou, Patrick X. W.; Fang, Dongping",,,"How safety leadership works among owners, contractors and subcontractors in construction projects",INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,,,English,Article,,,,,,Safety leadership; Safety culture; Construction project; Owner; Contractor; Subcontractor,STRUCTURAL EQUATION MODEL; NUCLEAR-POWER-PLANTS; TRANSFORMATIONAL LEADERSHIP; EMPOWERING LEADERSHIP; ORGANIZATIONAL CULTURE; CORPORATE PERFORMANCE; CLIMATE; BEHAVIOR; PARTICIPATION; QUESTIONNAIRE,"Leadership is a key factor impacting construction safety, but previous research merely investigated the single-level relationship between safety leadership and safety performance and ignored the leadership interaction between different project stakeholders. To fill this gap, this paper aims to examine the relationships between safety leaderships of project owners, contractors and subcontractors and discover leadership dimensions which significantly impact construction safety performance. An impacting mechanism involving owner safety leadership, contractor safety leadership and subcontractor safety leadership are hypothetically proposed and empirically tested. The results show that significant relationships exist between safety leaderships of the three key stakeholders. Project safety culture acts as a significant mediator in these relationships. In addition, among all leadership dimensions of owners and contractors, safety influence and role modeling has the widest range of influence on project safety culture and other stakeholders' safety leadership. As such, it is suggested that owners and contractors should cultivate charisma and the ability of being influential about ideals in project managers and require them to behave as role models for others. The results also show that the caring dimension of leadership is more required in the frontline environment. Supervisors need more attention and support from the contractor in their well-being and organizational identification for the project. In conclusion, this paper establishes clear leadership impacting paths from owners to site supervisors of subcontractors in construction projects, which provides insights into effective ways to implement managerial measures and publicize policies and values to construction sites. (C) 2016 Elsevier Ltd. APM and IPMA. All rights reserved.","[Wu, Chunlin; Fang, Dongping] Tsinghua Univ, Sch Civil Engn, Dept Construct Management, Tsinghua Gammon Construct Safety Res Ctr, Beijing 100084, Peoples R China; [Wang, Feng] Lanzhou Railway Bur, 72 Hezheng Rd, Lanzhou 730099, Gansu, Peoples R China; [Zou, Patrick X. W.] Swinburne Univ Technol, Dept Civil & Construct Engn, Hawthorn, Vic 3122, Australia; [Zou, Patrick X. W.] Swinburne Univ Technol, Ctr Sustainable Infrastruct, Hawthorn, Vic 3122, Australia","Fang, DP (corresponding author), Tsinghua Univ, Sch Civil Engn, Dept Construct Management, Tsinghua Gammon Construct Safety Res Ctr, Beijing 100084, Peoples R China.",fangdp@tsinghua.edu.cn,"Wu, Chunlin/U-2605-2017","Wu, Chunlin/0000-0003-4577-2859; Zou, Patrick/0000-0002-8166-0451","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [71572088, 51378296]","The authors would like to thank the Shanghai Railway Bureau of China as well as its contractors and subcontractors for their participation in the longitudinal study. Special appreciation goes to Jie Li, Xing Yu, Jun. Zhang, Wei Yuan, Zhenguang Chen, Jianfeng Fang for their dedicated support to this research. Acknowledgments are also addressed to the National Natural Science Foundation of China (grant numbers: 71572088 and 51378296).",,57,54,56,6,133,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0263-7863,1873-4634,,INT J PROJ MANAG,Int. J. Proj. Manag.,JUL,2016,34,5,,,,,789,805,,10.1016/j.ijproman.2016.02.013,,,17,Management,Business & Economics,DM7NO,WOS:000376547500001,,,,,2021-10-10,
J,"Martin, L; Benson, L",,,,"Martin, Loosemore; Benson, Lim",,,Relationship quality in construction projects: A subcontractor perspective of principal contractor relationships,INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,,,English,Article,,,,,,Subcontractors; Construction; Relationship quality; Principal contractors; Supply chain management,BUYER-SELLER RELATIONSHIPS; RELATIONSHIP MANAGEMENT; TRUST; INDUSTRY; PRODUCTIVITY; PERCEPTIONS; INTEGRATION; DEPENDENCE; BEHAVIORS; FAIRNESS,"One of the defining characteristics of the construction industry is its subcontracting model of project organisation. Surprisingly, despite the criticality of the subcontractor/principal contractor relationship to successful project out-comes, research into this important relationship has been fragmented, disorganised and under-theorised. Mobil-ising theories of relationship quality to address this gap in knowledge, a survey of three hundred and thirty seven tier-one subcontractors in the Australian construction industry was undertaken to explore what factors influence relationship quality between subcontractors and principal contractors, whether these factors vary across the sup-ply chain and how they affect overall relational satisfaction. The findings give subcontractors a missing voice in this important debate and provide a more nuanced understanding of this critical project relationship from a novel theoretical perspective. They indicate that from a subcontractor perspective, subcontractor/principal contractor relationship quality is determined by six key factors: integrity respect and fairness; prompt payment; willingness to negotiate risk and price; effective communication; concern for worker health, safety and well-being; and op-portunities for early involvement in planning and design. Conceptually, when these factors are organised under the three dimensions of relationship quality theory (trust, satisfaction, and commitment), the results show that trust is by far the most important determinant of relationship quality. However, subcontractors cannot be treated as a homogeneous group and the factors that influence relationship quality and the importance of trust vary sig-nificantly between large and small subcontractors and by the amount of turnover-dependency in a relationship. Conceptually, the findings are important for refining the concept of relationship quality in a project management context and for helping construction project managers to improve often tenuous subcontractor relationships in an increasingly competitive industry where the quality of these relationships is a critical determinant of project outcomes and competitive advantage.","[Martin, Loosemore] Univ Technol Sydney, Sch Built Environm, Sydney, NSW 2007, Australia; [Benson, Lim] UNSW, Sch Built Environm, Sydney, NSW 2052, Australia","Martin, L (corresponding author), Univ Technol Sydney, Sch Built Environm, Sydney, NSW 2007, Australia.",martin.loosemore@uts.edu.au,,,,,,96,0,0,1,1,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0263-7863,1873-4634,,INT J PROJ MANAG,Int. J. Proj. Manag.,AUG,2021,39,6,,,,,633,645,,10.1016/j.ijproman.2021.05.002,,,13,Management,Business & Economics,UR8PC,WOS:000697003100005,,,,,2021-10-10,
J,"Dossick, CS; Schunk, TK",,,,"Dossick, Carrie Sturts; Schunk, Timothy K.",,,Subcontractor schedule control method,JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,,,English,Article,,,,,,,,"Trade coordination and claims documentation is a challenge on any project, particularly for specialty subcontractors. The writers introduce a schedule control method initiated by the subcontractor, which facilitates coordination and communication between a subcontractor and other project participants as well as documentation to the prime contractor. A case study illustrates the preparation of a trade-specific critical path method (CPM) schedule, which is updated on a regular basis. The writers also address the interrelationship between the CPM schedule, internal reporting, schedule of values, and labor tracking. It is difficult to ensure that all subcontractor-produced documentation is complementary, but it is well worth the effort when it comes to supporting a claim. Monthly schedule updates and narratives communicate the conflicts, issues, and schedule constraints the subcontractor experiences or anticipates on a project, thereby providing contractually required notice to the prime contractor during the project. This increases the likelihood of resolving issues during the project, while simultaneously protecting a subcontractor's position if change order requests are denied or if back charges are levied prompting a subcontractor to enforce its rights, execute a claim, or proceed to litigation.","Univ Washington, Seattle, WA 98195 USA; QCxP, Los Angeles, CA 90024 USA","Dossick, CS (corresponding author), Univ Washington, Box 351610, Seattle, WA 98195 USA.",cdossick@u.washington.edu; tschunk@consulthts.com,,"Dossick, Carrie Sturts/0000-0003-0925-4579",,,,0,6,6,0,12,ASCE-AMER SOC CIVIL ENGINEERS,RESTON,"1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA",0733-9364,1943-7862,,J CONSTR ENG M,J. Constr. Eng. Manage.,MAR,2007,133,3,,,,,262,265,,10.1061/(ASCE)0733-9364(2007)133:3(262),,,4,"Construction & Building Technology; Engineering, Industrial; Engineering, Civil",Construction & Building Technology; Engineering,138JL,WOS:000244358800008,,,,,2021-10-10,
J,"Lingard, H; Oswald, D",,,,"Lingard, Helen; Oswald, David",,,Safety at the Front Line: Social Negotiation of Work and Safety at the Principal Contractor-Subcontractor Interface,JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,,,English,Article,,,,,,Principal contractor; Subcontractor; Safety; Rules; Supervisor,CONSTRUCTION; CULTURE; INTEGRATION; PROJECTS; VALIDITY; SCIENCE; CLIMATE; HEALTH; ISSUES; ADAPT,"This research investigated the influence of the social context on work practices and safety at the principal contractor-subcontractor interface. Previous research has acknowledged that social interactions among supervisors and workers shape safety implementation on work sites. However, a detailed examination of the nature and impact of these social interactions has been missing. An ethnographic method was deployed in which a researcher spent approximately 100 h attending four construction sites over a 6-month period. This deep embedded research method enabled the nature and impact of social interactions to be explored. Organized safety walks and informal walk-arounds were attended, during which interactions were observed and conversations were held with project participants, including foremen, professional health and safety advisors, supervisors, and workers. Field notes and comments were subjected to thematic content analysis. Different understandings of safety were apparent, with key differences emerging in relation to the role attributed to the principal contractors' site safety rules. The social ecosystem at the four sites was also embedded within broader construction industry practices, in particular competitive tendering and price-based selection. The results reveal limitations inherent in traditional technical approaches to understanding safety in the construction site environment because these approaches tend to ignore the social and power relations at play. The results reveal that safety at the principal contractor-subcontractor interface is better understood as an emergent property of a complex ecosystem of social relationships and interactions.","[Lingard, Helen; Oswald, David] RMIT Univ, Sch Property Construct & Project Management, Melbourne, Vic 3001, Australia","Lingard, H (corresponding author), RMIT Univ, Sch Property Construct & Project Management, Melbourne, Vic 3001, Australia.",helen.lingard@rmit.edu.au,,"Oswald, David/0000-0002-3013-5681; Lingard, Helen/0000-0003-3645-8390",,,,57,1,1,1,12,ASCE-AMER SOC CIVIL ENGINEERS,RESTON,"1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA",0733-9364,1943-7862,,J CONSTR ENG M,J. Constr. Eng. Manage.,APR 1,2020,146,4,,,,,,,4020024,10.1061/(ASCE)CO.1943-7862.0001799,,,11,"Construction & Building Technology; Engineering, Industrial; Engineering, Civil",Construction & Building Technology; Engineering,KO4TC,WOS:000515543000012,,Green Accepted,,,2021-10-10,
J,"Reeves, K",,,,"Reeves, K",,,Construction business systems in Japan: general contractors and subcontractors,BUILDING RESEARCH AND INFORMATION,,,English,Article,,,,,,business systems; construction business system; contracting system; contractors; subcontractors; Japan,,"The Japanese construction sector is characterized by the predominance of large general contractors, with multiple layers of small contractors and subcontractors working under their umbrella. Against the background of huge construction demand created by modernization (starting in 1868) and the resultant changes in the construction business (building style, materials and project scale), large general contractors and subordinate subcontractors gradually created a distinctive contracting system. The development process of the construction business based on collaboration and not free competition is discussed with particular emphasis on the unique nature of the contracting system using historical- and institutional-based analyses. One of the competitive strengths of general contractors lies with project organization at construction sites. How the subcontracting of building projects is controlled by general contractors and how subcontractors respond to their subordinate position is explored. Current strengths, inefficiencies and problems of the construction business are identified and possible systemic reforms are suggested, such as the development of competent subcontractors to revitalize the Japanese construction industry along actions for contractors, subcontractors, private- and public-sector clients.","British Embassy, Chiyoda Ku, Tokyo, Japan","Reeves, K (corresponding author), British Embassy, Chiyoda Ku, 1 Ichiban Cho, Tokyo, Japan.",,,,,,,12,11,11,0,12,TAYLOR & FRANCIS LTD,ABINGDON,"4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0961-3218,,,BUILD RES INF,Build. Res. Informat.,NOV-DEC,2002,30,6,,,,,413,424,,10.1080/09613210210159857,,,12,Construction & Building Technology,Construction & Building Technology,619YD,WOS:000179504500004,,,,,2021-10-10,
J,"Agarwal, P; Everett, JG",,,,"Agarwal, P; Everett, JG",,,Strategies for construction contractors to reduce workers' compensation costs,JOURNAL OF MANAGEMENT IN ENGINEERING,,,English,Article,,,,,,,,"Workers' compensation insurance (WCI) premiums for construction companies are higher than those for most other industries. WCI is increasingly affecting contractors' ability to conduct business and has already made the costs of performing certain types of work in certain states prohibitively expensive. However, there are a number of strategies construction companies can employ to lower their WCI costs. These include the formation of industry groups, safety programs and lobbying for legislative reform. Groups of like-minded employers pool risk and provide better credit worthiness to potential insurers. Insurers in return are able to reduce marketing costs as well as claims processing and safety costs. An effective safety program can also greatly reduce workplace injuries. Multidepartmental and multilevel teams with the support of top management can help establish, implement, and continuously improve safety programs. Along with voluntary measures that an employer can take, it is essential that employers encourage their legislators to cure the workers' compensation system. In states where legislative reform has taken place, losses and premiums have declined significantly. The writers hope that this paper will encourage construction companies to better understand the control they have over their own WCI costs and the benefits of improving their own safety performance.","UNIV MICHIGAN,DEPT DIV ENVIRONM ENGN,ANN ARBOR,MI 48109","Agarwal, P (corresponding author), IBM CONSULTING GRP,27 COMMERCE DR,CRANFORD,NJ 07016, USA.",,,,,,,24,6,7,0,3,ASCE-AMER SOC CIVIL ENGINEERS,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017-2398",0742-597X,,,J MANAGE ENG,J. Manage. Eng.,SEP-OCT,1997,13,5,,,,,70,75,,10.1061/(ASCE)0742-597X(1997)13:5(70),,,6,"Engineering, Industrial; Engineering, Civil",Engineering,XT627,WOS:A1997XT62700029,,,,,2021-10-10,
